case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_078,1,2,component_batches_128,1080972,2296143,2.1241466013920807,2345088,17384448,15039360,15039360,0,0.0,0,0,0,0,17384448,191232,0,0.23344889999134466,0.04203289997531101,,8,8,9,0,2.5309032999794,2.1547136000008322,2.5309032999794,2,official_results/case_078_p1_n2.json.gz,plans/case_078_p1_n2.json,
case_078,1,3,component_batches_128,850256,2296143,2.7005313693758115,2345088,17384448,15039360,15039360,0,0.0,0,0,0,0,17384448,191232,0,0.2160872999811545,0.03212520002853125,,8,8,9,0,1.7839910999755375,1.903408300015144,1.7839910999755375,2,official_results/case_078_p1_n3.json.gz,plans/case_078_p1_n3.json,
case_078,1,4,component_batches_128,619540,2296143,3.706206217516222,2345088,17384448,15039360,15039360,0,0.0,0,0,0,0,17384448,191232,0,0.23515959997894242,0.33960420003859326,,8,8,7,0,2.5251493000541814,1.5685546000022441,2.5251493000541814,2,official_results/case_078_p1_n4.json.gz,plans/case_078_p1_n4.json,
case_078,1,5,critical_cut_b0.16_s1.0,528769,2296143,4.342431193961825,2345088,18220032,15874944,15874944,0,0.0,0,0,0,0,18220032,169728,0,0.2169624000089243,2.7858948999783024,,56,56,40,0,600.8391133000259,625.885416800098,600.8391133000259,2,official_results/case_078_p1_n5.json.gz,plans/case_078_p1_n5.json,
