case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_069,1,2,hybrid20_10,18679,25144,1.3461106054927994,126054,611436,485382,485382,0,0.0,0,0,0,0,611436,13824,11616,0.20229659997858107,0.13359029998537153,,28,28,12,0,5.135102400032338,5.156790900044143,5.135102400032338,2,official_results/case_069_p1_n2.json.gz,plans/case_069_p1_n2.json,
case_069,1,3,hybrid20_10,15644,25144,1.607261569930964,126054,611436,485382,485382,0,0.0,0,0,0,0,611436,13824,11616,0.19833480002125725,1.8624679000349715,,28,28,12,0,5.663183299999218,4.525358799903188,5.663183299999218,2,official_results/case_069_p1_n3.json.gz,plans/case_069_p1_n3.json,
case_069,1,4,hybrid20_10,14655,25144,1.7157284203343568,126054,611436,485382,485382,0,0.0,0,0,0,0,611436,13824,11616,0.18763359996955842,2.101459600031376,,28,28,12,0,5.323500300000887,4.220008400036022,5.323500300000887,2,official_results/case_069_p1_n4.json.gz,plans/case_069_p1_n4.json,
case_069,1,5,ls_vw24_8_t15_heft2,12305,25144,2.043396993092239,126054,529944,403890,403890,0,0.0,0,0,0,0,529944,13824,32896,0.7812529999646358,5.1693754000007175,,24,24,55,0,601.4111719999928,647.0299018000951,601.4111719999928,2,official_results/case_069_p1_n5.json.gz,plans/case_069_p1_n5.json,
