case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_099,1,2,component_batches_512,801684,1622999,2.024487204434665,2534036,10201748,7667712,7667712,0,0.0,0,0,0,0,10201748,501760,6144,5.746191399986856,0.739681200007908,,14,14,11,0,86.95553340000333,177.4688028000528,86.95553340000333,3,official_results/case_099_p1_n2.json.gz,plans/case_099_p1_n2.json,
case_099,1,3,component_batches,538060,1622999,3.01639036538676,2534036,15153812,12619776,12619776,0,0.0,0,0,0,0,15153812,317440,6144,10.384651799977291,0.8563692000461742,,29,29,11,0,64.27959459996782,175.71056709997356,64.27959459996782,3,official_results/case_099_p1_n3.json.gz,plans/case_099_p1_n3.json,
case_099,1,4,component_batches,404617,1622999,4.0111982442655645,2534036,15055508,12521472,12521472,0,0.0,0,0,0,0,15055508,319488,6144,15.214953000016976,1.4610819999943487,,28,28,11,0,76.81767720001517,207.26615139999194,76.81767720001517,3,official_results/case_099_p1_n4.json.gz,plans/case_099_p1_n4.json,
case_099,1,5,component_batches_512,334416,1622999,4.853233696952299,2534036,13970068,11436032,11231232,204800,0.0,0,0,0,0,13970068,524288,6144,18.305928999965545,5.3276143000111915,,15,15,41,0,261.9262681999826,754.0173599002301,261.9262681999826,3,official_results/case_099_p1_n5.json.gz,plans/case_099_p1_n5.json,
