case,cores,no_l2,fixed_l2,selected_l2,hardware_ratio,combined_ratio,search_ratio,no_l2_added,fixed_l2_added,selected_l2_added,fixed_hit_rate,selected_hit_rate,fixed_hit_bytes,fixed_miss_bytes,selected_hit_bytes,selected_miss_bytes,search_seconds,total_seconds,input_sha256,seed_sha256
4,4,104188,104188,104188,1.0,1.0,1.0,331776,331776,331776,0.0,0.0,0,783360,0,783360,0.7745369151234627,1.2621900849044323,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dbfebd8373e1d3cdb8c36910e549a95832b684e9e1d6fedef1939150c3c09bb9
4,5,88341,88341,88341,1.0,1.0,1.0,442368,442368,442368,0.0,0.0,0,893952,0,893952,0.42330342531204224,0.7370019238442183,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,64dfb598f993236d36d0905d10ea638ffc12ba0e401c4468a6163c543301d4f5
5,1,95618,95618,95618,1.0,1.0,1.0,0,0,0,0.0,0.0,0,318822,0,318822,1.374594310298562,4.984434260055423,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,211f957dba459390e4ce523f4c2fef4afd01dd3b8380d80aabdd3d6e313d3a13
5,2,61371,60812,60812,1.0091922646846017,1.0091922646846017,1.0,882310,882310,882310,0.13664472323871532,0.13664472323871532,113666,718170,113666,718170,4.474795101210475,7.514297775924206,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,359f4c7ba048c04b3f93b7e7861931b1ef18677527c55e8927f48cc3acec45fd
5,3,54267,52965,52658,1.0245822713112434,1.0305556610581488,1.0058300733032017,1461452,1461452,1465868,0.25297531194919404,0.2527449133736505,296524,875622,296812,877542,4.75823537260294,7.509518237784505,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,eb0937232cf888cbf5130f95ba1405fcf472cceeaca8b52d8caccda80c18efb7
5,4,52462,49060,49060,1.0693436608234814,1.0693436608234814,1.0,1495922,1495922,1495922,0.2630638164602088,0.2630638164602088,315826,884742,315826,884742,7.00311229377985,11.661414364352822,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,87f475bf5b5cd0c96aef88d78966b852f437ae836533f20eb97d2b25ce3485a5
5,5,50673,48259,48259,1.0500217575996187,1.0500217575996187,1.0,1688564,1688564,1688564,0.29208524185934,0.29208524185934,374316,907214,374316,907214,5.989782514050603,9.384103924036026,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,62762ebd3b104487d837ffcc306ed3c609510b69e7e5c57d2b90f509b680330a
6,1,82837,82837,82837,1.0,1.0,1.0,16400,16400,16400,0.029275126148920052,0.029275126148920052,16384,543272,16384,543272,0.16120582818984985,0.613900838419795,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,f88394e2c9cc3a1bd23c7d4e85f870f94e95b020d1b8db96ceeeb36638bb08b9
6,2,40815,40815,40815,1.0,1.0,1.0,17280,17280,17280,0.03082719643774619,0.03082719643774619,17280,543264,17280,543264,0.6572062540799379,1.1370869316160679,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,6b02fe2e80e25b003eaca54845fb96df8c6e38bccb4c5e0efcfa3f181a145e9a
6,3,30449,30449,30449,1.0,1.0,1.0,118176,118176,118176,0.08368328624875926,0.08368328624875926,52608,576048,52608,576048,0.7850983943790197,1.2848390825092793,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,7113689f9007cd69aea394461514371438d0ea4c1b61b4e27ee743f532f3ee4f
6,4,26843,26843,26843,1.0,1.0,1.0,203696,203696,203696,0.09793492233845573,0.09793492233845573,66432,611896,66432,611896,0.5120344255119562,0.8450873084366322,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,08a46a2ce967a64573a7b34489d3b796ec5ce0bae98adbd7c48d92fd15b57490
