cores,no_l2_speedup,fixed_l2_speedup,selected_l2_speedup,hardware_ratio,combined_ratio,search_ratio,mean_fixed_hit_rate,mean_selected_hit_rate,pooled_fixed_hit_rate,no_l2_total_cycles,fixed_l2_total_cycles,selected_l2_total_cycles,hardware_wins,hardware_ties,hardware_losses,search_wins,search_ties
1,1.0,1.0086217156663206,1.0086217156663206,1.0086217156663206,1.0086217156663206,1.0,0.09203711809342652,0.09203711809342652,0.09053940512661394,312479373,311669310,311669310,25,75,0,0,100
2,1.9811129510073953,1.984988782736405,1.9867214241969464,1.0017495020159868,1.0024672722274839,1.0007066565849072,0.13589595167003302,0.13807084647557213,0.17022699068044952,153876051,153835706,153824098,51,45,4,14,86
3,2.815713606118654,2.828518003602509,2.834212850748586,1.0048103020155537,1.0066710071423857,1.0018069419826188,0.19401019255393898,0.20375425402959296,0.28508225171662255,103980830,103101443,103060720,56,43,1,20,80
4,3.550821967883242,3.586809919323453,3.59819371801018,1.0116988610911726,1.0149233561077178,1.0031037273661019,0.22652144484116926,0.23205023422600857,0.3202260359952821,79744878,78650750,78583168,60,39,1,16,84
5,4.159974257393023,4.227368014230467,4.240374854733234,1.0190901374260883,1.022567029061557,1.003286298575804,0.255036023305182,0.2659208483390405,0.34741037877406666,65769876,64721316,64562282,71,29,0,18,82
