case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_001,1,2,component_round_robin,116868,233110,1.9946435294520313,1639552,1640704,1152,1152,0,0.0,0,0,0,0,1640704,13440,8192,0.14686619996791705,0.03187100001377985,,2,2,5,0,1.2908025999786332,0.6220643000560813,1.2908025999786332,2,official_results/case_001_p1_n2.json.gz,plans/case_001_p1_n2.json,
case_001,1,3,component_round_robin,78545,233110,2.9678528232223567,1639552,1641856,2304,2304,0,0.0,0,0,0,0,1641856,13440,8192,0.12244369997642934,0.0331129000405781,,3,3,4,0,0.5796907999902032,0.45773379993624985,0.5796907999902032,2,official_results/case_001_p1_n3.json.gz,plans/case_001_p1_n3.json,
case_001,1,4,component_round_robin,58984,233110,3.952088702020887,1639552,1643008,3456,3456,0,0.0,0,0,0,0,1643008,13440,8192,0.12014669994823635,0.035742999985814095,,4,4,4,0,0.6000221999711357,0.46483229991281405,0.6000221999711357,2,official_results/case_001_p1_n4.json.gz,plans/case_001_p1_n4.json,
case_001,1,5,component_round_robin,47502,233110,4.9073723211654245,1639552,1644160,4608,4608,0,0.0,0,0,0,0,1644160,13440,8192,0.11450749996583909,0.08352410001680255,,5,5,22,0,41.494449399993755,41.53974199981894,41.494449399993755,2,official_results/case_001_p1_n5.json.gz,plans/case_001_p1_n5.json,
