case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,admitted_old_candidates
1,2,routed,116868,1152,233110,1.9946435294520313,12,7,5,1.0263737235218287,0.08074063807725906,True,0
1,2,reserve,116868,1152,233110,1.9946435294520313,12,7,5,0.7081894371658564,0.11025137454271317,True,0
1,3,routed,78545,2304,233110,2.9678528232223567,12,7,5,1.5327091105282307,0.10025402531027794,True,0
1,3,reserve,78545,2304,233110,2.9678528232223567,12,7,5,0.9625538550317287,0.13397003524005413,True,0
1,4,routed,58984,3456,233110,3.952088702020887,12,7,5,1.170063566416502,0.1156062837690115,True,0
1,4,reserve,58984,3456,233110,3.952088702020887,12,7,5,1.314932344481349,0.1882624626159668,True,0
1,5,routed,47502,4608,233110,4.9073723211654245,12,7,5,1.6021467186510563,0.16431253589689732,True,0
1,5,reserve,47502,4608,233110,4.9073723211654245,12,7,5,1.5472598653286695,0.14984572120010853,True,0
5,2,routed,61371,882310,95618,1.5580322953838133,12,10,2,20.97850170172751,1.5131624173372984,True,0
5,2,reserve,61371,882310,95618,1.5580322953838133,12,12,0,24.254206212237477,1.6717699076980352,True,2
5,3,routed,54267,1461452,95618,1.7619916339580224,12,10,2,23.07192421145737,0.950073154643178,True,0
5,3,reserve,54267,1461452,95618,1.7619916339580224,12,12,0,22.429184935986996,1.5998500231653452,True,2
5,4,routed,52462,1495922,95618,1.8226144638023711,12,10,2,22.49053606763482,1.6376426685601473,True,0
5,4,reserve,52462,1495922,95618,1.8226144638023711,12,12,0,27.076771810650826,1.4156850576400757,True,2
5,5,routed,55679,1859574,95618,1.717308141310009,12,10,2,23.686572775244713,1.0798210129141808,True,0
5,5,reserve,50673,1688564,95618,1.8869614982337735,12,12,0,46.23241427913308,1.6744893454015255,True,2
12,2,routed,25535,94960,59088,2.314000391619346,12,11,1,3.710816713050008,0.1876742336899042,True,0
12,2,reserve,25535,94960,59088,2.314000391619346,12,11,1,4.109721088781953,0.25234934501349926,True,0
12,3,routed,18128,189892,59088,3.259488084730803,12,11,1,3.7651388440281153,0.2803572677075863,True,0
12,3,reserve,18128,189892,59088,3.259488084730803,12,11,1,4.169619634747505,0.27541257068514824,True,0
12,4,routed,14948,39168,59088,3.952903398447953,12,11,1,2.612520284950733,0.20038718730211258,True,0
12,4,reserve,14948,39168,59088,3.952903398447953,12,11,1,2.7420125417411327,0.15295417420566082,True,0
12,5,routed,12519,25344,59088,4.719865803977953,12,11,1,3.667829504236579,0.23422296345233917,True,0
12,5,reserve,12519,25344,59088,4.719865803977953,12,11,1,4.152635045349598,0.2498452290892601,True,0
22,2,routed,27860,145236,56780,2.0380473797559224,12,10,2,4.548158260062337,0.3858242519199848,True,0
22,2,reserve,27860,145236,56780,2.0380473797559224,12,10,2,3.4526774529367685,0.23471714928746223,True,0
22,3,routed,18978,13824,56780,2.9918853409210664,12,11,1,4.226978471502662,0.27801430970430374,True,0
22,3,reserve,18978,13824,56780,2.9918853409210664,12,11,1,4.010233320295811,0.2682127617299557,True,0
22,4,routed,14336,20736,56780,3.960658482142857,12,11,1,4.620391512289643,0.34089536406099796,True,0
22,4,reserve,14336,20736,56780,3.960658482142857,12,11,1,3.3632139712572098,0.22482431307435036,True,0
22,5,routed,11479,20736,56780,4.9464239045213,12,11,1,3.55311363004148,0.15897232480347157,True,0
22,5,reserve,11479,20736,56780,4.9464239045213,12,11,1,3.102203005924821,0.1283020842820406,True,0
24,2,routed,1335245,396856,2555343,1.9137633917370969,12,10,2,32.91537773422897,2.290634009987116,True,0
24,2,reserve,1335245,396856,2555343,1.9137633917370969,12,12,0,41.102554854005575,2.8035025373101234,True,1
24,3,routed,954537,332124,2555343,2.677049711011726,12,10,2,38.60950939357281,1.8787403423339128,True,0
24,3,reserve,954537,332124,2555343,2.677049711011726,12,12,0,42.451369140297174,2.165307715535164,True,1
24,4,routed,748435,595068,2555343,3.4142483983245038,12,10,2,44.37146465666592,1.995605904608965,True,0
24,4,reserve,748435,595068,2555343,3.4142483983245038,12,12,0,46.04682442732155,2.3684704322367907,True,1
24,5,routed,695849,432232,2555343,3.672266540585673,12,10,2,44.02006052993238,2.0600284710526466,True,0
24,5,reserve,695849,432232,2555343,3.672266540585673,12,12,0,56.69663025997579,2.675060724839568,True,1
35,2,routed,93692,801138,169571,1.8098770439311787,12,10,2,13.023615779355168,1.1149778943508863,True,0
35,2,reserve,93692,801138,169571,1.8098770439311787,12,12,0,17.461244544014335,1.4997471068054438,True,1
35,3,routed,75717,1276568,169571,2.2395366958542997,12,12,0,20.852153399959207,1.0428991485387087,True,0
35,3,reserve,75717,1276568,169571,2.2395366958542997,12,12,0,21.5763324983418,1.6206025797873735,True,0
35,4,routed,63767,1505978,169571,2.6592281274013203,12,12,0,21.340252405032516,1.5840645004063845,True,0
35,4,reserve,63767,1505978,169571,2.6592281274013203,12,12,0,21.958205273374915,1.591361803933978,True,0
35,5,routed,58308,1058710,169571,2.9081944158606023,12,12,0,23.31099657341838,1.463125267997384,True,0
35,5,reserve,58308,1058710,169571,2.9081944158606023,12,12,0,21.582283951342106,1.474008521065116,True,0
48,2,routed,150049,467846,222220,1.4809828789262174,12,10,2,6.087320717051625,0.4871771950274706,True,0
48,2,reserve,150049,467846,222220,1.4809828789262174,12,12,0,7.71869407966733,0.5240613017231226,True,2
48,3,routed,114626,1177612,222220,1.9386526616997888,12,10,2,10.841984238475561,0.4352394249290228,True,0
48,3,reserve,114626,1177612,222220,1.9386526616997888,12,12,0,10.493352830410004,0.6681919638067484,True,2
48,4,routed,114384,1270930,222220,1.9427542313610295,12,10,2,12.441626803949475,0.5039222799241543,True,0
48,4,reserve,114384,1270930,222220,1.9427542313610295,12,12,0,14.516301358118653,0.7696104776114225,True,2
48,5,routed,101641,1273560,222220,2.1863224486181756,12,10,2,15.709272613748908,0.7118163593113422,True,0
48,5,reserve,101641,1273560,222220,2.1863224486181756,12,12,0,12.612920705229044,0.4882348906248808,True,2
49,2,routed,126174,1027062,196276,1.5555978252254823,12,12,0,23.38187942840159,1.604957714676857,True,0
49,2,reserve,126174,1027062,196276,1.5555978252254823,12,12,0,20.704152228310704,1.1772820800542831,True,0
49,3,routed,83711,2408560,196276,2.344685883575635,12,12,0,24.146970313042402,1.493856180459261,True,0
49,3,reserve,83711,2408560,196276,2.344685883575635,12,12,0,27.818483393639326,1.8271049112081528,True,0
49,4,routed,75814,2607184,196276,2.5889149761257815,12,12,0,27.661597894504666,1.7321403175592422,True,0
49,4,reserve,75814,2607184,196276,2.5889149761257815,12,12,0,31.243805821985006,1.9810891784727573,True,0
49,5,routed,76846,2907980,196276,2.554147255550061,12,12,0,32.188384460285306,1.9740269146859646,True,0
49,5,reserve,76846,2907980,196276,2.554147255550061,12,12,0,31.717343477532268,2.2307502571493387,True,0
