cores,legacy,routed,selected
1,1.0,1.0,1.0
2,1.9677190480198021,1.9784171143080242,1.9784171143080242
3,2.7894089888489644,2.8078714845171224,2.8078714845171224
4,3.4976045082593665,3.549551018742047,3.549551018742047
5,4.099257283111167,4.150022191664851,4.150022191664851
