case,cores,our_makespan,external_makespan,makespan_reduction_cycles,makespan_reduction_pct,our_speedup,external_speedup,our_added_bytes,external_added_bytes,external_partition_added_bytes,external_spill_added_bytes,external_method,external_tasks,external_candidate_count,external_search_seconds,external_final_seconds
case_001,1,233110,233110,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.1688606140014599,0.0
case_001,2,123018,116868,6150,4.999268399746379,1.8949259457965502,1.9946435294520313,265344,1152,1152,0,component_round_robin,2,3,0.26612436399955186,0.0
case_001,3,85849,78545,7304,8.50796165360109,2.715349043087281,2.9678528232223567,241920,2304,2304,0,component_round_robin,3,2,0.09166107499913778,0.0
case_001,4,67883,58984,8899,13.109320448418602,3.4339967296672214,3.952088702020887,470400,3456,3456,0,component_round_robin,4,2,0.10345976199823781,0.0
case_001,5,50223,47502,2721,5.417836449435518,4.641498914839814,4.9073723211654245,45312,4608,4608,0,component_round_robin,5,2,0.08104591900337255,0.0
case_002,1,261945,261945,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.6741832259976945,0.0
case_002,2,138077,133697,4380,3.172143079586028,1.8970936506442058,1.9592436629094145,477696,27648,27648,0,window16_heft,10,5,2.0297692909953184,0.0
case_002,3,95931,93813,2118,2.207836882759483,2.730556337367483,2.792203639154488,532992,27648,27648,0,window16_heft,10,5,1.8803133239998715,0.0
case_002,4,74618,93916,-19298,-25.862392452223325,3.5104800450293494,2.789141360364581,536064,27648,27648,0,window16_heft,10,5,1.9101233200017305,0.0
case_002,5,60651,86435,-25784,-42.51207729468599,4.3188900430330905,3.030543182738474,536064,640512,640512,0,window8_heft,208,5,1.6585626029991545,0.0
case_003,1,602212,602212,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,28.586165812001127,0.0
case_003,2,462800,406278,56522,12.21305099394987,1.3012359550561798,1.4822658376776492,8565562,6325946,6325946,0,window16_heft,217,5,144.9212844970025,0.0
case_003,3,378576,333769,44807,11.835668399475932,1.5907294704365833,1.8042778089037628,9989392,6325946,6325946,0,window16_heft,217,5,136.79646960800164,0.0
case_003,4,329107,301609,27498,8.355337321904425,1.8298364969447627,1.9966645557659088,11891502,6325946,6325946,0,window16_heft,217,5,131.97733422300007,0.0
case_003,5,294109,287876,6233,2.119282306899823,2.047580998881367,2.0919145743306147,11891502,6325946,6325946,0,window16_heft,217,5,126.5130545869979,0.0
case_004,1,392357,392357,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.1863137899999856,0.0
case_004,2,223999,199074,24925,11.127281818222404,1.7516015696498646,1.9709103147573264,3775488,110592,110592,0,component_round_robin,2,3,0.23571397999694454,0.0
case_004,3,154080,134043,20037,13.004283489096574,2.54644989615784,2.927098020784375,3812352,221184,221184,0,component_round_robin,3,3,0.24815914899954805,0.0
case_004,4,132261,104188,28073,21.225455727689948,2.966535864691784,3.765855952700887,3978240,331776,331776,0,component_round_robin,4,2,0.11829084499913733,0.0
case_004,5,110692,88341,22351,20.192064467170166,3.544583167708597,4.441391879195391,4171776,442368,442368,0,component_round_robin,5,2,0.08490876599898911,0.0
case_005,1,95618,95618,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,3.0853133630007505,0.0
case_005,2,91571,73560,18011,19.668890806041215,1.0441952146421902,1.2998640565524742,2718104,1551834,1551834,0,window16_heft,59,5,13.681851654004276,0.0
case_005,3,88392,65325,23067,26.096253054575076,1.0817494795909133,1.4637275162648298,2736536,1551834,1551834,0,window16_heft,59,5,13.015445593002369,0.0
case_005,4,87624,63407,24217,27.637405277093034,1.0912307130466539,1.5080038481555664,2736440,1551834,1551834,0,window16_heft,59,5,12.365348244995403,0.0
case_005,5,87840,62867,24973,28.430100182149364,1.088547358834244,1.5209569408433679,2736440,1551834,1551834,0,window16_heft,59,5,12.299685838002915,0.0
case_006,1,82837,82837,0,0.0,1.0,1.0,16400,16400,0,16400,official_singlecore,1,1,0.1095762030017795,0.0
case_006,2,45330,42379,2951,6.510037502757556,1.8274211339069049,1.9546709455154676,566668,56200,43904,12296,component_lpt,2,5,0.516678692001733,0.0
case_006,3,31819,31152,667,2.096231811181998,2.603381627329583,2.659123009758603,582028,43904,43904,0,component_lpt,3,5,0.5247900629983633,0.0
case_006,4,31094,27328,3766,12.111661413777577,2.6640831028494243,3.0312134074941453,533902,511204,511204,0,window8_heft,51,8,1.1095205580022593,0.0
case_006,5,32579,27728,4851,14.889959790048804,2.5426501734245988,2.9874855741488746,566668,511204,511204,0,window8_heft,51,8,1.0599673430006078,0.0
case_007,1,1012562,1012562,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,4.03206889500143,0.0
case_007,2,554554,507494,47060,8.48609873880632,1.8259033385387176,1.9952196479170197,3703296,27648,27648,0,component_round_robin,2,3,2.545831920000637,2.284269014002348
case_007,3,383009,338094,44915,11.726878480662334,2.6437028894882366,2.994912657426633,3675648,55296,55296,0,component_round_robin,3,3,2.440737391996663,1.4331258060010441
