case,cores,q2_no_l2,q2_plan_l2,q3_plan_no_l2,q3_plan_l2,q3_plan_added,q3_plan_cache_ratio,graph_sha256,plan_sha256,evaluation_seconds
23,5,24940,24940,24940,24940,280992,1.0,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,f6179713e913f60db2e0cb3c763956245cd901bd2afd0d87e8e1520273e7bd4d,0.10081520001403987
24,1,2555343,2555343,2555343,2555343,0,1.0,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,3f6ba4b0f374750256c442f6bff12ee90e8c8c76c00655298e84b9a94fbfee98,1.2957755000097677
24,2,1335245,1334413,1335245,1334413,396856,1.0006234951248227,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,9965d82d344ddc29b76e88884ef1dd1dcf274248276a8d2abddaa7fa36091dcd,1.4935748999705538
24,3,954537,953897,954537,953897,332124,1.0006709319769325,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,fcc45b612c810616f0d74c27455d1a53644664d006a935b50082eac38fe7a1f6,1.4519905999768525
24,4,748435,744432,748435,744432,595068,1.0053772540675308,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,17189f75d77289ba248bcc0b054030cbcc553b4a3f72b5fdfcef84a3a72262b9,1.371045499923639
24,5,695849,693639,695849,693639,432232,1.0031860953608434,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,315212c909c1f5c2122baa85ca8fdd657618e0d3e113b5455051ee9b54d0b9b5,1.3378785999957472
25,1,4863026,4863026,4863026,4863026,0,1.0,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,866297d2cabe14158ebe6e57cc86e522d8f888041f24e5804988ac43e71152bd,11.031666000024416
25,2,2431840,2431840,2431840,2431840,27648,1.0,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,6f0d2c9160eae1d04773458121133076f3a256a4d403e1a12c58082ee55f2d13,8.091827299911529
25,3,1622164,1622164,1622164,1622164,55296,1.0,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,a8799121b74d3094c4e0b5f200a7321be03d2fc2de4a212d825cf30d34eaed26,6.902456199983135
25,4,1217444,1217444,1217444,1217444,82944,1.0,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,36a0e86567664f0f7a7975377d9a864cb1d02ad961dc39f675dfc2f69f8d577b,5.9826305999886245
25,5,975282,975282,975282,975282,110592,1.0,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,06bed46bad51810f1fb73a0ef7e5fafa06f9cdb324efb2ff651925115ef8c2a4,5.8512837999733165
26,1,99203,99203,99203,99203,0,1.0,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,72df6606789136b3baf9eec24a43a369cf39c1f1f97d61801ffdf8d829ab4062,0.07058099994901568
26,2,51429,51429,51429,51429,21936,1.0,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,3d082f0b147238def277a622fdd3302bc5d198eec31de79fa09faffd3e0b92f6,0.060576000018045306
26,3,41688,41688,41688,41688,95664,1.0,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,bb158b8136ee922210721f4d6a5f5d9ce6a24a053c449bb1dc8ec6e835896170,0.07327509997412562
26,4,42226,42208,42226,42208,172128,1.000426459438969,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,e3aac57c75fa854567fba91a60bf87f5127faa17b15e5431184a1b35b9168360,0.054100099951028824
26,5,38198,37332,38264,36689,835212,1.042928398157486,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,2a392a57509586e2be46665b07f8e33466c610528c10a654ab2795501495b714,0.09385399997700006
27,1,2363952,2359515,2363952,2359515,1400832,1.0018804711985303,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,795174b3004f23842aeac7961da65580892080295f6415d4f180741be99b0bec,0.2169933000113815
27,2,1120962,1120962,1120962,1120962,1744896,1.0,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,ceb7a88d92ec02dbe06a3150853de8ffa43ae0776ee55d33fabc973ab1c42676,0.1944939000532031
27,3,744579,744579,744579,744579,18481152,1.0,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,c256f3cc436a9a6171a5b03ec5d43ee17df10cf9c730aab6f78d41447c3cce7e,0.31772449996788055
27,4,559196,559196,559196,559196,3317760,1.0,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,d5eb52e4808230557fc7b2cf6a50b55371fc8895473d5579b069a5c0b7a6c718,0.19000300008337945
27,5,499622,494470,499549,494412,21948416,1.0103901199809067,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,66b104306e5cfbfce835d7897e9052b0415f1987b569154aab7b965fe5dd61d7,0.4362645000219345
28,1,43836040,43836040,43836040,43836040,277412256,1.0,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,d987ac1dfa4f0a2dfb2368b3f01660689355e74c99c9b7c2c84696b3fdadeb73,13.04872089996934
28,2,20517451,20505375,20517451,20505375,75738432,1.000588918759106,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,c9b7b9609eaa982cd7245374587ca1e1fef332bf4b30c8f74109e00b55eceac9,10.504992200061679
28,3,13687852,13687122,13694930,13686058,44353200,1.0006482509426746,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,45b877480d12e31dffc03cdb13e975849f728a418307f3cb1fe8fbef98c240cf,7.483766000019386
28,4,10347838,10168619,10347838,10168619,74883456,1.0176247138377394,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,55fc444e6eab38500d259cca733143e9be7741cc0fd0c3f747a3fa172bd149ca,7.4194314000196755
28,5,8286707,8179833,8286707,8179833,73953792,1.0130655479152202,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,7806dd3c36bf1cb4069f9e2634f63c9336d5567a43791e2e5514e7f800d2cc0a,7.347936100093648
29,1,37555,37555,37555,37555,0,1.0,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,1eea4b77c66f467cece1e811b06292dc0f6cb97aa26070c30fb25bafdc46c74e,0.09985710005275905
29,2,18880,18880,18880,18880,16388,1.0,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,71d48c5a9f6e2aa6b9e07e5f01dc9d28bef5aeb6e133d3ff884f1895a4140fab,0.08996829995885491
29,3,12743,12743,12743,12743,0,1.0,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,d4c3e33ca1e064246a40be99c12a2184a4c812ee98c34a3a6e7d6e541b8bac3e,0.09298810001928359
29,4,10168,10168,10168,10168,49164,1.0,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,6e6701a4426c6434b4ec37c11edb575c31075bb5b5356166e95c66c4df80a3b5,0.09209650009870529
29,5,8787,8787,8787,8787,65552,1.0,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,4fe9da5f48ac55d14b093148f7b0aa311c83f544ce276d9ff58b13d42e3d07b4,0.08420310006476939
30,1,2808034,2807891,2808034,2807891,5519360,1.0000509279028282,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,bed511cb0f432bf02c1b67f94a49cfadb6964d628e4100e6b9c991961e17474e,2.7143493000185117
30,2,1390496,1390292,1390496,1390292,1292288,1.0001467317657011,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,5b90b1c792c850dfc021b034e9a1781cc6748a4fe41a516b7aa72b6d3e475f16,2.1761264000087976
30,3,933720,933018,933720,933018,8985600,1.0007523970598637,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,4c8fd932a187e07b814e5874eed9853952d461efdcbe1f4e351b77c518d10982,2.476296199951321
30,4,697351,697321,697351,697321,6002688,1.0000430217934064,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,c5abacdf6645c85ed218ce8fd7f941d77634b9d5f0fa8612ad0ab8868211a55e,2.4805847000097856
30,5,559882,559862,559882,559862,7484416,1.000035723088904,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,024acba90b647beaec62e00aef3b4a7eccca1616cfba25aba88feca65d30be2a,2.5556415000464767
31,1,1414369,1414159,1414369,1414159,3491328,1.0001484981533193,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,126e96eff01b3c1db5de662ecd8bd02dcd72d548ac3255120608e40d19b693e1,1.1891169999726117
31,2,712262,711649,712262,711649,5250048,1.0008613796970136,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,71f438b8d76ae54e750ee8520bcb075fc044a7b5c873cbe344d5f021eda398b6,1.1491992000956088
31,3,473822,473052,473822,473052,7544832,1.0016277280298995,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,f4969bbcc2dbfe64b27e9bd9d9c9322ed0450f06f8cac1b68c5b2aaba12734bd,1.279923600028269
31,4,360134,359705,360134,359705,7808000,1.001192643972144,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,6183e7141d66e514b75b570fc4d2888e956aef0bc2d78a0d3bef46232d4ec228,1.2477180999703705
31,5,284848,284820,284848,284820,7931904,1.0000983077031107,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,411429c7109d33291db8f3326994ac522679b73733be8fa157e39491c4930b34,1.3517691999441013
32,1,41443,41443,41443,41443,0,1.0,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,83348b05eee2296608cd724ec5b2cadb54c269a971f8e8b65a9a7a8855313104,0.08197699999436736
32,2,17566,17566,17495,17495,6216,1.0,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,b7e397fb677ec74fd275de55ee77ee1d82ba948c4ed655c5890e440c903618d7,0.08135130000300705
32,3,11910,11910,11910,11910,12360,1.0,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,9299c786fd1b9ab22a616eb6bdf3d900adea5a2afedcf9342be34fc0a688e380,0.0903290999121964
32,4,10728,10728,10728,10728,74980,1.0,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,28ecd48fc1cd70caeb9859b8abdc048aa50902c27eba482f6482b65ac692a32a,0.0993900999892503
32,5,10414,10384,10414,10384,12360,1.0028890600924498,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,c9e1dfb8fe27cb4da7254e02f2ed81ccd2b6fc3b4527675a49f89d4ac11b4b07,0.08409619994927198
33,1,1774196,1774080,1774196,1774080,4592640,1.000065386002886,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,0461256ec7a6fe061d3a7e2175171d1040703f624033a8efa72bc3be0f2267e1,0.6697732999455184
33,2,889132,887756,889132,887756,6452256,1.001549975443703,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,352360722bd09caea2be87e6e23dd89c442898241624d9b5fbf88d6fe08ba8b5,0.7408055000705644
33,3,596821,593725,596821,593725,7053888,1.0052145353488569,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,bc277b84dc9750616ab4ceef3013cb48d98b5d30d2663b2e1010ba08569a737f,0.7238494000630453
33,4,443447,442667,443447,442667,7214688,1.0017620468659285,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,82fc21a53cf643e35a805fae569826f1b5eea885ac898a1b4c8e5f05f7c07fbf,0.6327661999966949
33,5,361176,360597,361176,360597,7894656,1.0016056705962613,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,694ea89c2c25c8e28383ce7667d12d251451e68fa9f55bf0ac8da60c6156a179,0.7288713000016287
34,1,842996,842733,842996,842733,1079832,1.0003120798639664,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,19cc9b471b4253917b1c1297fdd194752c0b66e79fb6ba807872ddea5abcb489,0.7386706999968737
34,2,415251,415212,415251,415212,943616,1.0000939279211583,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,ae767444cc99f752833962c0b13e0df2bc44586c03a87e67ffd61a5e162dc14f,0.6513705999823287
34,3,270947,270017,267031,266836,2288640,1.0007307859509211,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,6dc44f2ef8f16fd7f75ca3957d39f7ee7172a452c265d54bee82627747976d39,0.7273839999688789
34,4,206454,203915,205219,202625,3083776,1.0128019740900678,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,b3e804e5da9576f3339b0bb1a6e5ade7f6715a7d5c2dd57b98eb5b12cdca5581,0.6611374999629334
34,5,167389,165377,165572,162156,3487744,1.0210661338464195,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,0bbe8eef2699da55b3d4fc4380c470943bd6f5abb437eaceee542ec64a8bafaa,0.7367708999663591
35,1,169571,169571,169571,169571,0,1.0,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,43201822fd833e40039e2a07a60c49325d3a15aa5f121c0c1082f55e586f5f29,0.6273031000746414
35,2,93692,93692,93692,93692,801138,1.0,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,d48116d8bcf5b66fd05c57f66bd3a924ad63fdda67f27b003da4f9bb84a883d1,0.7887387999799103
35,3,75717,75628,75250,75176,1254808,1.0009843567095882,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,5889838996cc7d1fcb7795725340961810fb3dcfe5e33e14624650538122e2af,0.7280700999544933
35,4,63767,63250,63767,63250,1505978,1.0081739130434784,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,53004d3154a6696e9409325f6a3db0c95a75054f19b9c87a60d9f0e072e2164f,0.6427146999631077
35,5,58308,57848,58308,57848,1058710,1.0079518738763658,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,e256ed7cc177d9415f9c73a3c400267b610f9623f8a2a51776e3efa9fd847e91,0.6598440000088885
36,1,931510,931510,931510,931510,0,1.0,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,8c131ad0dfb252dc26f956f6fa867096f91862e58a5cb371718e576432bc8999,0.6491527000907809
36,2,466068,466068,466068,466068,1152,1.0,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,dd7ae7b455235ad623c4429d8370e13ad548162d913959e57fd2bf3e583c35cf,0.4532241999404505
36,3,311345,311345,311345,311345,2304,1.0,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,a3558ccae74e93902681f85c93b27b4947fee563d9401fd79cd91014208f555a,0.5173586999299005
36,4,233584,233584,233584,233584,3456,1.0,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,038414e14156f408efe4003277cc28c939201fd7620049f41e7b43967126873f,0.5277634999947622
36,5,187182,187182,187182,187182,4608,1.0,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,b7f744513cf6209837e2139077ee2d2c0f158cfc916283fd4913f0abc020e551,0.45246019994374365
37,1,210001,210001,210001,210001,0,1.0,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,63d46275baf2c0ca59542635cd8214bd79425c5056d8f109b3090fcd1ad93847,0.08240139996632934
37,2,105374,105374,105374,105374,204800,1.0,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,9d008aab2db8335b6681495cec24f532db4728cec744f600e0adb4d416dfce78,0.08405560010578483
37,3,74038,74038,74038,74038,573440,1.0,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,8f0da85bcb7bc5a59e4c1efe132bdf0c7c8badcc5adc2b135a90d4415fb27c8f,0.10914430010598153
37,4,53320,53320,53320,53320,614400,1.0,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,56df4c7101b66830cc2dd02593ac18272261ed453b685fc61df87287cc81dd32,0.12162619992159307
37,5,43013,43013,43013,43013,942080,1.0,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,aa63e1c3628d1cb750812560b5eace3fbb35839c9da70f3f37a74ae508d28ef4,0.10346629994455725
38,1,1364555,1363312,1364555,1363312,5627904,1.0009117502083162,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,8f5c3e3c84763a2a5e2ebb7436efdc0d8ec7a8cc8d35564e8f26bb776d9f4e48,1.2634749999269843
38,2,674500,674382,674500,674382,6790656,1.000174975014161,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,ea59dcd7e19f8e660eb25925686e09771b2022fdced47df537d27d185057a828,1.3438544999808073
38,3,449590,449048,449590,449048,8107008,1.0012069979155904,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,6def89326aa4ee4be8c098ae810bcef9ad7f2a05a3b95be80cd2e3973ada8c96,1.268471400020644
38,4,338182,337550,338182,337550,8954880,1.001872315212561,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,df6c8aab73b6aec511e4373ba580364185b311d4351edd64f97e7960fea9212c,1.2231536000035703
38,5,275278,272573,275278,272573,9592320,1.0099239469793413,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,eeb43a9e7ee76d39a203ad8208378e9efa879e6cd29a752db7cc72dbf957cbea,1.2492952999891713
39,1,1435262,1435262,1435262,1435262,7929856,1.0,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,dac9aa0dddfc1796efda0c933d0a650fee6dbc3977c653a543b26b2ae2e70179,1.6722889000084251
39,2,708430,706188,708430,706188,9166848,1.0031747919817386,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,416edd4aa8a967e1bb0c0c4f962c10a37c6368577054102d3ff0fc5f29eb39cf,1.2685401999624446
39,3,478013,477811,478013,477811,11911168,1.0004227613010166,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,c9089280cb7f59693cd8e06b28ac919824c6d67e3347319e6aa74d8f9d546c87,1.2539591999957338
39,4,368961,367059,369254,355737,14848000,1.037997172068129,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,83eb2a21aa73f1d357bfe04544fece6953ffd72e45088e5c50300ae08c8c6717,1.0671109999530017
39,5,338925,317103,338925,317103,14536704,1.0688167567005042,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,090300e316972fdb15c15bf31994735684ea16e1fba2f4decb8ed92040a648d4,1.148327499977313
40,1,253454,253454,253454,253454,0,1.0,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,2f3989071fd3e245c82304c86e2c391712466180edb5a6cf8553661950ff9992,0.37514729995746166
40,2,134642,134149,134642,134149,1227916,1.0036750180769145,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,f930c08b5c5c613deef86ff3e28d37cf5d5f1d7505c10b8eede749e18e4f460c,0.5295177000807598
40,3,105492,105156,105492,105156,1985768,1.0031952527673171,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,33f9aa2861db80fb01f2b35238d31658ccffdcde1f8abf3bd8254106a31fa151,0.5483370999572799
40,4,89539,87558,89539,87558,1836692,1.0226250028552502,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,a3b122cb93d314420d5ffbd18a0ca365a909f23957935fc6a6394f8c22954329,0.6025772000430152
40,5,78938,77963,78938,77963,1915296,1.0125059323012198,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,715eac46bd6f27bee87dba2889a96c979b40875ec1f1fddde718433ddcc6915d,0.5800005999626592
41,1,6003957,6001575,6003957,6001575,30898176,1.0003968958148486,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,ab5c67b7b2f8e6bf5fc8e0b879f66cfc4fd5c823fa6c1a4930e6b7dec827e636,6.830966899986379
41,2,2990398,2988290,2990398,2988290,33669120,1.0007054201566783,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,d5ccec06bbe93241db270fe6d34400f73c302db708dc8a05c4c4880b585c72e9,5.977676499984227
41,3,1991911,1989953,1991911,1989953,34851840,1.0009839428368408,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,8cb5fe7fa6c138a1b1e16cb735de3bf29ea3008764bfdd285a5824d44b100a95,5.480039699934423
41,4,1490603,1487676,1490603,1487676,39164928,1.001967498299361,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,0b6114b4971e293e2634fd3439b1ac16590aab4c0ec1714fd81ae4688af83412,5.336307599907741
41,5,1196379,1193054,1196379,1193054,40630272,1.0027869652169976,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,0f1a8aa4503495702299869b328e7a5759930a1c6b80de0bc6230597551bd9e9,5.384032999980263
42,1,1686740,1675633,1686740,1675633,6629376,1.0066285397816825,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,d2081ece83d9033de97343585d9baf2b53075a3d221e902604363fffe703b529,1.0480952999787405
42,2,840111,839453,840111,839453,7262496,1.000783843764928,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,53c4850b710e8be71fad1fee0184ad2e6ee822a24b921c97c87ad9abde98dbbf,0.9215592999244109
42,3,570685,567481,570685,567481,8474176,1.0056460040071826,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,280b8206d8c7cf44bd04ef0e3803ce6794b93414d3d11f8a31e15f5545becd4f,0.8604778000153601
42,4,430510,425563,430510,425563,8605536,1.01162460082291,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,2a39ea95aa7c1c4562542eb223b49078ed4ec892568958b634c9c5c23364e4e1,0.8867858999874443
42,5,350713,348878,350713,348878,9936736,1.0052597182969405,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,569d1a1256cc62fe3551a6410ee7cf4633e302e85f3bb8ab7a3684f2667340c4,1.0624433999182656
43,1,677656,677656,677656,677656,49160,1.0,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,206834cfb1ea06a7ceafe7103b66b688311a31506fa5a9031848087f753ccc84,1.7210124999983236
43,2,349881,349668,349881,349668,3210754,1.0006091492501459,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,e02b4c002dac3ea3e0624d816fa1fe14c5c4aa1a1a9c95d55d2a3bb79bee426d,2.9213044999632984
43,3,250900,250731,250952,250728,4852554,1.00089339842379,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,f420523b2decb10312077aae6bf1bc3dd868f9937fa4eb82031075eb63315daa,3.002448600018397
43,4,207895,204194,207608,204135,5894554,1.0170132510348544,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,bc85924af7cfe0fd8e6ec1b5035f9ab254b36dd2dab878cbc4cb9753d3873bdf,2.993050100049004
43,5,199041,184463,199077,182238,6592822,1.092401145754453,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,8e4fab35a3937cdb6f7b565e20fbd7ea92c4f8802914f659b3aad3d9ef1face2,2.897246800013818
44,1,154407,107814,154407,107814,4438112,1.4321609438477378,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,b3a3d432d31479494edec684578b81a56b8d294b44a2049ede0aaefb991fe351,0.17244989995379
44,2,54510,52355,54503,51266,885856,1.0631412632153865,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,6026a10fc52d3def61d9e50e1d5a45db9bc5a4158a1c4e4a1c60164edd14a73d,0.21151040005497634
44,3,44484,42915,48541,40954,1149632,1.1852566293890707,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,98d08d55e85842643172c1e4eb251841f3611c2e9a99544c29a91da34151c5ab,0.15392259997315705
44,4,49989,44212,52525,41362,1468192,1.2698854020598618,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,b93281a8d8a3b3594d298db93ebea09cf2fbc18230af0fe3f6bf355516ee231b,0.16820189997088164
44,5,43028,39788,42917,39677,655488,1.0816593996521915,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,03da24b5847cf3e3d4ed84eaf381cb4ee28bce1aaa6f3af3aeb4ae24bd9cf3b1,0.1551443999633193
45,1,125614,125614,125614,125614,0,1.0,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,76de6b75aa4cb0989adacd898da2af6cc98a843c5ec4f1d68a15b1d0bba7448c,0.1630818999838084
45,2,63059,63059,63059,63059,0,1.0,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,e67154587cdc0f9be2faa8f93a78d9171af089c4d999fad09c5e9b5d65eecfb0,0.13019440008793026
45,3,42601,42601,42601,42601,0,1.0,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,10e53d1c7f81d8230f0697fab058da575556a3de7fb1f74d27bae3c53f7ba6d4,0.14094930002465844
45,4,31878,31878,31878,31878,0,1.0,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,e7065e94b7806aaecd0e60c5c12d0cb294797b3d13bfb1569961a4f13ba14b8b,0.15018800005782396
45,5,26164,26164,26164,26164,0,1.0,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,d3982367cc66cc4413fa5e6dc97c9b7abaffc72ea00bd5191f108e85f05be435,0.12007820000872016
46,1,276455,244994,276455,244994,3176288,1.1284153897646474,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,d1b4a409de9ead0c25c6c667f834ab2bb78ce217c637479ee300c71065e42062,0.11498049995861948
46,2,112410,112410,112410,112410,942688,1.0,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,53f57427b0830d4160486e8d2667d81e1206a0f7d6f449dc9a26daaf7c78e878,0.12577519996557385
46,3,96500,93498,104237,92335,2958528,1.1289002003573942,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,405aeaa39b175b681bba4e9a7a4ddd2cbc2ac041bb22618a3d59c9f06a41a110,0.21181270002853125
