case,cores,q2_no_l2,q2_plan_l2,q3_plan_no_l2,q3_plan_l2,q3_plan_added,q3_plan_cache_ratio,graph_sha256,plan_sha256,evaluation_seconds
6,1,82837,82837,82837,82837,16400,1.0,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,f88394e2c9cc3a1bd23c7d4e85f870f94e95b020d1b8db96ceeeb36638bb08b9,0.05922459997236729
6,2,40815,40815,40815,40815,17280,1.0,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,6b02fe2e80e25b003eaca54845fb96df8c6e38bccb4c5e0efcfa3f181a145e9a,0.06855900003574789
6,3,30449,30449,30449,30449,118176,1.0,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,7113689f9007cd69aea394461514371438d0ea4c1b61b4e27ee743f532f3ee4f,0.06869069999083877
6,4,26843,26843,26843,26843,203696,1.0,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,08a46a2ce967a64573a7b34489d3b796ec5ce0bae98adbd7c48d92fd15b57490,0.06601920002140105
6,5,27216,27216,27216,27216,219928,1.0,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,ce5c15f429016150be8364d22049fb1db0095d3689158b7f6c9ba3f2fe87bc15,0.06709040002897382
7,1,1012562,1012562,1012562,1012562,0,1.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,daec296d7670a2cdf14726837593f233992cb2924cc05aea99b64cd3d98ba3dc,0.9886763000395149
7,2,507494,507494,507494,507494,27648,1.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,2ee81bc3343bcce06ac3d1c31877f472130c56e8e0cecf967c321ce3934cbd76,0.7622463000006974
7,3,338094,338094,338094,338094,55296,1.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,67ccd6e068f401d0a4c57a1b2cab26e3fb24369c1c79947d59565057665adc13,0.6271299000363797
7,4,254398,254398,254398,254398,82944,1.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,e05fe6918ffc9bbe70da434052284f9d91e75031429543a8001becb4e748a97e,0.632635899935849
7,5,203834,203834,203834,203834,110592,1.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,fb131946dabbd1e453472bef81501caf18a00c1156f85a710df7e8d169904bc2,0.5989207000238821
8,1,487605,487605,487605,487605,0,1.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,9e837531d5fc299623938b51cd3f5363fd3b18cedeafa36ff575eb419ad17f94,0.15137520001735538
8,2,244266,244266,244266,244266,0,1.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,f7f35ecdde538a97ce99791a152aec2ab46a0decc7a3e1a04acdacd74ee79ae6,0.11898939998354763
8,3,163359,163359,163359,163359,0,1.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,eb1e2d30f797edf54a7049d5aa23c677eba17e34520625e3000e6ab32e8084b2,0.11202070000581443
8,4,123060,123060,123060,123060,0,1.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,b49c0a346e6d083cfb5956a769ddd1d3fc3806b5b7e50b9aafd0d609903cc902,0.1344192000105977
8,5,100603,100603,100603,100603,0,1.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,44a04d4e63cc94a2b56ef602cc8cc01e75c1b0bfc13f51071212c548ed73489b,0.12766370002646
9,1,153261,153261,153261,153261,0,1.0,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,3eb4d1451332199a40830977b5bfaadeb4b0199ac5531752766b9415c783fab2,1.3278850999195129
9,2,90801,90800,90801,90800,547342,1.000011013215859,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,64b22eb09f6c36e2882799c18226ffac5b63ec5fe96d0515104d4ebff1916481,1.21330719999969
