case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_068,1,2,component_round_robin,326286,362095,1.1097472769288292,2771250,2771898,648,648,0,0.0,0,0,0,0,2771898,162048,98304,67.90186159999575,0.0,,2,2,ok,16f8f435ecfcf97f1202baed37f7e3a6bf125d7c59d1c0281aa52a7d7cc42463,False
case_068,1,2,component_lpt,302408,362095,1.1973724240099468,2771250,2771250,0,0,0,0.0,0,0,0,0,2771250,162048,99364,61.78539959999034,0.0,,2,2,ok,910b59b4192e7a2aa06e746cda2c739d1adb7dd56291b1b734272f5cc521284a,False
case_068,1,2,chain_heft,567595,362095,0.6379460707018209,2771250,12471836,9700586,9700586,0,0.0,0,0,0,0,12471836,43008,24576,225.88148390001152,0.0,,3644,3644,ok,cf8e4ab4ad4e5bd40a62b26634a76b1a962b6f7afe37fbdf8aec55e999b84a01,False
case_068,1,2,window8_heft,276348,362095,1.3102863056725578,2771250,6506904,3735654,3735654,0,0.0,0,0,0,0,6506904,43008,49152,34.75024670001585,0.0,,310,310,ok,f5d755bb37ddbf89b0666bd52152a295329bd29cf73f6532ff6a26737b3a4bac,False
case_068,1,2,window10_heft,279507,362095,1.2954773941260862,2771250,6033644,3262394,3262394,0,0.0,0,0,0,0,6033644,43008,49152,27.344422599999234,0.0,,284,284,ok,296e9377f05a4c00fd552c61d6b892b03ed602f18ec80d3ea48bb6795208d4c1,False
case_068,1,2,window16_heft,248296,362095,1.4583199084963108,2771250,5295226,2523976,2523976,0,0.0,0,0,0,0,5295226,43008,57344,24.697636400000192,0.0,,156,156,ok,8aea154796cd65d247e0a8e18e5784b4c01a91a8501f82891d34987c18421cfd,False
case_068,1,2,component_pipe_lpt,302951,362095,1.1952262907202815,2771250,2776434,5184,5184,0,0.0,0,0,0,0,2776434,162048,98304,89.64106779999565,0.0,,32,32,ok,a46327187a14c0980adf252f5f330cd06c439ead6565e6e41687a3903309db9c,False
case_068,1,2,component_comm,305895,362095,1.183723172984194,2771250,2776434,5184,5184,0,0.0,0,0,0,0,2776434,162048,98304,82.08156749996124,0.0,,32,32,ok,b6ebb424b393c3065bcfa058c659e66ea9d7a9e75aecce458248907c37d41483,False
case_068,1,2,pipe_lane_pack,578081,362095,0.6263741586386683,2771250,12471836,9700586,9700586,0,0.0,0,0,0,0,12471836,43008,24576,224.112765900034,0.0,,3644,3644,ok,cf3ae5b6e15f882f141b2bd4f9cc63cf59a50a7f3f81d42d75481d8fa46de839,False
case_068,1,2,window2_heft,437463,362095,0.8277157153862155,2771250,11045852,8274602,8274602,0,0.0,0,0,0,0,11045852,43008,32768,120.5826213999535,0.0,,2194,2194,ok,fa3cb9e2141bbf21fd71c5a52dc2c445645165d97adbdaea6225e34b6a66bdba,False
