case,cores,makespan,singlecore_makespan,speedup,added_copy_bytes,seconds,single_reference_seconds,evaluated_opportunities
case_001,1,233110,233110,1.0,0,0.06170920003205538,0.06170920003205538,1
case_001,2,116868,233110,1.9946435294520313,1152,0.9943191999336705,0.06170920003205538,12
case_001,3,78545,233110,2.9678528232223567,2304,1.0565975001081824,0.06170920003205538,12
case_001,4,58984,233110,3.952088702020887,3456,1.3322128999279812,0.06170920003205538,12
case_001,5,47502,233110,4.9073723211654245,4608,1.600237000035122,0.06170920003205538,12
