case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_079,1,2,component_batches,14772668,31052251,2.102006963129477,9351168,66797568,57446400,57446400,0,0.0,0,0,0,0,66797568,292864,0,8.028623700025491,0.6047136000124738,,96,96,5,0,265.8879103999934,132.01946510002017,265.8879103999934,5,official_results/case_079_p1_n2.json.gz,plans/case_079_p1_n2.json,
case_079,1,3,component_batches,9860476,31052251,3.1491634886591684,9351168,69230592,59879424,59879424,0,0.0,0,0,0,0,69230592,292864,0,7.676277699996717,0.5192489000037313,,96,96,5,0,146.6002007999923,174.37702190002892,146.6002007999923,5,official_results/case_079_p1_n3.json.gz,plans/case_079_p1_n3.json,
case_079,1,4,component_batches,7404380,31052251,4.193767877931711,9351168,71663616,62312448,62312448,0,0.0,0,0,0,0,71663616,292864,0,9.67457590001868,0.5779332999954931,,96,96,5,0,48.66380279994337,85.31674530007876,48.66380279994337,5,official_results/case_079_p1_n4.json.gz,plans/case_079_p1_n4.json,
case_079,1,5,component_batches,5972750,31052251,5.198987233686325,9351168,73082880,63731712,63731712,0,0.0,0,0,0,0,73082880,292864,0,8.110150499967858,0.7121528999996372,,98,98,12,0,174.3365807000082,487.5113862999133,174.3365807000082,5,official_results/case_079_p1_n5.json.gz,plans/case_079_p1_n5.json,
