version,candidate,count,improving_calls,saved_cycles,evaluation_seconds
previous,region_boundary_1695_0,2,0,0,0.6340596713125706
previous,region_boundary_178_0,1,0,0,0.2640868239104748
previous,region_boundary_1898_0,1,0,0,1.736071888357401
previous,region_boundary_215_0,1,1,936,0.23275326937437057
previous,region_boundary_220_0,1,0,0,4.3016134183853865
previous,region_boundary_222_0,1,0,0,0.1617906279861927
previous,region_boundary_22433_0,1,1,3727,14.237020863220096
previous,region_boundary_2330_0,2,0,0,7.247451147064567
previous,region_boundary_2361_0,1,0,0,0.2906669173389673
previous,region_boundary_2395_0,4,2,47,11.714907567948103
previous,region_boundary_245_0,1,0,0,0.23669501580297947
previous,region_boundary_2481_0,1,1,11179,3.497352220118046
previous,region_boundary_271_0,1,1,616,0.25284953601658344
previous,region_boundary_2838_0,3,2,142,3.8854468818753958
previous,region_boundary_284_0,1,1,303,0.4002426750957966
previous,region_boundary_28_0,9,9,11700,28.859891580417752
previous,region_boundary_315_0,1,0,0,0.43621946312487125
previous,region_boundary_31_1,1,0,0,0.16684556379914284
previous,region_boundary_343_0,1,1,479,0.17274904809892178
previous,region_boundary_363_0,1,1,11621,0.5442184116691351
previous,region_boundary_3778_0,1,1,44,2.080508815124631
previous,region_boundary_3929_0,1,0,0,2.3039089031517506
previous,region_boundary_398_0,1,0,0,5.066947627812624
previous,region_boundary_4129_0,1,0,0,2.515373608097434
previous,region_boundary_4372_0,1,0,0,8.306274719536304
previous,region_boundary_44_0,1,0,0,1.2726346626877785
previous,region_boundary_459_0,2,2,5168,3.4094422664493322
previous,region_boundary_4720_0,1,1,8,1.0056539196521044
previous,region_boundary_4880_0,1,0,0,1.6362628675997257
previous,region_boundary_4929_0,1,1,379,2.0568220000714064
previous,region_boundary_5013_0,1,0,0,2.206288557499647
previous,region_boundary_5091_0,1,0,0,7.904036870226264
previous,region_boundary_5099_0,1,1,75,8.960211642086506
previous,region_boundary_549_0,1,1,253,0.12866035476326942
previous,region_boundary_5509_0,1,0,0,2.714789289981127
previous,region_boundary_5545_0,1,0,0,2.080020299181342
previous,region_boundary_5681_0,1,0,0,1.6534483544528484
