case,cores,structure,prefix8,final12,late_gain,search_seconds,late_evaluation_seconds
case_093,3,distributed_components,25103,25103,0,1.113978200010024,0.29015300003811717
case_093,4,distributed_components,19779,19779,0,1.068076099967584,0.2668653001310304
case_093,5,distributed_components,15876,15876,0,1.1679054000414908,0.2895812999922782
case_094,2,distributed_components,47498,47498,0,1.0521560000488535,0.261041900026612
case_094,3,distributed_components,32728,32728,0,1.186938599916175,0.2848652999382466
case_094,4,distributed_components,24854,24495,359,1.1365124000003561,0.2451230000006035
case_094,5,distributed_components,21804,21804,0,1.1968805000651628,0.28580870013684034
case_095,2,distributed_components,1042787,1042787,0,27.196049196645617,8.75182607024908
case_095,3,distributed_components,695775,695775,0,25.57274831086397,6.961328260600567
case_095,4,distributed_components,524422,524422,0,25.57658876478672,7.0828759502619505
case_095,5,distributed_components,420852,420852,0,24.429133992642164,6.8359168618917465
case_096,2,distributed_components,43973,43782,191,1.8513062000274658,0.46895729983225465
case_096,3,distributed_components,34599,34182,417,2.1694310000166297,0.5073937999550253
case_096,4,distributed_components,27087,27087,0,2.1701896999729797,0.5042725000530481
case_096,5,distributed_components,27370,27053,317,2.107815199997276,0.5192594000836834
case_097,2,distributed_components,5247127,5247114,13,62.23220777325332,14.241458293050528
case_097,3,distributed_components,3539378,3509566,29812,66.40040436014533,14.610283244401217
case_097,4,distributed_components,2625746,2622226,3520,66.73324730060995,16.32101609930396
case_097,5,distributed_components,2102068,2101905,163,70.88403449207544,18.2900301348418
case_098,2,distributed_components,93465,93465,0,8.150812787935138,2.0429451409727335
case_098,3,distributed_components,79351,79351,0,6.308067951351404,1.8435455672442913
case_098,4,distributed_components,79805,79805,0,6.786582063883543,1.9271504282951355
case_098,5,distributed_components,79610,73104,6506,7.5516273137182,2.0640037674456835
case_099,2,distributed_components,811243,808380,2863,53.84960551187396,11.424329984933138
case_099,3,distributed_components,544403,540127,4276,56.0199871212244,11.443716023117304
case_099,4,distributed_components,405336,405336,0,57.7928392291069,13.070856027305126
case_099,5,distributed_components,339475,334609,4866,56.003422947600484,13.588553143665195
case_100,2,distributed_components,80622,80622,0,6.055788744240999,1.2871619816869497
case_100,3,distributed_components,59130,58758,372,7.434581723064184,1.7099037878215313
case_100,4,distributed_components,59443,58793,650,7.716608429327607,1.736284889280796
case_100,5,distributed_components,60299,59649,650,7.335293108597398,1.714095551520586
