case,cores,version,position,candidate,makespan,added_copy_bytes,seconds,cache_hit,plan_sha256,improvement_over_prefix
case_093,4,current,11,grain_0.25,34628,1189888,0.1171948000555858,False,c00689a3fe9beceee1c4c0b5e4e1be06fdf65d58feb7559ed4d48681cb8149cc,0
case_093,5,current,0,single_task,74205,0,0.011810700059868395,True,e93e6a7fc9da19bebc0562e7f82b4243b37bb88ce5b3e415ccf7efaaec85d441,0
case_093,5,current,1,greedy,30477,1060864,0.09426609997171909,False,92e04ccee9d08bc47a166ca5a60cbe5a2dba907341fa04d6bad3458a63af824f,43728
case_093,5,current,2,multilevel,30644,704512,0.09705960005521774,False,973a00501cb15ba1ec0a81035264a4adc2fa0d8d0174ba7583a901fee4d0b7e5,0
case_093,5,current,3,grain_0.5,31802,1124352,0.09964989998843521,False,220db7d02897db271d114dfd751bdfbfba66eef5bac3fbba888727f058777dd4,0
case_093,5,current,4,directed_split,30469,1062912,0.09399629989638925,False,168e719278b1cc8054927e90483acf4826f07da2a1b6c00a5f24afca0d2b5bd5,8
case_093,5,current,5,structural_component_lpt,15876,32768,0.043610500055365264,False,93314c5046e985980a9bf0ea02d5dab17c7242c99dc2025a00460de3c280de9f,14593
case_093,5,current,6,grain_1.0,30477,1060864,0.1045864000916481,False,65a24fd8d699f5ffa526bb36db310b13c51ab745614e80868f8c4ea116adb6f8,0
case_093,5,current,7,directed_split,17052,40960,0.06066139996983111,False,34df43ae5bd0e5ba39ac9cbbe85aa03a4c4ed1dc8e329986ea61d275f9677c3b,0
case_093,5,current,8,region_repartition_2_0,17052,40960,0.06510969996452332,False,7cea7c493053a3e73b26d60a62266d893d5b42f21e34533e6a40656717004702,0
case_093,5,current,9,directed_split,17052,40960,0.06960769998840988,False,265f0782588647442aba789bad88a52008f55d6b21d697aa7abb259e8da42fa5,0
case_093,5,current,10,random_migrate,30870,32768,0.04404619999695569,False,c0c0160db526e97c657c3cccc305b9312271cd2a2dccf520a7219d349ead391e,0
case_093,5,current,11,grain_0.25,34496,1189888,0.11081770004238933,False,5c601cd12845cc362ca90e1d34b149064b9f07cd54802de5bb948f06bdca0e98,0
case_001,2,current,0,single_task,233110,0,0.008745099999941885,True,27f01f5d7703fdf7f04d67cede51bcec1b5a2e0961e8c3d24e89d492f5513ccb,0
case_001,2,current,1,greedy,133968,120960,0.0588759999955073,False,b7a4b24e349f52e0b4b1a39978f74c7b442a639b119b0311ffd1a78672fe2a72,99142
