case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_035,1,2,component_lpt,95406,169571,1.7773620107750037,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,74792,17.788640299986582,9.178212800004985,,2,2,14,0,332.1081592999981,551.3182504000724,332.1081592999981,2,official_results/case_035_p1_n2.json.gz,plans/case_035_p1_n2.json,
case_035,1,3,component_pipe_balance,95424,169571,1.77702674379611,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,52252,12.124414800025988,4.611997100000735,,3,3,13,0,196.87846470001386,351.8268108999473,196.87846470001386,2,official_results/case_035_p1_n3.json.gz,plans/case_035_p1_n3.json,
case_035,1,4,window10_heft,83857,169571,2.0221448418140406,410854,1997262,1586408,1586408,0,0.0,0,0,0,0,1997262,73728,29184,21.745231900014915,9.617744700051844,,256,256,13,0,185.97959379997337,338.0800752999494,185.97959379997337,2,official_results/case_035_p1_n4.json.gz,plans/case_035_p1_n4.json,
case_035,1,5,vw32_8_t15_peftins,55670,169571,3.046003233339321,410854,2325698,1914844,1914844,0,0.0,0,0,0,0,2325698,73728,28768,9.468053199991118,23.126876499969512,,178,178,74,0,635.0970835000044,1200.6711778999306,635.0970835000044,2,official_results/case_035_p1_n5.json.gz,plans/case_035_p1_n5.json,
