case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_024,1,2,component_round_robin,2555343,2555343,1.0,393218,393218,0,0,0,0.0,0,0,0,0,393218,393216,65544,0.0,0.0,,1,1,ok,85384c686ce72fc5181881ad991191171d220d63473bd026548cb72191122a83,True
case_024,1,2,chain_heft,1863319,2555343,1.3713931967634099,393218,39726306,39333088,39333088,0,0.0,0,0,0,0,39726306,32768,65536,160.82972659997176,0.0,,2323,2323,ok,bbad1f2d6bd57a696db7357b811b02d12685c48d0dcc5f990c796132e3ae2c61,False
case_024,1,2,window8_heft,2620243,2555343,0.9752313048827914,393218,39715218,39322000,39322000,0,0.0,0,0,0,0,39715218,32768,65544,1.6993605999741703,0.0,,101,101,ok,175bd66acded872ce23ceb6daa41cceb0abc1d03d8e70cfebaf5bb7569ea60cc,False
case_024,1,2,window10_heft,2615043,2555343,0.9771705474823932,393218,47580418,47187200,47187200,0,0.0,0,0,0,0,47580418,393216,98306,1.6992580000078306,0.0,,81,81,ok,4cad24a55eea8d356628dbec58ae66dd2b7211fc180b16de41f8fc5c41651d40,False
case_024,1,2,window16_heft,2587793,2555343,0.9874603571460314,393218,20054218,19661000,19661000,0,0.0,0,0,0,0,20054218,393216,65544,4.975872999988496,0.0,,51,51,ok,14353cf472ab59c42bcac4b3effde677a164e321a4fc0b606e3da16dbc28e2b4,False
case_024,1,2,scene_a_peft,1707648,2555343,1.4964108528221274,393218,39719250,39326032,39326032,0,0.0,0,0,0,0,39719250,32768,65540,67.04001799999969,0.0,,909,909,ok,d298728c2fbcf2ea10ec478da87f420cee7a4bd14bf39827981164fffe279378,False
case_024,1,2,pipe_lane_pack,1862654,2555343,1.3718828080792247,393218,39726306,39333088,39333088,0,0.0,0,0,0,0,39726306,32768,65536,175.27606479998212,0.0,,2323,2323,ok,6d162302f53d8351f18d4c52a844c5e8ebaca419cd206b859a6fe7774b788cca,False
case_024,1,2,scene_a_spine,1663567,2555343,1.5360625691661351,393218,39719250,39326032,39326032,0,0.0,0,0,0,0,39719250,32768,65540,78.65626429999247,0.0,,909,909,ok,202af3bbdab80ac777a3a916d2b20a8a1800a3d5cf5c4c2613b2e43c2d8ee509,False
case_024,1,2,window3_heft,2606519,2555343,0.9803661511771063,393218,119148412,118755194,118755194,0,0.0,0,0,0,0,119148412,65536,65540,99.13851190003334,0.0,,1285,1285,ok,4c841f2a865f23ed16ea5aedc803ba1cbaf0d27ca28ad56a1b41dc43754b7336,False
case_024,1,2,window12_heft,2593924,2555343,0.9851263953762717,393218,26347238,25954020,25954020,0,0.0,0,0,0,0,26347238,393216,65544,20.190941700013354,0.0,,68,68,ok,b93553bcf60efdd690601fdeccd248fa5caba13804d8dd995998e8de67c38e05,False
