case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_030,1,2,component_batches,1399653,2808034,2.0062358313096174,2394060,16863180,14469120,14469120,0,0.0,0,0,0,0,16863180,270336,132,9.298469999979716,1.6611139999586158,,42,42,6,0,718.8458616000134,1095.0213287999504,718.8458616000134,3,official_results/case_030_p1_n2.json.gz,plans/case_030_p1_n2.json,
case_030,1,3,component_pipe_balance,933857,2808034,3.0069207598165457,2394060,11636684,9242624,3901440,5341184,0.0,0,0,0,0,11636684,524288,132,562.2345050000004,4.346227000001818,,3,3,6,0,575.9334374000318,1285.7833265000372,575.9334374000318,3,official_results/case_030_p1_n3.json.gz,plans/case_030_p1_n3.json,
case_030,1,4,component_pipe_balance,700342,2808034,4.009518206818954,2394060,12798924,10404864,5819392,4585472,0.0,0,0,0,0,12798924,524288,132,475.25497360003646,6.398304399976041,,4,4,6,0,489.0638704999583,1036.0172354000388,489.0638704999583,3,official_results/case_030_p1_n4.json.gz,plans/case_030_p1_n4.json,
case_030,1,5,component_pipe_balance,561102,2808034,5.004498290863337,2394060,13873100,11479040,7463936,4015104,0.0,0,0,0,0,13873100,524288,132,329.0302211000235,10.112329000025056,,5,5,27,0,822.6778868999681,2379.153183600225,822.6778868999681,3,official_results/case_030_p1_n5.json.gz,plans/case_030_p1_n5.json,
