case,cores,config,makespan,singlecore_makespan,speedup,added_copy_bytes,seconds,official_calls,initial_makespan,best_candidate,noncopy_ops
case_080,5,shared_resource,119713,292138,2.4403197647707433,4894720,2.005531799979508,2,223851,grain_1.0,1098
case_081,2,shared_region,79149,151795,1.9178385071194834,245880,9.037624399992637,11,82000,directed_split,3485
case_081,2,shared_resource,82000,151795,1.8511585365853658,780754,8.811548899975605,7,161894,grain_2.0,3485
case_081,3,shared_region,54638,151795,2.7781946630550167,262268,9.6245744000189,11,58728,directed_split,3485
case_081,3,shared_resource,58728,151795,2.5847125732189076,780754,8.552282500080764,7,161495,grain_2.0,3485
case_081,4,shared_region,42731,151795,3.5523390512742505,239722,9.52507160010282,11,49190,local_reschedule,3485
case_081,4,shared_resource,49190,151795,3.085891441349868,780754,8.245368300005794,7,163024,grain_2.0,3485
case_081,5,shared_region,39206,151795,3.8717288170178032,247920,10.288355800090358,11,46236,directed_split,3485
case_081,5,shared_resource,46236,151795,3.283047841508781,780754,8.391085199895315,7,156979,grain_2.0,3485
case_082,2,shared_region,497483,721041,1.4493781697063015,5740350,12.91411849996075,11,609428,directed_split,4113
case_082,2,shared_resource,497483,721041,1.4493781697063015,5740350,3.9519892999669537,2,770346,directed_split,4113
case_082,3,shared_region,378014,721041,1.9074452268963584,7216752,13.744463699986227,11,576959,directed_split,4113
case_082,3,shared_resource,378014,721041,1.9074452268963584,7216752,3.87263549992349,2,739964,directed_split,4113
case_082,4,shared_region,328283,721041,2.196400666498113,5723710,13.951493899920024,11,577032,directed_split,4113
case_082,4,shared_resource,328283,721041,2.196400666498113,5723710,4.075619900017045,2,710095,directed_split,4113
case_082,5,shared_region,312290,721041,2.3088827692209164,5703230,13.963467599940486,11,577181,local_reschedule,4113
case_082,5,shared_resource,312290,721041,2.3088827692209164,5703230,4.164780600112863,2,717938,local_reschedule,4113
case_083,2,shared_region,543456,1057993,1.9467868603898015,25772480,9.596099499962293,11,549150,region_repartition_3_0,3844
case_083,2,shared_resource,549150,1057993,1.9266011108076118,26114496,7.168047100072727,7,891880,grain_2.0,3844
case_083,3,shared_region,436908,1057993,2.421546412517052,19450976,10.77378679998219,11,495964,region_repartition_2_0,3844
case_083,3,shared_resource,495964,1057993,2.1332052326378528,26114496,7.2943265999201685,7,896458,grain_2.0,3844
case_083,4,shared_region,417384,1057993,2.534819255170299,19407232,11.179845800041221,11,485719,directed_split,3844
case_083,4,shared_resource,485719,1057993,2.178199741002514,26114496,7.353734600008465,7,900828,grain_2.0,3844
case_083,5,shared_region,391729,1057993,2.700828889359736,19753696,11.50780110002961,11,482337,region_repartition_2_0,3844
case_083,5,shared_resource,482337,1057993,2.1934726135461307,26114496,7.452421399997547,7,889372,grain_2.0,3844
case_084,2,shared_region,1273413,2507412,1.9690485333509238,18432,103.14650060236454,11,1287208,local_reschedule,8616
case_084,2,shared_resource,1287208,2507412,1.947946252664682,0,140.8277533967048,9,1524809,grain_2.0,8616
case_084,3,shared_region,863488,2507412,2.903818003261192,0,101.09392078407109,11,863488,greedy,8616
case_084,3,shared_resource,863488,2507412,2.903818003261192,0,147.53863474354148,9,1291584,grain_2.0,8616
case_084,4,shared_region,657524,2507412,3.813415175719822,0,99.18558787554502,11,657524,greedy,8616
case_084,4,shared_resource,657524,2507412,3.813415175719822,0,123.45196606218815,8,1247908,grain_2.0,8616
case_084,5,shared_region,526456,2507412,4.762813986354035,0,97.446149289608,11,526456,greedy,8616
case_084,5,shared_resource,526456,2507412,4.762813986354035,0,123.79901389032602,8,1244687,grain_2.0,8616
case_085,2,shared_region,2334501,3187899,1.3655590637999298,34301210,446.3642777595669,11,2617830,grain_0.25,19737
case_085,2,shared_resource,2334501,3187899,1.3655590637999298,34301210,74.55559259466827,2,3600031,grain_0.25,19737
case_085,3,shared_region,1626396,3187899,1.960100123217224,34301210,435.2493015024811,11,2395606,grain_0.25,19737
case_085,3,shared_resource,1626396,3187899,1.960100123217224,34301210,75.84422173537314,2,3575509,grain_0.25,19737
case_085,4,shared_region,1324330,3187899,2.407178724336079,34301210,423.1676933951676,11,2318740,grain_0.25,19737
case_085,4,shared_resource,1324330,3187899,2.407178724336079,34301210,73.28336322121322,2,3635811,grain_0.25,19737
case_085,5,shared_region,1169044,3187899,2.72692815668187,34301210,415.62498225830495,11,2290631,grain_0.25,19737
case_085,5,shared_resource,1169044,3187899,2.72692815668187,34301210,64.82485392130911,2,3548010,grain_0.25,19737
case_086,2,shared_region,102016,118403,1.1606316656210791,2674522,17.532980900024995,11,103009,directed_split,5274
case_086,2,shared_resource,103009,118403,1.1494432525313323,2665304,11.014697200036608,7,132021,grain_2.0,5274
case_086,3,shared_region,97297,118403,1.2169234405994018,3334272,42.814879888668656,11,101314,grain_1.0,5274
case_086,3,shared_resource,97297,118403,1.2169234405994018,3334272,23.84524517506361,5,134396,grain_1.0,5274
case_086,4,shared_region,98592,118403,1.2009392242778318,3359618,44.40077952854335,11,101692,directed_split,5274
case_086,4,shared_resource,98592,118403,1.2009392242778318,3359618,21.823886021971703,4,143633,directed_split,5274
case_086,5,shared_region,99507,118403,1.1898961882078647,3359618,42.77698138542473,11,102015,directed_split,5274
case_086,5,shared_resource,99507,118403,1.1898961882078647,3359618,20.891271855682135,4,152568,directed_split,5274
case_087,2,shared_region,2320950,3974071,1.712260496779336,41490238,570.6219533924013,9,2415068,multilevel,27556
case_087,2,shared_resource,2372171,3974071,1.6752885858565845,46065992,329.0097087100148,7,3453846,directed_split,27556
case_087,3,shared_region,1760458,3974071,2.2574074473801704,46056776,739.8411824889481,11,1905750,directed_split,27556
case_087,3,shared_resource,1802706,3974071,2.204503119199692,57111524,249.7811178304255,4,2806885,directed_split,27556
case_087,4,shared_region,1478670,3974071,2.687598314701725,57134564,694.0770913828164,11,1595912,directed_split,27556
case_087,4,shared_resource,1478670,3974071,2.687598314701725,57134564,74.59867060743272,2,2646363,directed_split,27556
case_087,5,shared_region,1309863,3974071,3.033959276657177,57102308,468.5729746706784,11,1510817,directed_split,27556
case_087,5,shared_resource,1309863,3974071,3.033959276657177,57102308,59.70849653147161,2,2509578,directed_split,27556
case_088,2,shared_region,163881,243623,1.4865847779791435,2935364,10.042087199981324,11,213324,region_boundary_4720_0,3309
case_088,2,shared_resource,163881,243623,1.4865847779791435,2935364,2.7366314999526367,2,244344,region_boundary_4720_0,3309
case_088,3,shared_region,153688,243623,1.585179064077872,2932484,8.955322300083935,11,213581,grain_0.5,3309
case_088,3,shared_resource,153688,243623,1.585179064077872,2932484,2.4071434000506997,2,230524,grain_0.5,3309
case_088,4,shared_region,153194,243623,1.5902907424572763,2957060,9.10956739995163,11,213581,region_placement_0,3309
case_088,4,shared_resource,153194,243623,1.5902907424572763,2957060,2.6617800999665633,2,203966,region_placement_0,3309
case_088,5,shared_region,151301,243623,1.6101876392092584,2932484,9.135833699954674,11,213581,local_reschedule,3309
case_088,5,shared_resource,151301,243623,1.6101876392092584,2932484,2.6663535999832675,2,195565,local_reschedule,3309
case_089,2,shared_region,372491,693092,1.8606946208096302,7550384,36.29984097741544,11,374657,grain_2.0,5120
case_089,2,shared_resource,374657,693092,1.8499374094171468,7550384,34.2965032402426,8,692462,grain_2.0,5120
case_089,3,shared_region,261276,693092,2.652719729328373,6490456,37.812614178285,11,263918,multilevel,5120
case_089,3,shared_resource,263918,693092,2.626164187361226,7550384,29.416184028610587,7,687752,grain_2.0,5120
