cores,q1,q2,q3
1,1.0,1.0,1.0086217156663206
2,1.8349172085192071,1.9811129510073953,1.9867214241969464
3,2.54623792713394,2.815713606118654,2.834212850748586
4,3.1610089647895614,3.550821967883242,3.59819371801018
5,3.665902693939215,4.159974257393023,4.240374854733234
