case,cores,outcome,loss_type,legacy_base,routed_base,legacy_final,routed_final,base_gap,legacy_J_gain,routed_J_gain,final_gap,J_gain_difference,same_anchor,legacy_base_name,routed_base_name,legacy_base_slot,routed_base_slot,legacy_base_missing_from_routed,old_base_alone_beats_routed_final,ops,largest_fraction,legacy_final_bytes,routed_final_bytes,keep_old_chain_anchor_known,keep_old_chain_cycles,keep_old_chain_bytes,keep_old_chain_J_source,keep_old_depth_anchor_known,keep_old_depth_cycles,keep_old_depth_bytes,keep_old_depth_J_source
8,5,tie,not_loss,100603,100603,100603,100603,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1404,0.009259259259259259,0,0,True,100603,0,legacy,True,100603,0,legacy
9,2,win,not_loss,92042,90844,92042,90801,-1198,0,43,-1241,-43,False,hybrid_work_0.5,depth8_reference_gate,6,8,False,False,6058,0.8418268383001234,0,547342,True,90801,547342,routed,True,92042,0,legacy
9,3,win,not_loss,87234,72361,87234,72361,-14873,0,0,-14873,0,False,chains,depth8_reference_gate,7,8,True,False,6058,0.8418268383001234,764410,737384,True,72361,737384,routed,False,,,
9,4,win,not_loss,77543,62725,77482,62725,-14818,61,0,-14757,61,False,depth8,depth8_reference_gate,8,8,True,False,6058,0.8418268383001234,273632,838982,True,62725,838982,routed,True,77482,273632,legacy
9,5,win,not_loss,65463,56088,65410,56088,-9375,53,0,-9322,53,False,chains,depth8_reference_gate,7,8,True,False,6058,0.8418268383001234,1009526,898504,True,56088,898504,routed,False,,,
10,2,tie,not_loss,42106,42106,42106,42106,0,0,0,0,0,True,chains,chains,6,6,False,False,796,0.19940029985007496,311944,311944,True,42106,311944,legacy,True,42106,311944,legacy
10,3,tie,not_loss,30856,30856,30856,30856,0,0,0,0,0,True,components_pipe,components_pipe,3,3,False,False,796,0.19940029985007496,48384,48384,True,30856,48384,legacy,True,30856,48384,legacy
10,4,tie,not_loss,27450,27450,26340,26340,0,1110,1110,0,0,True,chains,chains,7,7,False,False,796,0.19940029985007496,483232,483232,True,26340,483232,legacy,True,26340,483232,legacy
10,5,tie,not_loss,22006,22006,22006,22006,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,796,0.19940029985007496,562432,562432,True,22006,562432,legacy,True,22006,562432,legacy
11,2,tie,not_loss,92646,92646,92646,92646,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,880,0.0625,180224,180224,True,92646,180224,legacy,True,92646,180224,legacy
11,3,tie,not_loss,64651,64651,64180,64180,0,471,471,0,0,True,depth8,depth8,7,7,False,False,880,0.0625,1660928,1660928,True,64180,1660928,legacy,True,64180,1660928,legacy
11,4,tie,not_loss,46880,46880,46880,46880,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,880,0.0625,540672,540672,True,46880,540672,legacy,True,46880,540672,legacy
11,5,tie,not_loss,46211,46211,46194,46194,0,17,17,0,0,True,depth8,depth8,7,7,False,False,880,0.0625,2033664,2033664,True,46194,2033664,legacy,True,46194,2033664,legacy
12,2,tie,not_loss,25733,25733,25535,25535,0,198,198,0,0,True,depth8,depth8,7,7,False,False,1304,0.10082304526748971,94960,94960,True,25535,94960,legacy,True,25535,94960,legacy
12,3,tie,not_loss,19120,19120,18128,18128,0,992,992,0,0,True,depth8,depth8,7,7,False,False,1304,0.10082304526748971,189892,189892,True,18128,189892,legacy,True,18128,189892,legacy
12,4,tie,not_loss,14948,14948,14948,14948,0,0,0,0,0,True,hybrid_work_1,hybrid_work_1,5,5,False,False,1304,0.10082304526748971,39168,39168,True,14948,39168,legacy,True,14948,39168,legacy
12,5,tie,not_loss,12519,12519,12519,12519,0,0,0,0,0,True,hybrid_work_1,hybrid_work_1,5,5,False,False,1304,0.10082304526748971,25344,25344,True,12519,25344,legacy,True,12519,25344,legacy
13,2,tie,not_loss,132198,132198,132198,132198,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,3202,0.0040650406504065045,8192,8192,True,132198,8192,legacy,True,132198,8192,legacy
13,3,tie,not_loss,88351,88351,88351,88351,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,3202,0.0040650406504065045,16384,16384,True,88351,16384,legacy,True,88351,16384,legacy
13,4,tie,not_loss,66982,66982,66982,66982,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,3202,0.0040650406504065045,24576,24576,True,66982,24576,legacy,True,66982,24576,legacy
