case,cores,makespan,added,single
32,3,11828,12360,41443
33,3,588739,6949440,1774196
34,3,262853,2288640,842996
35,3,75717,1276568,169571
36,3,311345,2304,931510
37,3,71873,790528,210001
38,3,449487,7680000,1364555
39,3,478013,11911168,1435262
40,3,105492,1985768,253454
41,3,1984509,33162240,6003957
42,3,559150,8323648,1686740
43,3,250900,4852554,677656
44,3,38592,280512,154407
45,3,42214,73728,125614
46,3,83842,773312,276455
47,3,156690,1857324,326508
48,3,113666,1177612,222220
49,3,83711,2408560,196276
50,3,60410,1834792,149690
51,3,228581,328736,607628
52,3,57758,176640,180301
53,3,495435,6090084,1472686
54,3,359793,4112418,815051
55,3,34440,74240,118835
56,3,122252,3283132,277285
57,3,20565,14112,59726
58,3,1488602,32673792,4539717
59,3,254073,1171456,829473
60,3,280590,2404480,888789
61,3,27964,43008,77191
62,3,958443,2293248,2854809
63,3,358763,1262592,1070397
64,3,13074,41446,19116
65,3,14696,27792,53068
66,3,146357,2500738,359070
67,3,21240727,161681152,63834834
68,3,180284,2355384,362095
69,3,12637,362890,25144
70,3,39333,259072,117300
71,3,9285,241448,18919
72,3,7939626,121293600,23897828
73,3,3805931,134138624,10081626
74,3,542996,5619712,1682239
75,3,557783,12507404,1441809
76,3,2046322,17912832,6185113
77,3,168976,114688,495320
78,3,718637,7071360,2296143
79,3,10013937,35385344,31052251
80,3,98725,3047424,292138
81,3,51943,0,151795
82,3,288553,5338828,721041
83,3,290539,6672576,1057993
84,3,831104,0,2507412
85,3,1276351,31680716,3187899
86,3,63229,2197292,118403
87,3,1374901,11036160,3974071
88,3,122079,1572244,243623
89,3,225282,3951872,693092
90,3,339896,5560704,1178363
91,3,3042680,60113508,9186769
92,3,1337266,20259008,4815554
93,3,25103,16384,74205
94,3,30976,212544,94892
95,3,677299,703104,2084853
96,3,28731,123264,84194
97,3,3444086,59834368,11491509
98,3,64378,418684,177430
99,3,538274,4403200,1622999
100,3,55427,423036,151223
1,4,58984,3456,233110
2,4,68370,387072,261945
3,4,217774,7333194,602212
4,4,103756,331776,392357
5,4,52228,1498226,95618
6,4,23190,514498,82837
7,4,254398,82944,1012562
8,4,100137,1033728,487605
9,4,61974,845826,153261
10,4,24940,495644,86969
11,4,46880,540672,184697
12,4,13138,38592,59088
13,4,66982,24576,263949
14,4,4496941,54943128,17698626
15,4,48866,365824,177362
16,4,2244367,605676,7715523
17,4,37467,259200,162810
18,4,253579,4606976,1004367
19,4,21217,305508,81144
20,4,133635,180224,532746
21,4,1550324,4608000,6567937
22,4,14224,20736,56780
23,4,29500,280992,122614
24,4,746863,595068,2555343
25,4,1217444,82944,4863026
26,4,32505,549760,99203
27,4,559196,1843200,2363952
28,4,10335263,73292160,43836040
29,4,10103,63508,37555
30,4,697351,6002688,2808034
31,4,359862,7811072,1414369
32,4,9309,74980,41443
33,4,441967,7114848,1774196
34,4,198751,3059200,842996
35,4,63767,1505978,169571
36,4,233584,3456,931510
37,4,53320,614400,210001
38,4,337826,8947200,1364555
39,4,368961,14536704,1435262
40,4,89539,1836692,253454
41,4,1489666,38066176,6003957
42,4,422994,8641376,1686740
43,4,207895,5894554,677656
44,4,37419,375328,154407
45,4,31878,0,125614
46,4,71284,2131744,276455
47,4,142700,2257042,326508
48,4,114384,1270930,222220
49,4,75814,2607184,196276
50,4,57912,2053712,149690
51,4,182222,591064,607628
52,4,44007,259584,180301
53,4,394500,8679750,1472686
54,4,274779,7279264,815051
55,4,29368,74240,118835
56,4,115358,3688062,277285
57,4,16345,28224,59726
58,4,1126941,37941248,4539717
59,4,185216,1081344,829473
60,4,209972,2615552,888789
61,4,22111,51456,77191
62,4,722454,2603520,2854809
63,4,270138,1420800,1070397
64,4,10069,131980,19116
65,4,13004,41760,53068
66,4,116226,3806464,359070
67,4,16409509,226600576,63834834
68,4,156922,2662918,362095
69,4,11292,221642,25144
70,4,29290,333312,117300
71,4,9235,298702,18919
72,4,5949999,125192992,23897828
73,4,3295138,137012864,10081626
74,4,408908,6623232,1682239
75,4,462730,11096688,1441809
76,4,1527039,19563520,6185113
77,4,127386,114688,495320
78,4,540614,6975360,2296143
79,4,7498380,37787648,31052251
80,4,90584,1904640,292138
81,4,39588,0,151795
82,4,235778,6420240,721041
83,4,220202,6953760,1057993
84,4,616840,580608,2507412
85,4,995687,27902578,3187899
86,4,58864,2230254,118403
87,4,1046846,12607488,3974071
88,4,112497,2044228,243623
89,4,165365,1827200,693092
90,4,291652,3457848,1178363
91,4,2314443,67112896,9186769
92,4,1015491,17357600,4815554
93,4,19511,180224,74205
94,4,23186,318240,94892
95,4,506597,0,2084853
96,4,22385,368320,84194
97,4,2622394,14221312,11491509
98,4,53404,316638,177430
99,4,404441,7999488,1622999
100,4,47125,778698,151223
1,5,47502,4608,233110
2,5,55153,514560,261945
3,5,199233,7908308,602212
4,5,86076,3185664,392357
5,5,46194,1671860,95618
6,5,22215,295130,82837
7,5,203834,110592,1012562
8,5,88631,1327104,487605
9,5,56088,898504,153261
10,5,22006,562432,86969
11,5,45658,1984512,184697
12,5,11971,24768,59088
13,5,54363,32768,263949
14,5,3663108,62443416,17698626
15,5,40523,317952,177362
16,5,2088965,444880,7715523
17,5,30276,331776,162810
18,5,201919,3342336,1004367
19,5,17710,238688,81144
20,5,107118,0,532746
21,5,1241101,5120000,6567937
22,5,11479,20736,56780
23,5,24735,270624,122614
24,5,695849,432232,2555343
25,5,975282,110592,4863026
26,5,27735,316396,99203
27,5,456093,17250304,2363952
28,5,8286707,73953792,43836040
29,5,8493,49164,37555
30,5,559882,7484416,2808034
31,5,284848,7931904,1414369
32,5,9937,12288,41443
33,5,355089,7690368,1774196
34,5,161651,2717184,842996
35,5,58308,1058710,169571
36,5,187182,4608,931510
37,5,43013,819200,210001
38,5,275008,9543168,1364555
39,5,308840,8556544,1435262
40,5,78337,2144676,253454
41,5,1195784,39892992,6003957
42,5,335450,9936736,1686740
43,5,199041,6609206,677656
44,5,38080,406912,154407
45,5,25798,0,125614
46,5,69008,750976,276455
47,5,135565,2575320,326508
48,5,101585,1273560,222220
49,5,76809,2912076,196276
50,5,56538,1337182,149690
51,5,170016,427456,607628
52,5,36733,333312,180301
53,5,357068,9823040,1472686
54,5,257061,8197794,815051
55,5,24809,115712,118835
56,5,117134,4124830,277285
57,5,14028,14112,59726
58,5,919506,35348480,4539717
59,5,150736,2326528,829473
60,5,170335,2681216,888789
61,5,18159,110592,77191
62,5,579973,2746368,2854809
63,5,218333,1563648,1070397
64,5,11391,159314,19116
65,5,10945,55872,53068
66,5,106067,3979388,359070
67,5,13438701,229484544,63834834
68,5,130876,3208994,362095
69,5,12621,441008,25144
70,5,25365,449024,117300
71,5,9822,106180,18919
72,5,4826156,77245216,23897828
73,5,2848898,94477312,10081626
74,5,328499,7151616,1682239
75,5,378054,12427608,1441809
76,5,1227673,22311936,6185113
77,5,111374,172032,495320
78,5,465017,6643200,2296143
79,5,6023008,41365504,31052251
80,5,85701,2539520,292138
81,5,30943,0,151795
82,5,203392,4495412,721041
83,5,181378,3690880,1057993
84,5,495292,0,2507412
85,5,890510,38398484,3187899
86,5,52711,2218740,118403
87,5,832912,12648960,3974071
88,5,112814,2047240,243623
89,5,133148,2186320,693092
90,5,267434,7981056,1178363
91,5,1872567,71035764,9186769
92,5,826308,19945856,4815554
93,5,15876,32768,74205
94,5,21745,424800,94892
95,5,412506,629376,2084853
96,5,22134,448896,84194
97,5,2102348,21311488,11491509
98,5,47355,1166870,177430
99,5,329580,6850580,1622999
100,5,45410,1468652,151223
