case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_026,1,2,component_lpt,55057,99203,1.8018235646693428,528854,550790,21936,21936,0,0.0,0,0,0,0,550790,163840,57344,0.15207599999848753,0.03047230001538992,,2,2,11,0,1.7517341999919154,1.6746102998731658,1.7517341999919154,2,official_results/case_026_p1_n2.json.gz,plans/case_026_p1_n2.json,
case_026,1,3,component_pipe_lpt,41195,99203,2.408132054861027,528854,746726,217872,217872,0,0.0,0,0,0,0,746726,163840,57344,0.1415557999862358,0.033493599970825016,,31,31,11,0,1.5607960000052117,1.8314271999406628,1.5607960000052117,2,official_results/case_026_p1_n3.json.gz,plans/case_026_p1_n3.json,
case_026,1,4,bundle_pack,35268,99203,2.8128331632074404,528854,1402326,873472,873472,0,0.0,0,0,0,0,1402326,32768,57344,0.13682549999793991,1.2196552000241354,,55,55,14,0,3.299851200019475,2.5557681000209413,3.299851200019475,2,official_results/case_026_p1_n4.json.gz,plans/case_026_p1_n4.json,
case_026,1,5,bundle_pack,33988,99203,2.9187654466282216,528854,1402334,873480,873480,0,0.0,0,0,0,0,1402334,32768,57344,0.15774340002099052,2.1461929000215605,,60,60,82,0,600.2952720000176,641.1232868999359,600.2952720000176,2,official_results/case_026_p1_n5.json.gz,plans/case_026_p1_n5.json,
