case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_020,1,2,component_lpt,266580,532746,1.9984469952734638,2359296,2359296,0,0,0,0.0,0,0,0,0,2359296,0,32768,11.745836099958979,0.542720100027509,,2,2,9,0,40.57299660000717,61.28709510003682,40.57299660000717,3,official_results/case_020_p1_n2.json.gz,plans/case_020_p1_n2.json,
case_020,1,3,component_lpt,177950,532746,2.993796010115201,2359296,2359296,0,0,0,0.0,0,0,0,0,2359296,0,32768,10.563136499957182,0.882295300019905,,3,3,9,0,21.76046270004008,53.082384799898136,21.76046270004008,3,official_results/case_020_p1_n3.json.gz,plans/case_020_p1_n3.json,
case_020,1,4,component_lpt,133704,532746,3.984518039849219,2359296,2359296,0,0,0,0.0,0,0,0,0,2359296,0,32768,7.296086999995168,0.8815193999907933,,4,4,9,0,20.85500310000498,45.24969569995301,20.85500310000498,3,official_results/case_020_p1_n4.json.gz,plans/case_020_p1_n4.json,
case_020,1,5,component_lpt,107650,532746,4.948871342313051,2359296,2359296,0,0,0,0.0,0,0,0,0,2359296,0,32768,11.314057599985972,3.288238500012085,,5,5,36,0,223.14800649997778,630.8625017001177,223.14800649997778,3,official_results/case_020_p1_n5.json.gz,plans/case_020_p1_n5.json,
