case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_018,1,2,component_round_robin,504287,1004367,1.9916575283519107,1592848,4473360,2880512,1299456,1581056,0.0,0,0,0,0,4473360,524288,65536,2.562966500001494,0.0,,2,2,ok,1383eaaf54b05b89dea1fd58205b4c9c590e81665929dd46e705796f60ad79b6,False
case_018,1,2,component_lpt,504468,1004367,1.9909429339422917,1592848,4846096,3253248,1299456,1953792,0.0,0,0,0,0,4846096,524288,65536,2.660248500003945,0.0,,2,2,ok,906f44db860eff34355e11ff9c39dc0eb86d1da83cd66074bb5cde65c494d644,False
case_018,1,2,component_batches,504828,1004367,1.989523164325275,1592848,5508368,3915520,3915520,0,0.0,0,0,0,0,5508368,495616,65536,10.445547099981923,0.0,,12,12,ok,c7daf76be5aa7273f6d12048a249a53615c22bdce3d59811a95db0194efa3175,False
case_018,1,2,component_batches_128,509046,1004367,1.973037800120225,1592848,7318800,5725952,5725952,0,0.0,0,0,0,0,7318800,180224,65536,9.160456100013107,0.0,,24,24,ok,51a378b0438f9e27535789b3b39ae4e02ac6d6f248e9b4f70c9e1f50bc93f87c,False
case_018,1,2,component_batches_512,503251,1004367,1.995757584187612,1592848,4960784,3367936,3163136,204800,0.0,0,0,0,0,4960784,524288,65536,18.70271889999276,0.0,,6,6,ok,34306a7a21d4c932667517c647b1fdde9c5cad7b93bb911b9dc0ec2906b21e00,False
case_018,1,2,component_pipe_lpt,529081,1004367,1.898323697127661,1592848,11697424,10104576,10104576,0,0.0,0,0,0,0,11697424,28672,65536,11.077491000003647,0.0,,126,126,ok,f25675f89aa264360db6fdfd4124642eb2b344df7197361d89bd441908734185,False
case_018,1,2,component_comm,529828,1004367,1.8956472666601236,1592848,11697424,10104576,10104576,0,0.0,0,0,0,0,11697424,28672,65536,10.772269100008998,0.0,,126,126,ok,580513159e518982a10d69a2682cc07827da98024ce9073d11aaa675db3b5b04,False
case_018,1,2,scene_a_peft,532124,1004367,1.8874679585961167,1592848,11885840,10292992,10292992,0,0.0,0,0,0,0,11885840,28672,65536,18.76821910002036,0.0,,132,132,ok,906f426f27ce157b0f44448ef2d4b194c24bdee770448a6ae3fa49c6d406b50b,False
case_018,1,2,scene_a_spine,530891,1004367,1.8918516230261957,1592848,11885840,10292992,10292992,0,0.0,0,0,0,0,11885840,28672,65536,18.587445900018793,0.0,,132,132,ok,67d31d4c7cfe8c58ee65f6271aceed31c7c94307cbe32289ae0e770a1c3542d9,False
case_018,1,2,whole_graph,1004367,1004367,1.0,1592848,3563024,1970176,0,1970176,0.0,0,0,0,0,3563024,524288,65536,0.0,0.0,,1,1,ok,7b21515c67e743a6c7844a550ac5dd4144f2c4865d75a2091e62a38da0bfef4c,True
case_018,1,3,component_round_robin,347454,1004367,2.8906473950508556,1592848,5559824,3966976,2598912,1368064,0.0,0,0,0,0,5559824,524288,65536,2.1812314999988303,0.0,,3,3,ok,6da6bc0739788d82441987875459433d1f0532aaa065feae902ba6f90cd72057,False
case_018,1,3,component_lpt,341047,1004367,2.9449518688040066,1592848,5686800,4093952,2492416,1601536,0.0,0,0,0,0,5686800,524288,65536,2.2031693999888375,0.0,,3,3,ok,25065b8dad80c7cf99cce510e1f2b9d6b62d94bbe2c0bf2cbc133ba81d9b6c81,False
case_018,1,3,component_pipe_balance,339838,1004367,2.9554287631165437,1592848,5668752,4075904,2474368,1601536,0.0,0,0,0,0,5668752,524288,65536,24.265953800000716,0.0,,3,3,ok,30b2bc5836163216c1f273f134c534ba28bb8318a65eb7a47cf0b1d434285c57,False
case_018,1,3,component_batches,339082,1004367,2.9620180369350186,1592848,5724816,4131968,4131968,0,0.0,0,0,0,0,5724816,442368,65536,5.312778600025922,0.0,,13,13,ok,4e1cc6dee1356a27cad449bd11f9e87109ef32e8d0653494b323fc6a1fa06dd0,False
case_018,1,3,component_batches_128,345225,1004367,2.909311318705192,1592848,7109264,5516416,5516416,0,0.0,0,0,0,0,7109264,180224,65536,12.17598330002511,0.0,,24,24,ok,607d39ad7611908c6add054632a4ce36822e213b8fbc8297392c3fe81c9e8041,False
case_018,1,3,component_batches_512,338233,1004367,2.9694530102030257,1592848,5427088,3834240,3445120,389120,0.0,0,0,0,0,5427088,524288,65536,11.21584790002089,0.0,,8,8,ok,76f8e4d2b3421c2aeb1f0aae211dab62f9fc7e9f7e861cfb0ce5c4796f355a52,False
case_018,1,3,component_pipe_lpt,361103,1004367,2.781386474219267,1592848,11697424,10104576,10104576,0,0.0,0,0,0,0,11697424,28672,65536,18.02016240003286,0.0,,126,126,ok,9ed481408672c81bdb7950969183e3288532f75aae7f67f2df5fc02f618cc7e6,False
case_018,1,3,component_comm,362949,1004367,2.7672400254581224,1592848,11697424,10104576,10104576,0,0.0,0,0,0,0,11697424,28672,65536,14.239558000001125,0.0,,126,126,ok,6edd0a8bdbe78f4be637a7dc33341d7a0ade143c1c1b9c0112d36d6a63a5a776,False
case_018,1,3,scene_a_peft,361091,1004367,2.7814789069791273,1592848,11885840,10292992,10292992,0,0.0,0,0,0,0,11885840,28672,65536,17.968883500027005,0.0,,132,132,ok,b120ae5b47e2f19053c0db31c8cab2e69359c0c8bfda3cb0904b6968f0743e54,False
case_018,1,3,scene_a_spine,358784,1004367,2.799363962718516,1592848,11885840,10292992,10292992,0,0.0,0,0,0,0,11885840,28672,65536,15.149984700023197,0.0,,132,132,ok,2ef61dfc9c1c6afefb5f8e8f9018bf7499833f1aabed2bc04d7e5229038e4a82,False
case_018,1,3,whole_graph,1004367,1004367,1.0,1592848,3563024,1970176,0,1970176,0.0,0,0,0,0,3563024,524288,65536,0.0,0.0,,1,1,ok,4dbc335e73a0c532648db38cacd3ee360b58000116087624b378d8b12a500384,True
case_018,1,4,component_round_robin,258652,1004367,3.8830822881709786,1592848,6380048,4787200,3898368,888832,0.0,0,0,0,0,6380048,524288,65536,2.0022052000276744,0.0,,4,4,ok,62d1b853605049a0a7667e7a6ed5eadfb614787113c4d5050e2d1910c3c43651,False
case_018,1,4,component_lpt,253676,1004367,3.9592511707847806,1592848,6531600,4938752,3779584,1159168,0.0,0,0,0,0,6531600,524288,65536,2.1569157000049017,0.0,,4,4,ok,16be042c1dd7225ee00fbcd2d8d6dd205bf6e08d92b163bed0304f032b233285,False
case_018,1,4,component_pipe_balance,258063,1004367,3.8919449901768175,1592848,6507792,4914944,3755776,1159168,0.0,0,0,0,0,6507792,524288,65536,25.406618600012735,0.0,,4,4,ok,e0239f5dfc4e785decb8da1e92506179e4ae3e6faa44ca474a0a1444c14e94fe,False
case_018,1,4,component_batches,261353,1004367,3.8429518696934797,1592848,6846480,5253632,5253632,0,0.0,0,0,0,0,6846480,401408,65536,6.773584500013385,0.0,,14,14,ok,7b42db8a478a4a60d95de32047b1648754a0f07902b85bf7f5c7ddf2ae7340dd,False
case_018,1,4,component_batches_128,261228,1004367,3.844790757499196,1592848,7911440,6318592,6318592,0,0.0,0,0,0,0,7911440,229376,65536,8.306044799974188,0.0,,26,26,ok,20428ef4cad322a3eccea3b4d6d94e7a2d6e902088a446b9c3dbba27e3922f17,False
