case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_053,1,2,scene_a_spine,767477,1472686,1.9188666240160943,2995288,14405208,11409920,11409920,0,0.0,0,0,0,0,14405208,135360,54342,263.9993331999867,1.0215723000001162,,51,51,6,0,610.6204672000022,1354.587950099958,610.6204672000022,3,official_results/case_053_p1_n2.json.gz,plans/case_053_p1_n2.json,
case_053,1,3,scene_a_spine,545234,1472686,2.7010164443156515,2995288,14405208,11409920,11409920,0,0.0,0,0,0,0,14405208,135360,54342,353.1754979999969,15.724586299969815,,51,51,13,0,1296.3123984999838,3376.3889270999352,1296.3123984999838,3,official_results/case_053_p1_n3.json.gz,plans/case_053_p1_n3.json,
case_053,1,4,component_pipe_balance,492232,1472686,2.991853434965626,2995288,9356280,6360992,2069504,4291488,0.0,0,0,0,0,9356280,519008,54342,188.66081999999005,10.110023499990348,,4,4,13,0,580.6593614000012,1515.1135003999807,580.6593614000012,3,official_results/case_053_p1_n4.json.gz,plans/case_053_p1_n4.json,
case_053,1,5,vws19_57_t63_x,439819,1472686,3.3483910426789203,2995288,16050742,13055454,13055454,0,0.0,0,0,0,0,16050742,109584,130624,7.451860500033945,15.976169399975333,,112,112,59,0,507.25943590002134,1446.467985799536,507.25943590002134,3,official_results/case_053_p1_n5.json.gz,plans/case_053_p1_n5.json,
