case,cores,seed,baseline_makespan,makespan,baseline_speedup,speedup,baseline_added_bytes,added_bytes,time_reduction_pct,unlocked,second_scored,winner,skip_reason
case_090,4,0,527825,527825,2.232488040543741,2.232488040543741,19402440,19402440,0.0,False,False,region_placement_0,
case_090,3,0,550183,550183,2.1417655580052455,2.1417655580052455,25354368,25354368,0.0,False,False,region_boundary_1435_0,
case_090,5,0,509204,509204,2.3141275402392756,2.3141275402392756,19405512,19405512,0.0,False,False,directed_split,
case_097,2,0,5247114,5247114,2.1900627659319007,2.1900627659319007,85295104,85295104,0.0,False,False,region_boundary_5781_0,
case_097,3,0,3509566,3509566,3.2743390493297464,3.2743390493297464,85327872,85327872,0.0,False,False,directed_split,
case_097,4,0,2705741,2705741,4.247083885708204,4.247083885708204,92076032,92076032,0.0,False,False,directed_split,
case_097,5,0,2179047,2179047,5.273639806759561,5.273639806759561,92065792,92065792,0.0,False,False,directed_split,
case_085,2,0,2334501,2334501,1.3655590637999298,1.3655590637999298,34301210,34301210,0.0,False,False,grain_0.25,
case_085,3,0,1626396,1626396,1.960100123217224,1.960100123217224,34301210,34301210,0.0,False,False,grain_0.25,
case_085,4,0,1324330,1324330,2.407178724336079,2.407178724336079,34301210,34301210,0.0,False,False,grain_0.25,
case_085,5,0,1169044,1169044,2.72692815668187,2.72692815668187,34301210,34301210,0.0,False,False,grain_0.25,
