case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_021,1,2,component_batches,3109260,6567937,2.11237947292925,3338240,12451840,9113600,9113600,0,0.0,0,0,0,0,12451840,333824,0,1.446858000010252,3.711060599947814,,16,16,8,0,140.06645599997137,102.8868427000125,140.06645599997137,2,official_results/case_021_p1_n2.json.gz,plans/case_021_p1_n2.json,
case_021,1,3,component_batches_512,2095636,6567937,3.1341020100819037,3338240,13322240,9984000,9984000,0,0.0,0,0,0,0,13322240,436224,0,29.690669899981003,3.6773038000101224,,9,9,9,0,101.7326083999942,181.14508279995061,101.7326083999942,2,official_results/case_021_p1_n3.json.gz,plans/case_021_p1_n3.json,
case_021,1,4,component_round_robin,1550324,6567937,4.236493145948847,3338240,7946240,4608000,4608000,0,0.0,0,0,0,0,7946240,425984,0,1.6486885999911465,0.4459338000160642,,4,4,8,0,33.03054190002149,56.69758770009503,33.03054190002149,2,official_results/case_021_p1_n4.json.gz,plans/case_021_p1_n4.json,
case_021,1,5,component_group8,1243902,6567937,5.280108079253832,3338240,10711040,7372800,7372800,0,0.0,0,0,0,0,10711040,231424,0,8.528800500032958,8.389295100001618,,10,10,27,0,410.1198019000003,775.3657649999368,410.1198019000003,2,official_results/case_021_p1_n5.json.gz,plans/case_021_p1_n5.json,
