case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,base_makespan,candidate_seconds
1,2,fast,116868,1152,233110,1.9946435294520313,12,7,5,0.7578452061861753,0.08806205354630947,116868,0.06761041283607483
1,2,shared,116868,1152,233110,1.9946435294520313,12,7,5,0.7562615182250738,0.0921841450035572,116868,0.0647656749933958
1,3,fast,78545,2304,233110,2.9678528232223567,12,7,5,0.7900040727108717,0.08102280832827091,78545,0.07782922498881817
1,3,shared,78545,2304,233110,2.9678528232223567,12,7,5,0.7604737691581249,0.08299398422241211,78545,0.07085579261183739
1,4,fast,58984,3456,233110,3.952088702020887,12,7,5,0.8021490294486284,0.08095584064722061,58984,0.0874079018831253
1,4,shared,58984,3456,233110,3.952088702020887,12,7,5,0.75764768011868,0.08428873680531979,58984,0.08570659905672073
1,5,fast,47502,4608,233110,4.9073723211654245,12,7,5,0.8113766927272081,0.08349496312439442,47502,0.09910943731665611
1,5,shared,47502,4608,233110,4.9073723211654245,12,7,5,0.7867514975368977,0.07710029371082783,47502,0.09809084050357342
5,2,fast,61371,882310,95618,1.5580322953838133,12,12,0,12.676465483382344,0.8126425463706255,61371,0.7028676737099886
5,2,shared,61371,882310,95618,1.5580322953838133,12,12,0,12.27026185579598,0.7872592192143202,61371,0.4789289925247431
5,3,fast,54267,1461452,95618,1.7619916339580224,12,12,0,13.634699881076813,0.8799568209797144,54267,0.789503300562501
5,3,shared,54267,1461452,95618,1.7619916339580224,12,12,0,13.585338534787297,0.8166872672736645,54267,0.5917639099061489
5,4,fast,52462,1495922,95618,1.8226144638023711,12,12,0,14.564976176247,0.8403980303555727,52572,0.8952331393957138
5,4,shared,52462,1495922,95618,1.8226144638023711,12,12,0,14.153084378689528,0.8596863560378551,52572,0.605566555634141
5,5,fast,50673,1688564,95618,1.8869614982337735,12,12,0,26.29923762753606,0.959771441295743,50733,0.9119051620364189
5,5,shared,50673,1688564,95618,1.8869614982337735,12,12,0,34.4364065118134,1.1129070296883583,50733,0.7211113460361958
12,2,fast,25535,94960,59088,2.314000391619346,12,11,1,1.9429073948413134,0.13500715233385563,25733,0.06812569126486778
12,2,shared,25535,94960,59088,2.314000391619346,12,11,1,1.9290283899754286,0.12911934778094292,25733,0.05722413584589958
12,3,fast,18128,189892,59088,3.259488084730803,12,11,1,2.323934620246291,0.1368598099797964,19120,0.07961203902959824
12,3,shared,18128,189892,59088,3.259488084730803,12,11,1,2.2190840262919664,0.1382601596415043,19120,0.07282797060906887
12,4,fast,14948,39168,59088,3.952903398447953,12,11,1,2.222077840939164,0.1255848202854395,14948,0.0843289028853178
12,4,shared,14948,39168,59088,3.952903398447953,12,11,1,2.1937254313379526,0.12349866703152657,14948,0.07734835520386696
12,5,fast,12519,25344,59088,4.719865803977953,12,11,1,2.39111540466547,0.12576068378984928,12519,0.08157481625676155
12,5,shared,12519,25344,59088,4.719865803977953,12,11,1,2.3432018514722586,0.11994387209415436,12519,0.07730292901396751
22,2,fast,27860,145236,56780,2.0380473797559224,12,10,2,2.2070497814565897,0.1559615321457386,27977,0.07658321224153042
22,2,shared,27860,145236,56780,2.0380473797559224,12,10,2,2.2231572959572077,0.15481312200427055,27977,0.06989908032119274
22,3,fast,18978,13824,56780,2.9918853409210664,12,11,1,2.717607907950878,0.1461282465606928,18978,0.15089789405465126
22,3,shared,18978,13824,56780,2.9918853409210664,12,11,1,2.9099687170237303,0.2494551707059145,18978,0.07978755235671997
22,4,fast,14336,20736,56780,3.960658482142857,12,11,1,2.087131228297949,0.14737961441278458,14336,0.09665422886610031
22,4,shared,14336,20736,56780,3.960658482142857,12,11,1,2.077764395624399,0.1554585713893175,14336,0.09589426219463348
22,5,fast,11479,20736,56780,4.9464239045213,12,11,1,2.1601724568754435,0.1395801492035389,11479,0.10445280000567436
22,5,shared,11479,20736,56780,4.9464239045213,12,11,1,2.162466134876013,0.1496196910738945,11479,0.10523742064833641
24,2,fast,1335245,396856,2555343,1.9137633917370969,12,11,1,20.908227426931262,1.383486058562994,1335245,0.869911503046751
24,2,shared,1335245,396856,2555343,1.9137633917370969,12,11,1,22.308757862076163,1.5070463418960571,1335245,0.5574375446885824
24,3,fast,954537,332124,2555343,2.677049711011726,12,11,1,29.17203037440777,1.4603245835751295,954537,1.5977448616176844
24,3,shared,954537,332124,2555343,2.677049711011726,12,11,1,27.07296729646623,1.4520590621978045,954537,0.6878974195569754
24,4,fast,748435,595068,2555343,3.4142483983245038,12,11,1,31.549285931512713,1.527767539024353,748435,1.0391204115003347
24,4,shared,748435,595068,2555343,3.4142483983245038,12,11,1,28.924848318099976,1.4696085453033447,748435,0.8195991963148117
24,5,fast,695849,432232,2555343,3.672266540585673,12,11,1,38.531095165759325,1.481446409597993,695849,1.1116760037839413
24,5,shared,695849,432232,2555343,3.672266540585673,12,11,1,34.82349465042353,1.5310687776654959,695849,0.8580403663218021
35,2,fast,93692,801138,169571,1.8098770439311787,12,11,1,9.745196456089616,0.7821963783353567,93692,0.5520176403224468
35,2,shared,93692,801138,169571,1.8098770439311787,12,11,1,9.89043596200645,0.7513011153787374,93692,0.4009275659918785
35,3,fast,75717,1276568,169571,2.2395366958542997,12,12,0,11.773554248735309,0.7885281927883625,75717,0.6300820130854845
35,3,shared,75717,1276568,169571,2.2395366958542997,12,12,0,15.954658387228847,1.0581774767488241,75717,0.48148331604897976
35,4,fast,63767,1505978,169571,2.6592281274013203,12,12,0,12.462790621444583,0.7537134736776352,63767,0.6703603696078062
35,4,shared,63767,1505978,169571,2.6592281274013203,12,12,0,12.038360208272934,0.7872789762914181,63767,0.4857593271881342
35,5,fast,58308,1058710,169571,2.9081944158606023,12,12,0,13.164872579276562,0.7246983051300049,58555,0.6956227514892817
35,5,shared,58308,1058710,169571,2.9081944158606023,12,12,0,14.606140568852425,0.734663687646389,58555,0.528746971860528
48,2,fast,150049,467846,222220,1.4809828789262174,12,12,0,4.204005127772689,0.26982743479311466,150049,0.2427811101078987
48,2,shared,150049,467846,222220,1.4809828789262174,12,12,0,4.165102954953909,0.2784258257597685,150049,0.16832366399466991
48,3,fast,114626,1177612,222220,1.9386526616997888,12,12,0,11.781740931794047,0.33192807994782925,114626,0.43378239311277866
