case,cores,r05,r07,ratio,r05_bytes,r07_bytes,outcome
1,2,116868,116868,1.0,1152,1152,tie
1,3,78545,78545,1.0,2304,2304,tie
1,4,58984,58984,1.0,3456,3456,tie
1,5,47502,47502,1.0,4608,4608,tie
2,2,134224,134224,1.0,216576,216576,tie
2,3,90565,90565,1.0,423936,423936,tie
2,4,68574,68574,1.0,377856,377856,tie
2,5,55189,55189,1.0,514560,514560,tie
3,2,341181,341181,1.0,6564470,6564470,tie
3,3,274348,274348,1.0,9497892,9497892,tie
3,4,217774,217774,1.0,7333194,7333194,tie
3,5,199233,199233,1.0,7908308,7908308,tie
4,2,199074,199074,1.0,110592,110592,tie
4,3,134043,134043,1.0,221184,221184,tie
4,4,104188,104188,1.0,331776,331776,tie
4,5,88341,88341,1.0,442368,442368,tie
5,2,61371,61371,1.0,882310,882310,tie
5,3,54267,54267,1.0,1461452,1461452,tie
5,4,52462,52462,1.0,1495922,1495922,tie
5,5,55679,50673,1.0987902827935982,1859574,1688564,win
6,2,40815,40815,1.0,17280,17280,tie
6,3,30449,30449,1.0,118176,118176,tie
6,4,26843,26843,1.0,203696,203696,tie
6,5,27216,27216,1.0,219928,219928,tie
7,2,507494,507494,1.0,27648,27648,tie
7,3,338094,338094,1.0,55296,55296,tie
7,4,254398,254398,1.0,82944,82944,tie
7,5,203834,203834,1.0,110592,110592,tie
8,2,244266,244266,1.0,0,0,tie
8,3,163359,163359,1.0,0,0,tie
8,4,123060,123060,1.0,0,0,tie
8,5,100603,100603,1.0,0,0,tie
9,2,90801,90801,1.0,547342,547342,tie
9,3,72361,72361,1.0,737384,737384,tie
9,4,62725,62725,1.0,838982,838982,tie
9,5,56088,56088,1.0,898504,898504,tie
10,2,42106,42106,1.0,311944,311944,tie
10,3,30856,30856,1.0,48384,48384,tie
10,4,26340,26340,1.0,483232,483232,tie
10,5,22006,22006,1.0,562432,562432,tie
11,2,92646,92646,1.0,180224,180224,tie
11,3,64180,64180,1.0,1660928,1660928,tie
11,4,46880,46880,1.0,540672,540672,tie
11,5,46194,46194,1.0,2033664,2033664,tie
12,2,25535,25535,1.0,94960,94960,tie
12,3,18128,18128,1.0,189892,189892,tie
12,4,14948,14948,1.0,39168,39168,tie
12,5,12519,12519,1.0,25344,25344,tie
13,2,132198,132198,1.0,8192,8192,tie
13,3,88351,88351,1.0,16384,16384,tie
13,4,66982,66982,1.0,24576,24576,tie
13,5,54363,54363,1.0,32768,32768,tie
14,2,8909568,8909568,1.0,69998520,69998520,tie
14,3,5951263,5951263,1.0,56526504,56526504,tie
14,4,4526637,4526637,1.0,59878296,59878296,tie
14,5,3663108,3663108,1.0,62443416,62443416,tie
15,2,87493,87493,1.0,109824,109824,tie
15,3,61018,61018,1.0,298252,298252,tie
15,4,48866,48866,1.0,365824,365824,tie
15,5,42569,42569,1.0,326144,326144,tie
16,2,4027025,4027025,1.0,404200,404200,tie
16,3,2877849,2877849,1.0,341100,341100,tie
16,4,2244367,2244367,1.0,605676,605676,tie
16,5,2088965,2088965,1.0,444880,444880,tie
17,2,76658,76658,1.0,87552,87552,tie
17,3,49850,49850,1.0,175104,175104,tie
