case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_067,1,2,component_round_robin,33768704,63834834,1.890354868223548,6048128,270072704,264024576,3721600,260302976,0.0,0,0,0,0,270072704,513024,0,150.58621969999513,0.7730623999959789,,2,2,7,0,530.4484889000305,410.7372001000331,530.4484889000305,3,official_results/case_067_p1_n2.json.gz,plans/case_067_p1_n2.json,
case_067,1,3,component_round_robin,23568859,63834834,2.7084397254869232,6048128,269647872,263599744,7443200,256156544,0.0,0,0,0,0,269647872,513024,0,160.93444509996334,3.7181111000245437,,3,3,7,0,173.5627365000546,331.3389317999827,173.5627365000546,3,official_results/case_067_p1_n3.json.gz,plans/case_067_p1_n3.json,
case_067,1,4,component_round_robin,18473155,63834834,3.4555458447677183,6048128,269223040,263174912,11164800,252010112,0.0,0,0,0,0,269223040,513024,0,127.94135789998109,4.9934962000115775,,4,4,7,0,142.66861519997474,297.55604699999094,142.66861519997474,3,official_results/case_067_p1_n4.json.gz,plans/case_067_p1_n4.json,
case_067,1,5,win_w7,13376272,63834834,4.772244015372893,6048128,290407040,284358912,284358912,0,0.0,0,0,0,0,290407040,297984,0,118.38958680001087,18.48551710002357,,1278,1278,34,0,754.7979416000308,1984.7720672000432,754.7979416000308,3,official_results/case_067_p1_n5.json.gz,plans/case_067_p1_n5.json,
