case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_093,1,2,component_round_robin,37827,74205,1.9616940280751844,714752,722944,8192,8192,0,0.0,0,0,0,0,722944,20480,0,0.1462086999672465,0.0,,2,2,ok,ea3740e6bdc0a8c835e08e75b310873b6521b79cb3c29b795e9527c70a588af3,False
case_093,1,2,component_batches,38269,74205,1.9390368183124722,714752,739328,24576,24576,0,0.0,0,0,0,0,739328,20480,0,0.14103420003084466,0.0,,4,4,ok,6fbe473f39776c9206fab3aae8fd50fcd7313057b8a49b3e02bb96ba1787cd20,False
case_093,1,2,component_batches_128,38711,74205,1.916897006018961,714752,755712,40960,40960,0,0.0,0,0,0,0,755712,20480,0,0.11386489996220917,0.0,,6,6,ok,85ca91d49877a526baea5a3608c490a8c4430ee3ab646c495b00b78d7069b3a3,False
case_093,1,2,component_pipe_lpt,52785,74205,1.4057971014492754,714752,1271808,557056,557056,0,0.0,0,0,0,0,1271808,12288,0,0.17655889998422936,0.0,,69,69,ok,e52ca5f83ef0a565080b985af86cf1d4744aa92e47cf5a25cce21ba6e76ba2f5,False
case_093,1,2,scene_a_peft,50362,74205,1.4734323497875381,714752,1288192,573440,573440,0,0.0,0,0,0,0,1288192,12288,0,0.21091980003984645,0.0,,73,73,ok,8e2b645f1ac4bdec8f38d8f8eb2eea1b650226ab0b364b9b69c360e51c680871,False
case_093,1,2,scene_a_spine,53424,74205,1.3889824797843666,714752,1288192,573440,573440,0,0.0,0,0,0,0,1288192,12288,0,0.20617489999858662,0.0,,73,73,ok,339ace39bfe1508ef78e1cf9aa82b52e28083fe4fd1b09ad08f3908c657f1b9b,False
case_093,1,2,whole_graph,74205,74205,1.0,714752,714752,0,0,0,0.0,0,0,0,0,714752,20480,0,0.0,0.0,,1,1,ok,28c4096c8f839f30bf0634a3dcb69c94319fdd90ef8cce0eea5cb829e3327e66,True
case_093,1,3,component_round_robin,25103,74205,2.956021192686133,714752,731136,16384,16384,0,0.0,0,0,0,0,731136,20480,0,0.1484700000146404,0.0,,3,3,ok,0356ba69735ce3264c8df2a9bc3f9a82af3de9684a70755fbbb3bfa6d1ada48d,False
case_093,1,3,component_batches_128,25650,74205,2.8929824561403508,714752,755712,40960,40960,0,0.0,0,0,0,0,755712,20480,0,0.13524859998142347,0.0,,6,6,ok,b36800c8e8dcfc698831edaeadd78be7060c9c6dfff685bbf79fef5fbde302ec,False
case_093,1,3,component_pipe_lpt,37137,74205,1.9981420147023183,714752,1271808,557056,557056,0,0.0,0,0,0,0,1271808,12288,0,0.19365400000242516,0.0,,69,69,ok,3cbd119722b7e3e951bd3bb76ed694660385a1752eab0da81ede521171c2f454,False
case_093,1,3,scene_a_peft,33943,74205,2.1861650413929232,714752,1288192,573440,573440,0,0.0,0,0,0,0,1288192,12288,0,0.22344590001739562,0.0,,73,73,ok,16a3a288344f2ebc3d21f09cff8ef5bf52d21b8fc89a266d04fada7c8dfcf495,False
case_093,1,3,scene_a_spine,38001,74205,1.9527117707428752,714752,1288192,573440,573440,0,0.0,0,0,0,0,1288192,12288,0,0.1965485000400804,0.0,,73,73,ok,a603c34c11a1909d3c00e7eecd307688b73ce8aad385e5a7095473cceec871eb,False
case_093,1,3,whole_graph,74205,74205,1.0,714752,714752,0,0,0,0.0,0,0,0,0,714752,20480,0,0.0,0.0,,1,1,ok,a832886fcb56185819e8ceb764a2dc173d10b10de3d1fdf49e2bc9a6e07c3aee,True
case_093,1,4,component_round_robin,19779,74205,3.751706355225239,714752,739328,24576,24576,0,0.0,0,0,0,0,739328,20480,0,0.1439333999878727,0.0,,4,4,ok,824d8f0d5fdbde46ea60ee04878ff2aa689590fcab47f214b9fe8f2d02efbeea,False
case_093,1,4,component_batches_128,20467,74205,3.625592417061611,714752,772096,57344,57344,0,0.0,0,0,0,0,772096,20480,0,0.16782999999122694,0.0,,8,8,ok,bde2ba5a420c1e00f8c236aa876c4589c901972a47f7642616516dc0eb09fdcd,False
case_093,1,4,component_pipe_lpt,31229,74205,2.376156777354382,714752,1271808,557056,557056,0,0.0,0,0,0,0,1271808,12288,0,0.21821570000611246,0.0,,69,69,ok,b41a954fb6c4941fc12238aca76749aac8b6f7ea0ad2073425f821a31f3689c7,False
case_093,1,4,scene_a_peft,29257,74205,2.5363160952934343,714752,1288192,573440,573440,0,0.0,0,0,0,0,1288192,12288,0,0.25295170000754297,0.0,,73,73,ok,4340ef4ef43cbf7a9b51398fa90eb1e72fb16e8fbb4335d067d259c0ffbe4ef5,False
case_093,1,4,scene_a_spine,31938,74205,2.3234078527146345,714752,1288192,573440,573440,0,0.0,0,0,0,0,1288192,12288,0,0.1900494000292383,0.0,,73,73,ok,71bb2b2edfe5526d8cf346cd72a3793798845cfeacdc4f0f7f00a99ffe77d1be,False
case_093,1,4,whole_graph,74205,74205,1.0,714752,714752,0,0,0,0.0,0,0,0,0,714752,20480,0,0.0,0.0,,1,1,ok,b78d8604064071a5ad387a09bfa02d0ce114d2bd93ca588b585dc1a4c8878e7c,True
case_093,1,5,component_round_robin,15876,74205,4.674036281179139,714752,747520,32768,32768,0,0.0,0,0,0,0,747520,20480,0,0.1142019999679178,0.0,,5,5,ok,bb04b671cbb27a4803367444f50eed9586fa80cae2848109ccd3c4a1ea4efe70,False
case_093,1,5,component_pipe_lpt,28635,74205,2.5914091147197484,714752,1271808,557056,557056,0,0.0,0,0,0,0,1271808,12288,0,0.16551810002420098,0.0,,69,69,ok,795870cd551c354aac381320a8e7c430e87108a45e1ba100422387019dfb6529,False
case_093,1,5,scene_a_peft,22810,74205,3.253178430512933,714752,1288192,573440,573440,0,0.0,0,0,0,0,1288192,12288,0,0.18256049999035895,0.0,,73,73,ok,10bb0ee5ad614c09952c34734bc979f9eff216c324ec18a690e55f2b6b891964,False
case_093,1,5,scene_a_spine,29288,74205,2.5336315214422287,714752,1288192,573440,573440,0,0.0,0,0,0,0,1288192,12288,0,0.15140080003766343,0.0,,73,73,ok,2281b147f508e2cdcd3332be2467475afa0dd380068d8eafff19740e180579d9,False
case_093,1,5,weighted_window_20_s1.0,83491,74205,0.8887784312081541,714752,3250176,2535424,2535424,0,0.0,0,0,0,0,3250176,6144,0,0.49996980000287294,0.0,,552,552,ok,5fcd831da6c1e80100749da24c99edc6b93e22091c02658b601e56ee137bf5ec,False
case_093,1,5,critical_cut_b0.16_s1.0,48052,74205,1.5442645467410305,714752,2177024,1462272,1462272,0,0.0,0,0,0,0,2177024,12288,0,0.33139800000935793,0.0,,290,290,ok,51eb6d684b35009f1da3132c58891a09dc5365926a667f875fc7feef26dc1a33,False
case_093,1,5,critical_cut_b0.06_s0.35,58681,74205,1.264549002232409,714752,2246656,1531904,1531904,0,0.0,0,0,0,0,2246656,12288,0,0.33886989997699857,0.0,,307,307,ok,e2eb9bf5188b1754ef15c2da56d44796db79326372996a5de083812f555da6f9,False
case_093,1,5,component_group3,20539,74205,3.612882808315887,714752,894976,180224,180224,0,0.0,0,0,0,0,894976,20480,0,0.10335669998312369,0.0,,23,23,ok,2e32df0d99fdf08f043cf61993b6e3326b470a8f932de538ea614f09aa4ebe1b,False
case_093,1,5,component_group4,20573,74205,3.6069119720021385,714752,854016,139264,139264,0,0.0,0,0,0,0,854016,20480,0,0.12183059996459633,0.0,,18,18,ok,fbcf22f52f33024951a01459bb5e9e22c5087d5bd2526bf2da7b473be606024b,False
case_093,1,5,component_group8,18708,74205,3.9664849262347657,714752,780288,65536,65536,0,0.0,0,0,0,0,780288,20480,0,0.11475690000224859,0.0,,9,9,ok,2084d8f5f0d8405aba36a1459057d1a6cc54380e9930ad789d8913e163ed082c,False
case_093,1,5,kios_adaptive_batch_t8,18885,74205,3.9293089753772836,714752,870400,155648,155648,0,0.0,0,0,0,0,870400,20480,0,0.1263463000068441,0.0,,20,20,ok,1cce0344069df0bf7b6e12b6ac3fbc0d23fe24849aa48c544ae3d10556b6d46d,False
case_093,1,5,kios_adaptive_batch_t2,16879,74205,4.396291249481604,714752,788480,73728,73728,0,0.0,0,0,0,0,788480,20480,0,0.12995570001658052,0.0,,10,10,ok,7247a26538e0ea378fad0678f321dfcbbd048961c26e4796c0db0a2c063bdda9,False
case_093,1,5,component_group2,21894,74205,3.389284735543985,714752,993280,278528,278528,0,0.0,0,0,0,0,993280,18432,0,0.12895640003262088,0.0,,35,35,ok,5920dff62df42fc57f9a7adb0425b664bcaf2cd0159971d4d582e82f3ae93015,False
case_093,1,5,component_group7,16879,74205,4.396291249481604,714752,788480,73728,73728,0,0.0,0,0,0,0,788480,20480,0,0.10771890002069995,0.0,,10,10,ok,399b0da40b237718eb25c3d6a083a64bc031cb83debb635bc671d172662a7fa8,False
case_093,1,5,pipe_seg_0.5,84370,74205,0.8795187862984473,714752,927744,212992,212992,0,0.0,0,0,0,0,927744,20480,0,0.1293306999723427,0.0,,10,10,ok,84e5c1035e3996aa0dbd74dcfbbc2ec018f36b75a0886d6053264694139e665c,False
case_093,1,5,pipe_seg_0.5_peftins,76270,74205,0.9729251343909794,714752,927744,212992,212992,0,0.0,0,0,0,0,927744,20480,0,0.1323219999903813,0.0,,10,10,ok,b7adf90843819998d2f818713a0bb27066be8b58f8643796f61977be69ecddb3,False
case_093,1,5,pipe_seg_1.0,78801,74205,0.9416758670575246,714752,813056,98304,98304,0,0.0,0,0,0,0,813056,20480,0,0.12744969996856526,0.0,,5,5,ok,493898b000e685c67457666a45793aba819be6a5438a66bacb7561467cd825bd,False
