case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_063,1,2,window16_heft,538695,1070397,1.9870186283518503,5021184,5058048,36864,36864,0,0.0,0,0,0,0,5058048,7680,15360,20.263690199994016,2.7788344000000507,,13,13,13,0,397.7318548000185,786.6784896000754,397.7318548000185,3,official_results/case_063_p1_n2.json.gz,plans/case_063_p1_n2.json,
case_063,1,3,window16_heft,360020,1070397,2.973159824454197,5021184,5058048,36864,36864,0,0.0,0,0,0,0,5058048,7680,15360,84.76458289998118,8.517342400038615,,13,13,13,0,295.42794120003236,814.5747262999066,295.42794120003236,3,official_results/case_063_p1_n3.json.gz,plans/case_063_p1_n3.json,
case_063,1,4,window12_heft,284144,1070397,3.7670934455768905,5021184,5207040,185856,185856,0,0.0,0,0,0,0,5207040,7680,10752,10.391340599977411,12.302166400011629,,60,60,13,0,427.00927389995195,1071.5899374998407,427.00927389995195,3,official_results/case_063_p1_n4.json.gz,plans/case_063_p1_n4.json,
case_063,1,5,cav16_8_t15_b65536_peftins,228432,1070397,4.685845240596764,5021184,5197824,176640,176640,0,0.0,0,0,0,0,5197824,7680,12288,14.291603800025769,20.705962000007275,,57,57,47,0,1154.73308679997,3331.761417099915,1154.73308679997,3,official_results/case_063_p1_n5.json.gz,plans/case_063_p1_n5.json,
