case,cores,makespan,added,single,no_l2_makespan,no_l2_added,cache_hit_rate,same_plan_cache_ratio
92,4,1003903,18235168,4815554,1015537,18235168,0.21428102694571483,1.0115887690344585
93,4,19472,180224,74205,19511,180224,0.024242424242424242,1.0020028759244042
94,4,22561,318528,94892,25518,318528,0.3332658104768464,1.131066885333097
95,4,506597,0,2084853,506597,0,0.0,1.0
96,4,22385,368316,84194,22689,368316,0.21455058656066384,1.0135805226714318
97,4,2622413,14221312,11491509,2622394,14221312,0.09031471631205673,0.9999927547644097
98,4,53262,316638,177430,53273,316638,0.12419302461518478,1.000206526228831
99,4,403320,8929280,1622999,408342,8929280,0.5063313754829488,1.0124516512942576
100,4,46534,1418568,151223,50101,1418568,0.423464226595549,1.0766536296041604
1,5,47502,4608,233110,47502,4608,0.0,1.0
2,5,55153,514560,261945,55153,514560,0.0031088082901554403,1.0
3,5,187997,7908308,602212,199233,7908308,0.339472751437007,1.0597669111741146
4,5,83248,3231744,392357,85698,3231744,0.2301980198019802,1.0294301364597347
5,5,42856,1706228,95618,46279,1706228,0.28247209919868616,1.0798721299234646
6,5,20637,296160,82837,21324,296160,0.16608035695449463,1.033289722343364
7,5,203834,110592,1012562,203834,110592,0.0,1.0
8,5,92069,516864,487605,92069,516864,0.0,1.0
9,5,53324,898504,153261,56088,898504,0.23491969948212474,1.0518340709624183
10,5,20828,563780,86969,22516,563780,0.2911981871881047,1.0810447474553486
11,5,41082,839680,184697,41774,839680,0.4557926829268293,1.0168443600603672
12,5,11971,47232,59088,13248,47232,0.08889424235124066,1.106674463286275
13,5,54117,32768,263949,54363,32768,0.00597609561752988,1.0045457065247518
14,5,3563208,59885976,17698626,3606343,59885976,0.4879734574315547,1.0121056643339372
15,5,38214,317952,177362,39126,317952,0.07366391835227547,1.0238655989951326
16,5,2086755,444880,7715523,2088965,444880,0.5162722893194698,1.0010590605988725
17,5,30911,336384,162810,30911,336384,0.3551385997966729,1.0
18,5,200642,3372672,1004367,201988,3372672,0.5907789871563831,1.0067084658247027
19,5,17271,267360,81144,17271,267360,0.2459414271074915,1.0
20,5,107256,0,532746,107256,0,0.0,1.0
21,5,1241101,5120000,6567937,1241101,5120000,0.2493150684931507,1.0
22,5,11479,20736,56780,11479,20736,0.08851098704092608,1.0
23,5,24361,280992,122614,24361,280992,0.2554669605125896,1.0
24,5,693639,432232,2555343,695849,432232,0.518754165024978,1.0031860953608434
25,5,975282,110592,4863026,975282,110592,0.0,1.0
26,5,26486,316400,99203,26487,316400,0.23771693472798208,1.0000377557955147
27,5,455888,17268736,2363952,457150,17268736,0.25540175557056044,1.0027682237742603
28,5,8163258,73953792,43836040,8334300,73953792,0.5994954509582502,1.020952663752634
29,5,8458,45076,37555,8458,45076,0.014487934974073104,1.0
30,5,559431,8979968,2808034,559420,8979968,0.549993247197587,0.9999803371640112
31,5,283939,7900160,1414369,284862,7900160,0.48481516191532564,1.0032506982133487
32,5,9936,12288,41443,9937,12288,0.04216247375138963,1.0001006441223832
33,5,355844,5639232,1774196,356282,5639232,0.28173030204685,1.0012308764514788
34,5,160224,3487744,842996,165651,3487744,0.5578293567241729,1.033871330137807
35,5,57848,1058710,169571,58308,1058710,0.2729764849369094,1.0079518738763658
36,5,187182,4608,931510,187182,4608,0.0,1.0
37,5,43013,860160,210001,43013,860160,0.32794117647058824,1.0
38,5,272531,9538560,1364555,275163,9538560,0.40789878613396174,1.0096576169316518
39,5,299122,12238848,1435262,312806,12238848,0.3440458395615346,1.0457472201977789
40,5,76698,1927588,253454,77348,1927588,0.3176595773460361,1.0084747972567734
41,5,1192741,39894016,6003957,1195788,39894016,0.274584900467847,1.0025546199887485
42,5,335061,9936736,1686740,335450,9936736,0.5091240875912408,1.001160982627044
43,5,182034,6592822,677656,199245,6592822,0.3902518413104529,1.094548271202083
44,5,35982,452992,154407,38879,452992,0.18835540973973508,1.080512478461453
45,5,25722,0,125614,25722,0,0.0,1.0
46,5,67778,750976,276455,69320,750976,0.19632028808543223,1.0227507450795243
47,5,134070,2575320,326508,135565,2575320,0.3311661851349157,1.011150891325427
48,5,101557,1273560,222220,101604,1273560,0.17038360356156235,1.0004627942928601
49,5,74586,2894220,196276,76843,2894220,0.15363603364893982,1.030260370578929
50,5,55970,1337182,149690,56538,1337182,0.13999428316976847,1.0101482937287833
51,5,167806,427456,607628,170016,427456,0.5197015376809897,1.0131699700845023
52,5,36766,304128,180301,38113,304128,0.17990759056949915,1.0366371103737149
53,5,331284,9857696,1472686,357373,9857696,0.4510577602975308,1.0787511621448667
54,5,252882,8198466,815051,256867,8198466,0.1662299802643483,1.015758337880909
55,5,24831,173568,118835,24831,173568,0.16527287741160573,1.0
56,5,115035,4129054,277285,117211,4129054,0.16686025580937244,1.0189159820924067
57,5,14028,14112,59726,14028,14112,0.040239520958083835,1.0
58,5,905225,40996864,4539717,931102,40996864,0.27937381730603816,1.0285862630837637
59,5,150736,2072576,829473,150782,2072576,0.5441558441558442,1.0003051693026217
60,5,166686,3510656,888789,168515,3510656,0.5135622735045416,1.010972727163649
61,5,17886,110592,77191,18351,110592,0.14357779889055747,1.0259979872525997
62,5,579973,2746368,2854809,579973,2746368,0.0,1.0
63,5,218333,1563648,1070397,218333,1563648,0.0038402457757296467,1.0
64,5,11313,159314,19116,11362,159314,0.23099387510260783,1.004331300274021
65,5,10530,55728,53068,10829,55728,0.11789066192523238,1.028395061728395
66,5,99989,3969404,359070,105645,3969404,0.227324573969413,1.0565662222844512
67,5,12923295,228327936,63834834,13558894,228327936,0.4946759796146472,1.0491824259989422
68,5,116565,3414178,362095,128131,3414178,0.1918447990941641,1.0992236091451122
69,5,11650,443024,25144,12831,443024,0.2851089034272945,1.10137339055794
70,5,25262,449024,117300,25367,449024,0.26929318365439725,1.004156440503523
71,5,9550,309518,18919,10080,309518,0.3075268956075889,1.0554973821989528
72,5,4771746,121799344,23897828,4779320,121799344,0.11397953305814819,1.0015872596739224
73,5,2480426,93595904,10081626,2939947,93595904,0.4118401864111475,1.1852589031077727
74,5,328279,7151616,1682239,328499,7151616,0.47151320735655944,1.0006701616612699
75,5,364732,12427608,1441809,378054,12427608,0.2614902071052464,1.0365254488226971
76,5,1226477,31962112,6185113,1230397,31962112,0.35713074444632864,1.0031961463606738
77,5,111222,172032,495320,111222,172032,0.07436674661045817,1.0
78,5,435870,10766304,2296143,470359,10766304,0.6982409818960917,1.0791268038635373
79,5,5993296,54609920,31052251,5999242,54609920,0.2972579059756635,1.000992108515915
80,5,71493,2920448,292138,97924,2920448,0.44227504244482174,1.3697005301218301
81,5,30943,0,151795,30943,0,0.0,1.0
82,5,200449,7712376,721041,206876,7712376,0.3264437434699402,1.032063018523415
83,5,177046,7756160,1057993,200940,7756160,0.4414169567046143,1.1349592761203302
84,5,495240,0,2507412,495240,0,0.0,1.0
85,5,846640,38398484,3187899,890475,38398484,0.27615046809613364,1.0517752527638666
86,5,48379,2221332,118403,52595,2221332,0.30553890004632683,1.0871452489716613
87,5,829449,12648960,3974071,832912,12648960,0.2783871926036017,1.0041750607933702
88,5,108035,1831812,243623,110791,1831812,0.08251792115261923,1.0255102513074466
89,5,133139,2186320,693092,133148,2186320,0.14290179840051964,1.00006759852485
90,5,225215,8826240,1178363,274501,8826240,0.5726089424992089,1.2188397753257998
91,5,1837577,71035764,9186769,1872567,71035764,0.5335926924845926,1.0190413789462973
92,5,801052,20375936,4815554,819013,20375936,0.27076757378080374,1.0224217653785272
93,5,15628,61440,74205,15876,61440,0.036303630363036306,1.015868953160993
94,5,19391,424800,94892,20178,424800,0.39176546207684615,1.0405858387911917
95,5,412506,629376,2084853,412506,629376,0.0,1.0
96,5,21963,448896,84194,22134,448896,0.3090141067292039,1.0077858216090698
97,5,2102250,21311488,11491509,2102348,21311488,0.24523466282236103,1.0000466167201807
98,5,45067,1175058,177430,47066,1175058,0.3074583354730143,1.0443561807974793
99,5,324458,9244672,1622999,330667,9244672,0.45904062248690475,1.0191365292272034
100,5,41579,1468656,151223,45651,1468656,0.4113724219225773,1.097934053248034
