case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_062,1,2,window16_heft,1432564,2854809,1.9927968314155597,13401600,13453824,52224,52224,0,0.0,0,0,0,0,13453824,7680,15360,18.21606609999435,1.7008389999973588,,18,18,13,0,291.6527901000227,668.2256146,291.6527901000227,5,official_results/case_062_p1_n2.json.gz,plans/case_062_p1_n2.json,
case_062,1,3,window12_heft,986120,2854809,2.894991481766925,13401600,13854720,453120,453120,0,0.0,0,0,0,0,13854720,7680,13824,6.8721690000384115,2.0849010999663733,,147,147,13,0,181.17625150003005,646.703650200041,181.17625150003005,5,official_results/case_062_p1_n3.json.gz,plans/case_062_p1_n3.json,
case_062,1,4,window12_heft,744478,2854809,3.834645214499287,13401600,13854720,453120,453120,0,0.0,0,0,0,0,13854720,7680,13824,6.544567900011316,1.8997222000034526,,147,147,13,0,161.85345080000116,613.0820778998896,161.85345080000116,5,official_results/case_062_p1_n4.json.gz,plans/case_062_p1_n4.json,
case_062,1,5,window12_heft,603087,2854809,4.733660317665611,13401600,13854720,453120,453120,0,0.0,0,0,0,0,13854720,7680,13824,4.464795199979562,1.3633730000001378,,147,147,21,0,127.05159689998254,592.8251055998844,127.05159689998254,5,official_results/case_062_p1_n5.json.gz,plans/case_062_p1_n5.json,
