case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_042,1,2,component_batches_512,835176,1686740,2.019622211366227,2388964,12204292,9815328,9710880,104448,0.0,0,0,0,0,12204292,524288,32776,30.346176700026263,4.6703618000028655,,11,11,11,0,406.3271449999884,539.1795583000057,406.3271449999884,2,official_results/case_042_p1_n2.json.gz,plans/case_042_p1_n2.json,
case_042,1,3,component_lpt,562007,1686740,3.0012793434957215,2388964,10723876,8334912,3951168,4383744,0.0,0,0,0,0,10723876,524288,32776,65.65501589997439,3.490036799979862,,3,3,11,0,222.85962950001704,426.95423300005496,222.85962950001704,2,official_results/case_042_p1_n3.json.gz,plans/case_042_p1_n3.json,
case_042,1,4,component_lpt,425650,1686740,3.9627393398331963,2388964,10942276,8553312,5619552,2933760,0.0,0,0,0,0,10942276,524288,32776,61.198062400042545,3.684223899967037,,4,4,11,0,217.28791800001636,396.1711664000177,217.28791800001636,2,official_results/case_042_p1_n4.json.gz,plans/case_042_p1_n4.json,
case_042,1,5,component_lpt,342520,1686740,4.924500759079762,2388964,12576580,10187616,7253856,2933760,0.0,0,0,0,0,12576580,524288,32776,54.08138950000284,9.320431899977848,,5,5,48,0,796.6250529999961,1543.6394518000889,796.6250529999961,2,official_results/case_042_p1_n5.json.gz,plans/case_042_p1_n5.json,
