case,limit_seconds,elapsed_seconds,stage,remote_host,command,output_dir,status
case_085,600,2192.74874689989,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_085 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_085 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_085.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_085,completed_after_target
case_016,600,1160.46832489996,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_016 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_016 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_016.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_016,completed_after_target
case_054,600,3160.38691360014,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_054 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_054 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_054.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_054,completed_after_target
case_092,600,999.953151299909,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_092 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_092 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_092.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_092,completed_after_target
case_084,600,1095.4389911,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_084 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_084 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_084.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_084,completed_after_target
case_053,600,2829.00034030003,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_053 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_053 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_053.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_053,completed_after_target
case_047,600,1768.18419070006,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_047 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_047 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_047.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_047,completed_after_target
case_030,600,1708.59768499987,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_030 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_030 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_030.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_030,completed_after_target
case_003,600,2846.8891267,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_003 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_003 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_003.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_003,completed_after_target
case_097,600,1116.97487760021,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_097 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_097 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_097.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_097,completed_after_target
case_043,600,2265.95889509993,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_043 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_043 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_043.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_043,completed_after_target
case_067,600,657.161244699964,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_067 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_067 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_067.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_067,completed_after_target
case_063,600,1217.99425169994,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_063 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_063 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_063.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_063,completed_after_target
case_075,600,785.314737000037,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_075 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_075 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_075.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_075,completed_after_target
case_056,600,1461.68946330005,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_056 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_056 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_056.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_056,completed_after_target
case_099,600,940.777140100079,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_099 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_099 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_099.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_099,completed_after_target
case_020,600,617.494047700078,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_020 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_020 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_020.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_020,completed_after_target
