case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_027,1,2,component_batches,1119508,2363952,2.1115990238569085,2039808,5357568,3317760,3317760,0,0.0,0,0,0,0,5357568,333824,0,0.42467939999187365,0.05507980001857504,,8,8,8,0,5.079706699994858,3.40468839998357,5.079706699994858,2,official_results/case_027_p1_n2.json.gz,plans/case_027_p1_n2.json,
case_027,1,3,scene_a_spine,790164,2363952,2.991723237201391,2039808,9732096,7692288,7692288,0,0.0,0,0,0,0,9732096,59392,0,0.5222588999895379,0.13796660001389682,,104,104,9,0,5.029891499958467,4.220757400034927,5.029891499958467,2,official_results/case_027_p1_n3.json.gz,plans/case_027_p1_n3.json,
case_027,1,4,component_round_robin,559196,2363952,4.227412213249022,2039808,5357568,3317760,3317760,0,0.0,0,0,0,0,5357568,245760,0,0.39482950000092387,1.3426055000163615,,4,4,7,0,4.691599200014025,2.406104599998798,4.691599200014025,2,official_results/case_027_p1_n4.json.gz,plans/case_027_p1_n4.json,
case_027,1,5,scene_a_spine,494406,2363952,4.7813982840014075,2039808,9732096,7692288,7692288,0,0.0,0,0,0,0,9732096,59392,0,0.42763920000288635,2.6707401999738067,,104,104,40,0,606.8724344999646,748.001823100145,606.8724344999646,2,official_results/case_027_p1_n5.json.gz,plans/case_027_p1_n5.json,
