case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_027,1,2,component_round_robin,1120962,2363952,2.10886006840553,2039808,3784704,1744896,1105920,638976,0.0,0,0,0,0,3784704,524288,0,0.616106600034982,0.0,,2,2,ok,3ff854282991133e062f46814a1c900edaa6542147f39f7fba50191f47108e9a,False
case_027,1,2,component_batches,1119508,2363952,2.1115990238569085,2039808,5357568,3317760,3317760,0,0.0,0,0,0,0,5357568,333824,0,0.42467939999187365,0.0,,8,8,ok,91bb9ffbc6ec30336e3e429f98bbae1f35c63bcac09ceba433c3738015f2ec4e,False
case_027,1,2,component_batches_128,1124556,2363952,2.1021203034797735,2039808,7569408,5529600,5529600,0,0.0,0,0,0,0,7569408,59392,0,0.4202219999860972,0.0,,16,16,ok,6d0b737f8b54e1ee557b226bbf1661d17acb55e434b5111a72c257a409655961,False
case_027,1,2,component_batches_512,1120454,2363952,2.1098161995048437,2039808,4755456,2715648,2396160,319488,0.0,0,0,0,0,4755456,524288,0,0.465538699994795,0.0,,4,4,ok,901b27b5d0106a8b275b778fee23f8a25c6fe1c8676bbd772c8118c036710691,False
case_027,1,2,component_pipe_lpt,1124556,2363952,2.1021203034797735,2039808,7569408,5529600,5529600,0,0.0,0,0,0,0,7569408,59392,0,0.36833570001181215,0.0,,16,16,ok,c4b964116296894de43bb01ca48fea7d0a572ca69781ab74822babe413980193,False
case_027,1,2,scene_a_peft,1226129,2363952,1.9279798455138082,2039808,9732096,7692288,7692288,0,0.0,0,0,0,0,9732096,59392,0,0.5896591999917291,0.0,,104,104,ok,e68e7caef9930dc241499407ce39ea6e3f3020e079fd061411f46fe7064bae93,False
case_027,1,2,scene_a_spine,1180987,2363952,2.0016748702568274,2039808,9732096,7692288,7692288,0,0.0,0,0,0,0,9732096,59392,0,0.5201467999722809,0.0,,104,104,ok,ee9b21466bc13da1a3be6ef657bbdff1ad0e92a3f85aa4d047c4869704514769,False
case_027,1,2,whole_graph,2363952,2363952,1.0,2039808,3440640,1400832,0,1400832,0.0,0,0,0,0,3440640,524288,0,0.0,0.0,,1,1,ok,53ca684096aa606388c5469f9623e6aada4140ad7dbbb23eefd97dd562c31c09,True
case_027,1,3,component_round_robin,837049,2363952,2.8241500796249683,2039808,5726208,3686400,3686400,0,0.0,0,0,0,0,5726208,518144,0,0.6922343000187539,0.0,,3,3,ok,46dcf332a9eee63101f15998e9af6a271d39e119a82901ab17ce6611e1304f0f,False
case_027,1,3,component_batches,840327,2363952,2.8131334587606966,2039808,6739968,4700160,4700160,0,0.0,0,0,0,0,6739968,333824,0,0.43680560000939295,0.0,,9,9,ok,14061b52fb95eeb149fbceb7dadf6e676725bcce25a0d4c72c6ff52874f77ab4,False
