case,cores,migration,base,ordinary,guided,ordinary_bytes,guided_bytes,ordinary_speedup,guided_speedup,ratio,ordinary_seconds,guided_seconds,outcome
14,2,8909568,8909568,8909568,8909568,69998520,69998520,1.9864740916731316,1.9864740916731316,1.0,151.95082404837012,160.98635005764663,tie
14,5,3694137,3675825,3663108,3663108,62443416,62443416,4.831587275068057,4.831587275068057,1.0,205.23351396620274,215.10915910825133,tie
91,2,4571759,4532720,4532609,4532720,52032556,52032556,2.0268170053935823,2.0267673714679044,0.9999755113927178,135.41120785474777,145.09148305654526,loss
91,5,1880163,1872567,1872567,1872567,71035764,71035764,4.90597612795697,4.90597612795697,1.0,166.75279532931745,177.52138817869127,tie
