case,cores,single_makespan,baseline_makespan,makespan,external_makespan,baseline_speedup,speedup,external_speedup,baseline_added_bytes,added_bytes,external_added_bytes,spill_added_bytes,partition_added_bytes,mean_speedup_loss_contribution,gate,tasks,used_cores,solve_seconds,validation_seconds,local_prepare_seconds,best_candidate,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction
case_008,3,487605,171575,163359,163359,2.841935013842343,2.984867684057811,2.984867684057811,0,0,0,0,0,0.0,eligible,3,3,4.36020446382463,0.4162534140050411,0.6341550517827272,structural_component_lpt,864,108,7,0.009259259259259259,0.009259259259259259
case_008,4,487605,135279,123060,123060,3.604439713481028,3.962335446123842,3.962335446123842,0,0,0,0,0,0.0,eligible,4,4,4.193136030808091,0.341929292306304,0.6101842783391476,structural_component_lpt,864,108,7,0.009259259259259259,0.009259259259259259
case_008,5,487605,116950,100603,100603,4.169345874305258,4.846823653370178,4.846823653370178,0,0,0,0,0,0.0,eligible,5,5,4.256716508418322,0.3555732797831297,0.6049348991364241,structural_component_lpt,864,108,7,0.009259259259259259,0.009259259259259259
case_009,2,153261,132262,132262,92198,1.1587682025071449,1.1587682025071449,1.66230286991041,1481610,1481610,0,0,1481610,0.005035346674032652,dominant_component,178,2,21.621042976155877,3.047417664900422,0,grain_1.0,5671,25,365,0.8418268383001234,0.5816528070316087
case_009,3,153261,117616,117616,91440,1.3030625085022447,1.3030625085022447,1.6760826771653543,1951934,1951934,809214,0,1951934,0.003730201686631096,dominant_component,357,3,25.619274413213134,2.842225942760706,0,directed_split,5671,25,365,0.8418268383001234,0.5816528070316087
case_009,4,153261,117873,117873,83225,1.3002214247537605,1.3002214247537605,1.8415259837789126,1951422,1951422,809214,0,1951422,0.005413045590251522,dominant_component,357,4,26.880288230255246,4.464797679334879,0,directed_split,5671,25,365,0.8418268383001234,0.5816528070316087
case_009,5,153261,120100,120100,75973,1.2761115736885928,1.2761115736885928,2.017308780751056,1948354,1948354,809214,0,1948354,0.007411972070624633,dominant_component,356,5,28.247484385967255,3.317142678424716,0,region_boundary_4929_0,5671,25,365,0.8418268383001234,0.5816528070316087
case_010,2,86969,48487,45626,45626,1.7936560315136016,1.9061280848638933,1.9061280848638933,586384,48384,48384,0,48384,0.0,eligible,2,2,2.2100222017616034,0.2580492403358221,0.5356429796665907,structural_component_pipe,667,36,61,0.19940029985007496,0.3616847347636894
case_010,3,86969,39104,39104,30856,2.224043576104746,2.224043576104746,2.8185442053409386,586384,586384,48384,0,586384,0.0059450062923619255,dominant_component,21,3,1.773951904848218,0.19792928360402584,0,grain_1.0,667,36,61,0.19940029985007496,0.3616847347636894
case_010,4,86969,33256,33256,29856,2.6151371181140246,2.6151371181140246,2.9129488210075025,590172,590172,96768,0,590172,0.0029781170289347792,dominant_component,16,4,2.3752479441463947,0.18825657851994038,0,random_boundary,667,36,61,0.19940029985007496,0.3616847347636894
