case,cores,method,makespan,baseline_makespan,speedup,added_copy_bytes,plan_path,plan_sha256,evidence
case_006,2,component_batches_128,41557,82837,1.9933344562889526,24192,solutions/2cores/case_006_multicore_res.json,12a3acb647e04c348e062c4f752d0c352104e5673c59f465ebee31332abdb973,new_full_search_and_replay
case_006,3,component_batches_128,31151,82837,2.6592083721228854,36992,solutions/3cores/case_006_multicore_res.json,03270d077d453a6d642b6d28c84a119707c3b2a7545c5a9ebf9f03daf5eed6a7,new_full_search_and_replay
case_006,4,scene_a_spine,25042,82837,3.307922689881,271572,solutions/4cores/case_006_multicore_res.json,02c47e9e5b1e866cf8e7df8d396b9889e2eb6606999b96817e896402000c9dac,new_full_search_and_replay
case_006,5,scene_a_spine,21188,82837,3.909618652067208,271572,solutions/5cores/case_006_multicore_res.json,7fc6da5be2fd09c298db53abfafede7ed57842cec7a9bd1a4e8b04fbdc5cc713,delivered_method_reconstruction_and_replay
case_007,1,official_singlecore,1012562,1012562,1.0,0,solutions/1cores/case_007_multicore_res.json,daec296d7670a2cdf14726837593f233992cb2924cc05aea99b64cd3d98ba3dc,new_full_search_and_replay
case_007,2,component_round_robin,507494,1012562,1.9952196479170197,27648,solutions/2cores/case_007_multicore_res.json,2ee81bc3343bcce06ac3d1c31877f472130c56e8e0cecf967c321ce3934cbd76,new_full_search_and_replay
case_007,3,component_round_robin,338094,1012562,2.994912657426633,55296,solutions/3cores/case_007_multicore_res.json,67ccd6e068f401d0a4c57a1b2cab26e3fb24369c1c79947d59565057665adc13,new_full_search_and_replay
case_007,4,component_round_robin,254398,1012562,3.980227831979811,82944,solutions/4cores/case_007_multicore_res.json,e05fe6918ffc9bbe70da434052284f9d91e75031429543a8001becb4e748a97e,new_full_search_and_replay
case_007,5,component_round_robin,203834,1012562,4.967581463347626,110592,solutions/5cores/case_007_multicore_res.json,fb131946dabbd1e453472bef81501caf18a00c1156f85a710df7e8d169904bc2,delivered_method_reconstruction_and_replay
case_008,1,official_singlecore,487605,487605,1.0,0,solutions/1cores/case_008_multicore_res.json,9e837531d5fc299623938b51cd3f5363fd3b18cedeafa36ff575eb419ad17f94,new_full_search_and_replay
case_008,2,component_round_robin,244266,487605,1.9962049568912579,0,solutions/2cores/case_008_multicore_res.json,f7f35ecdde538a97ce99791a152aec2ab46a0decc7a3e1a04acdacd74ee79ae6,new_full_search_and_replay
case_008,3,component_round_robin,163359,487605,2.984867684057811,0,solutions/3cores/case_008_multicore_res.json,eb1e2d30f797edf54a7049d5aa23c677eba17e34520625e3000e6ab32e8084b2,new_full_search_and_replay
case_008,4,component_round_robin,123060,487605,3.962335446123842,0,solutions/4cores/case_008_multicore_res.json,b49c0a346e6d083cfb5956a769ddd1d3fc3806b5b7e50b9aafd0d609903cc902,new_full_search_and_replay
case_008,5,component_round_robin,100603,487605,4.846823653370178,0,solutions/5cores/case_008_multicore_res.json,44a04d4e63cc94a2b56ef602cc8cc01e75c1b0bfc13f51071212c548ed73489b,delivered_method_reconstruction_and_replay
case_009,1,official_singlecore,153261,153261,1.0,0,solutions/1cores/case_009_multicore_res.json,3eb4d1451332199a40830977b5bfaadeb4b0199ac5531752766b9415c783fab2,new_full_search_and_replay
case_009,2,component_lpt,92198,153261,1.66230286991041,0,solutions/2cores/case_009_multicore_res.json,fce9d6b92c229296718e18bfedb26f60986324bf19a92837654a85ca456e5209,new_full_search_and_replay
case_009,3,window16_heft,91440,153261,1.6760826771653543,809214,solutions/3cores/case_009_multicore_res.json,2330df8b91d4a638cb4c4f1cf016817302c76836e33a67915e0d566fa17982e5,new_full_search_and_replay
case_009,4,window16_heft,83225,153261,1.8415259837789126,809214,solutions/4cores/case_009_multicore_res.json,54b9c5493e0999d368e6ff94584fe2d81ca0a68eb5076a3c89ea398d0dd681fd,new_full_search_and_replay
case_009,5,vw24_8_t25_peftins,50979,153261,3.0063555581710117,1195408,solutions/5cores/case_009_multicore_res.json,80e66f0ecb38162f5d3df52bf0a45f25200f17b24e481a42d2e6d3b1301a384f,delivered_method_reconstruction_and_replay
case_010,1,official_singlecore,86969,86969,1.0,0,solutions/1cores/case_010_multicore_res.json,04cf08aa1e3b9223bb51277aea1d2486a7135d2448de77afd4863cc503d17534,new_full_search_and_replay
case_010,2,component_pipe_balance,45626,86969,1.9061280848638933,48384,solutions/2cores/case_010_multicore_res.json,9aa6460ad87e5725f984e94c0d0318f197ad928ddeeaac89728bc39d34b08cb2,new_full_search_and_replay
case_010,3,component_pipe_balance,30856,86969,2.8185442053409386,48384,solutions/3cores/case_010_multicore_res.json,7bf65042c608e3a2eb56e556ed520af16cfac6366809c2282c03b99eeecc7cac,new_full_search_and_replay
case_010,4,component_pipe_lpt,29676,86969,2.9306173338724895,362880,solutions/4cores/case_010_multicore_res.json,f02ef4bda2a9c2e43933fdb9f4cd80fff2493ea477b5b5cab9d3f914f1bd798c,new_full_search_and_replay
case_010,5,bundle_pack,23710,86969,3.6680303669337833,575992,solutions/5cores/case_010_multicore_res.json,45c2c85a37e1010f8b3462dde11d7dd1c1b9230e22fc27c79a2012bdd43fdb93,delivered_method_reconstruction_and_replay
case_011,1,official_singlecore,184697,184697,1.0,0,solutions/1cores/case_011_multicore_res.json,938fe72d4f151dd8a5f60e6b9fc9fd81bc6e81b270b6fed741da49cc97d4c51e,new_full_search_and_replay
case_011,2,component_round_robin,92646,184697,1.9935777043801135,180224,solutions/2cores/case_011_multicore_res.json,2ca28ed0ef9c5837f3620c7f3fdf9417aafb9737464635293dafd71b42389108,new_full_search_and_replay
case_011,3,component_round_robin,69625,184697,2.6527396768402154,1081344,solutions/3cores/case_011_multicore_res.json,6f28a924be6464623bd60c967df81670060fb57e75ad32ddf7f7994da00ffc6d,new_full_search_and_replay
case_011,4,component_round_robin,46880,184697,3.9397824232081913,540672,solutions/4cores/case_011_multicore_res.json,5125f5b7729b8d2d6958927e59d716fdfe3a71d6ade168083062eeb25770ed15,new_full_search_and_replay
case_011,5,component_group4,46880,184697,3.9397824232081913,1081344,solutions/5cores/case_011_multicore_res.json,078c36b7f8b1b8c2c1f20c52338cb57e6e36e8d7420b9caf8dd11086ef59cbc5,delivered_method_reconstruction_and_replay
case_012,1,official_singlecore,59088,59088,1.0,0,solutions/1cores/case_012_multicore_res.json,b1e544818b255ab54c5868e649c86d35f523cf071e352e0a343d241a43bb9976,new_full_search_and_replay
case_012,2,component_pipe_balance,30094,59088,1.9634478633614674,28800,solutions/2cores/case_012_multicore_res.json,dcec4e70caf89c74c8b1461d354f435918358a2d389bd3a9d5fdfa698e0e9851,new_full_search_and_replay
case_012,3,component_lpt,20637,59088,2.8632068614624218,39168,solutions/3cores/case_012_multicore_res.json,e06329b3387ea08adc567f62e03a66a644a9a1204905f04a42c778f0c0e92702,new_full_search_and_replay
case_012,4,component_lpt,16168,59088,3.6546264225630876,49536,solutions/4cores/case_012_multicore_res.json,41f9ded8f824e924cffc22f74720930127ee6a4f497468718f0c62cde97daa0e,new_full_search_and_replay
case_012,5,component_lpt,13406,59088,4.407578696106221,53568,solutions/5cores/case_012_multicore_res.json,9164081eb7daaac9a6c1c13a79d51229f34416637286557ced43c7f355eac8fc,delivered_method_reconstruction_and_replay
case_013,1,official_singlecore,263949,263949,1.0,0,solutions/1cores/case_013_multicore_res.json,98a0668cad932fa3f39cf3e83cffe8c6d06e58eac83dfdc2a7e398400296a4d8,new_full_search_and_replay
case_013,2,component_round_robin,132198,263949,1.9966187083011846,8192,solutions/2cores/case_013_multicore_res.json,58479b2440506c4ba5949c48a35b25c504e23b69a6aa59cb13dea908f9f8be53,new_full_search_and_replay
case_013,3,component_round_robin,88351,263949,2.98750438591527,16384,solutions/3cores/case_013_multicore_res.json,a60967a79659a18638dc98cc71769ebb39c3ff52d584820123497d61bfec7a44,new_full_search_and_replay
case_013,4,component_round_robin,66982,263949,3.9405959810098237,24576,solutions/4cores/case_013_multicore_res.json,59532ba3ad51d226d5f4e9e61b5d45886283121657c851d715ac441fd3e202a7,new_full_search_and_replay
case_013,5,component_round_robin,54363,263949,4.855305998565201,32768,solutions/5cores/case_013_multicore_res.json,63ffcd1ddf022fd537c89bb94e20fbbf5f1a838fbb8b53dfed160e880454089a,delivered_method_reconstruction_and_replay
case_014,1,official_singlecore,17698626,17698626,1.0,71010720,solutions/1cores/case_014_multicore_res.json,c623ac4e30dda9460f0d4aae5e350a7afd8481b58e14bd20816733a7f1450e54,new_full_search_and_replay
case_014,2,component_batches,8809441,17698626,2.0090521067114246,100009368,solutions/2cores/case_014_multicore_res.json,63f16c6cb51a34bd78012b89b761711460b23207b554abbfe7e06616c1e32d09,new_full_search_and_replay
case_014,3,component_batches,5934863,17698626,2.982145670422384,98997144,solutions/3cores/case_014_multicore_res.json,acd2aa95921b10b489dacd3664b72739778bb25bae4843d3012d3fdf7ae79688,new_full_search_and_replay
case_014,4,component_batches,4513468,17698626,3.921292008717022,101075352,solutions/4cores/case_014_multicore_res.json,aa0b4bbb878f383bb43dcf671b97a51d2b30aeb9f8aefbc20f25bb3c5a440c48,new_full_search_and_replay
case_014,5,rebal0_component_batches,3632254,17698626,4.872628951609662,104708616,solutions/5cores/case_014_multicore_res.json,89b1f098a1f6a43550504cdf1754bc26d097e625da7be4aa75522d9dedf43341,delivered_method_reconstruction_and_replay
case_015,1,official_singlecore,177362,177362,1.0,180256,solutions/1cores/case_015_multicore_res.json,192472c06a1727349dfc6dd1658dac61ace67d2c8749562f39e0d37b55dbf02c,new_full_search_and_replay
case_015,2,component_lpt,90480,177362,1.960234305923961,199944,solutions/2cores/case_015_multicore_res.json,6d66a0cad06f4af5c22ce066300234fde0071959f9090b32d1398710481f2d4b,new_full_search_and_replay
case_015,3,component_batches,60815,177362,2.9164186467154485,212736,solutions/3cores/case_015_multicore_res.json,1bd6d6508aed0a6e8695e7a832f7d86a243cf3593f38db18e9caaf056cec9fa4,new_full_search_and_replay
case_015,4,component_lpt,48866,177362,3.6295583841525807,365824,solutions/4cores/case_015_multicore_res.json,36c96b09f6be9ccf6b97d8cf8feb0807d362edb51bab69342dfc13ab3a056597,new_full_search_and_replay
