case,cores,config,makespan,added_copy_bytes,single_makespan,speedup,source,evaluation_sha256
case_006,2,routes_gate_reuse,42379,56200,82837,1.9546709455154676,图表/runs/20260924-A-q1-event-ranking-full100/case_006_2cores_seed0_routes_gate_reuse,16a91e82a6ea035410ce8d527475ad60eac273ffe1c8289e920088f4c4dde41f
case_006,3,routes_gate_reuse,32925,337092,82837,2.515930144267274,图表/runs/20260924-A-q1-event-ranking-full100/case_006_3cores_seed0_routes_gate_reuse,d83124f9476eb12728d8a37c11248ba919c39bf6a9d632221fe87c9361ef7271
case_006,4,routes_gate_reuse,31129,533902,82837,2.661087731697131,图表/runs/20260924-A-q1-event-ranking-full100/case_006_4cores_seed0_routes_gate_reuse,39aa8046487954765b053e0c65525f7a0bec0bff2e9cde94d09581b4d408179c
case_006,5,routes_gate_reuse,31729,91264,82837,2.6107661760534526,图表/runs/20260924-A-q1-event-ranking-full100/case_006_5cores_seed0_routes_gate_reuse,bf317cb023aac5992268bb109ff7bd0fa29fe92e8b860a14e98472e939f446eb
case_007,1,fixed_single,1012562,0,1012562,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_007,4ee99f723d9c613f9968199984b10fe12e7757187087737287fe415cd4836cae
case_007,2,routes_gate_reuse,507494,27648,1012562,1.9952196479170197,图表/runs/20260924-A-q1-event-ranking-full100/case_007_2cores_seed0_routes_gate_reuse,f4253e276accaaef65b8c904653d5ca4be74bfe87ea028d15b1b196719ab85f3
case_007,3,routes_gate_reuse,338094,55296,1012562,2.994912657426633,图表/runs/20260924-A-q1-event-ranking-full100/case_007_3cores_seed0_routes_gate_reuse,00389a3222fe8a4494f473a6cac9df673009377ba832ec9b6ead8f40474e4cf9
case_007,4,routes_gate_reuse,254398,82944,1012562,3.980227831979811,图表/runs/20260924-A-q1-event-ranking-full100/case_007_4cores_seed0_routes_gate_reuse,0da427e3b7070280d3a872250a35316d8413b2b22c27407082e1c7ac8d3cd7eb
case_007,5,routes_gate_reuse,203834,110592,1012562,4.967581463347626,图表/runs/20260924-A-q1-event-ranking-full100/case_007_5cores_seed0_routes_gate_reuse,b8f7582f7add2a4b7c473ee308ac37e098e4e0a80c89e206fb95e1717d495ef7
case_008,1,fixed_single,487605,0,487605,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_008,92a444b61c0efe338f1ebfcb6a1b3ae1a15f8f057a0b811ab3027e4bd3d547f4
case_008,2,routes_gate_reuse,244266,0,487605,1.9962049568912579,图表/runs/20260924-A-q1-event-ranking-full100/case_008_2cores_seed0_routes_gate_reuse,66a75398b501874547b0081f13722669c16fbc4019c5ed524e72847804268e3e
case_008,3,routes_gate_reuse,163359,0,487605,2.984867684057811,图表/runs/20260924-A-q1-event-ranking-full100/case_008_3cores_seed0_routes_gate_reuse,7fa594284eff967869d71e457eb465de8d3ad34f727f2d6ae27b1a95459892b6
case_008,4,routes_gate_reuse,123060,0,487605,3.962335446123842,图表/runs/20260924-A-q1-event-ranking-full100/case_008_4cores_seed0_routes_gate_reuse,d60a92cfa2a4e47f60087810befb0d37da9d337804ce2aa5ec65442e482b722e
case_008,5,routes_gate_reuse,100603,0,487605,4.846823653370178,图表/runs/20260924-A-q1-event-ranking-full100/case_008_5cores_seed0_routes_gate_reuse,b76f46be7aa55e782258f96b977c1cff91abee87c515f9c742ce89479105fb83
case_009,1,fixed_single,153261,0,153261,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_009,5f0fc81305fb5c9b0f0b4cd32f85e91a3fbfca5d6cede6b137fcdfe754e2ada3
case_009,2,routes_gate_reuse,92259,182950,153261,1.6612037849965857,图表/runs/20260924-A-q1-event-ranking-full100/case_009_2cores_seed0_routes_gate_reuse,438133a0064da30362538f595bb98c74928e49bb3121d7e68f67d08345ede09c
case_009,3,routes_gate_reuse,92004,193702,153261,1.6658080083474631,图表/runs/20260924-A-q1-event-ranking-full100/case_009_3cores_seed0_routes_gate_reuse,23dd0b55883b0c8797cbaa6d8305b0f6944d67aacf45210e9fefdcf9c6a88ec8
case_009,4,routes_gate_reuse,92192,225586,153261,1.6624110551891704,图表/runs/20260924-A-q1-event-ranking-full100/case_009_4cores_seed0_routes_gate_reuse,ff1911737ac5a24e3be091646268162dd0704a4d4c448b0a2017f45f54105bc7
case_009,5,routes_gate_reuse,91903,214604,153261,1.6676387060270068,图表/runs/20260924-A-q1-event-ranking-full100/case_009_5cores_seed0_routes_gate_reuse,f8d7a49d258d5440c9fef50db147b73985af57150cb318d8ed5f8a5fad3c2a9f
case_010,1,fixed_single,86969,0,86969,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_010,c524468e618746f566b77848259f44101428449c216450de417ffcf40173b783
case_010,2,routes_gate_reuse,45626,48384,86969,1.9061280848638933,图表/runs/20260924-A-q1-event-ranking-full100/case_010_2cores_seed0_routes_gate_reuse,a37333037daf0e76cf8ed6c8b178c42d981a2f341a50ad8a035611c3dd1ee98a
case_010,3,routes_gate_reuse,34518,395696,86969,2.519526044382641,图表/runs/20260924-A-q1-event-ranking-full100/case_010_3cores_seed0_routes_gate_reuse,82afb7a991b09c7b1f2b6853d65c05f97b90d1a722ad81b7e2cdfb162d263d08
case_010,4,routes_gate_reuse,30262,575880,86969,2.873868217566585,图表/runs/20260924-A-q1-event-ranking-full100/case_010_4cores_seed0_routes_gate_reuse,a23f996853afb73e068c8520abc0beafb59e328f59d8e8062d71b05494535a04
case_010,5,routes_gate_reuse,28842,958646,86969,3.0153595451078288,图表/runs/20260924-A-q1-event-ranking-full100/case_010_5cores_seed0_routes_gate_reuse,661604a012ae7c3790c939109d1f1d148c4e90c414c493129b381636b2ad0539
case_011,1,fixed_single,184697,0,184697,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_011,17365c9af4b838631807f843109f2f77fac7063c9939e1b16f3f38693ebda923
case_011,2,routes_gate_reuse,92646,180224,184697,1.9935777043801135,图表/runs/20260924-A-q1-event-ranking-full100/case_011_2cores_seed0_routes_gate_reuse,bc4593e00faa5c0d4fd030c9e13a2d1d8e74733402ddbb8b3142070d2c0b8829
