cores,cases,mean_speedup,total_cycles,previous_total_cycles,reduction_vs_previous_pct,previous_mean_speedup,total_added_copy_bytes
1,100,1.0,312479373,312479373,0.0,1,1241686120
2,100,1.8349172085192071,158746394,160343079,0.9957929022929639,1.8143489159580755,1972107414
3,100,2.54623792713394,109880862,111759201,1.6807018869077277,2.481664517259766,1848970300
4,100,3.1610089647895614,86330529,88773465,2.751876363055109,3.0717973382279005,1764926118
5,100,3.665902693939215,73170501,75956438,3.667808909101293,3.545442821443056,1767728284
