case,cores,seed,config,makespan,speedup,added_copy_bytes,solve_seconds,best_candidate,structural_evaluations,baseline_makespan,time_reduction_pct,baseline_added_bytes,structural_best,max_unique_structural,baseline_best_candidate,baseline_winner_evaluated,same_label_candidate_times
case_048,4,0,component_guard,197613,1.1245211600451388,1716280,5.7314283400774,grain_0.25,0,197613,0.0,1716280,,1,grain_0.25,True,[197613]
case_048,4,0,component_slot,197613,1.1245211600451388,1716280,5.802533704787493,grain_0.25,0,197613,0.0,1716280,,1,grain_0.25,True,[197613]
case_048,5,0,shared_region,197613,1.1245211600451388,1716280,5.787169286981225,grain_0.25,0,197613,0.0,1716280,,0,grain_0.25,True,[197613]
case_065,4,0,component_slot,13800,3.8455072463768114,41904,1.4950525145977736,structural_component_lpt,1,18606,25.83037729764592,452788,13800,1,directed_split,False,"[20732, 13972]"
case_048,5,0,component_slot,197613,1.1245211600451388,1716280,5.684386795386672,grain_0.25,0,197613,0.0,1716280,,1,grain_0.25,True,[197613]
case_048,5,0,component_guard,197613,1.1245211600451388,1716280,5.8191369362175465,grain_0.25,0,197613,0.0,1716280,,1,grain_0.25,True,[197613]
case_065,5,0,component_guard,11607,4.572068579305592,55728,1.1974487509578466,structural_component_pipe,1,18100,35.87292817679558,452788,11607,1,directed_split,False,"[12361, 12040]"
case_065,5,0,shared_region,18100,2.9319337016574587,452788,2.13103405572474,directed_split,0,18100,0.0,452788,,0,directed_split,True,"[21443, 18100]"
case_065,5,0,component_slot,11607,4.572068579305592,55728,1.5355834476649761,structural_component_pipe,1,18100,35.87292817679558,452788,11607,1,directed_split,False,"[21443, 12361]"
case_077,3,0,shared_region,215300,2.3006038086391083,4973096,15.430985979735851,directed_split,0,215300,0.0,4973096,,0,directed_split,True,"[215300, 217826, 216946]"
case_077,4,0,component_guard,143529,3.451009900438239,315320,14.864168537780643,directed_split,1,176182,18.533675403843752,4964904,144734,1,grain_0.5,True,[176182]
case_077,3,0,component_guard,178739,2.771191513883372,114688,16.474379312247038,structural_component_pipe,1,215300,16.981421272642823,4973096,178739,1,directed_split,False,"[179666, 178739]"
case_077,4,0,component_slot,144501,3.4277963474301214,348646,16.353412987664342,region_repartition_2_0,1,176182,17.981973186818177,4964904,144734,1,grain_0.5,True,[176182]
case_077,5,0,component_guard,115141,4.301855985270234,225046,15.792733646929264,directed_split,1,157540,26.91316491049892,4964904,115617,1,grain_0.5,True,[157540]
case_002,2,0,component_guard,138077,1.8970936506442058,477696,3.5032380502671003,directed_split,0,138077,0.0,477696,,1,directed_split,True,"[138077, 139240, 139240]"
case_077,2,0,shared_region,304715,1.625518927522439,4964904,19.704695716500282,grain_0.5,0,304715,0.0,4964904,,0,grain_0.5,True,[304715]
case_077,2,0,component_guard,250735,1.9754721119907472,57344,15.998271146789193,structural_component_pipe,1,304715,17.71491393597296,4964904,250735,1,grain_0.5,True,[304715]
case_077,2,0,component_slot,250735,1.9754721119907472,57344,16.07106689363718,structural_component_pipe,1,304715,17.71491393597296,4964904,250735,1,grain_0.5,True,[304715]
case_077,5,0,shared_region,157540,3.1440903897422876,4964904,20.914391987025738,grain_0.5,0,157540,0.0,4964904,,0,grain_0.5,True,[157540]
case_002,2,0,shared_region,138077,1.8970936506442058,477696,5.393287202343345,directed_split,0,138077,0.0,477696,,0,directed_split,True,"[138077, 139240, 139240]"
case_077,5,0,component_slot,115141,4.301855985270234,225046,19.020052060484886,directed_split,1,157540,26.91316491049892,4964904,115617,1,grain_0.5,True,[157540]
case_002,2,0,component_slot,138077,1.8970936506442058,477696,4.420753039419651,directed_split,0,138077,0.0,477696,,1,directed_split,True,"[138077, 139240, 139240]"
case_077,4,0,shared_region,176182,2.8114109273365044,4964904,21.558936547487974,grain_0.5,0,176182,0.0,4964904,,0,grain_0.5,True,[176182]
case_077,3,0,component_slot,178648,2.772603107787381,270336,19.430851781740785,region_repartition_2_0,1,215300,17.0236878773804,4973096,178739,1,directed_split,True,"[215300, 179666]"
case_002,3,0,component_slot,95931,2.730556337367483,532992,3.8253873623907566,local_reschedule,0,95931,0.0,532992,,1,local_reschedule,True,[95931]
case_002,3,0,shared_region,95931,2.730556337367483,532992,5.583990635350347,local_reschedule,0,95931,0.0,532992,,0,local_reschedule,True,[95931]
case_002,3,0,component_guard,95931,2.730556337367483,532992,5.971816578879952,local_reschedule,0,95931,0.0,532992,,1,local_reschedule,True,[95931]
case_002,5,0,component_guard,60651,4.3188900430330905,536064,4.284151457250118,directed_split,0,60651,0.0,536064,,1,directed_split,True,"[65099, 62090, 60651]"
case_002,5,0,shared_region,60651,4.3188900430330905,536064,4.80507480353117,directed_split,0,60651,0.0,536064,,0,directed_split,True,"[65099, 62090, 60651]"
case_002,4,0,shared_region,74618,3.5104800450293494,536064,6.060129767283797,directed_split,0,74618,0.0,536064,,0,directed_split,True,"[77749, 74670, 74618]"
case_002,4,0,component_guard,74618,3.5104800450293494,536064,6.127730844542384,directed_split,0,74618,0.0,536064,,1,directed_split,True,"[77749, 74670, 74618]"
case_002,4,0,component_slot,74618,3.5104800450293494,536064,5.758759830147028,directed_split,0,74618,0.0,536064,,1,directed_split,True,"[77749, 74670, 74618]"
case_002,5,0,component_slot,60651,4.3188900430330905,536064,5.980012534186244,directed_split,0,60651,0.0,536064,,1,directed_split,True,"[65099, 62090, 60651]"
case_028,2,0,component_guard,20808183,2.106673129508713,310682880,130.21357753500342,grain_1.0,0,20808183,0.0,310682880,,1,grain_1.0,True,[20808183]
case_028,3,0,component_guard,13957556,3.1406673202672444,310848768,129.95103815943003,directed_split,0,13957556,0.0,310848768,,1,directed_split,True,"[14216013, 13957556]"
case_028,3,0,component_slot,13957556,3.1406673202672444,310848768,137.5724010039121,directed_split,0,13957556,0.0,310848768,,1,directed_split,True,"[14216013, 13957556]"
case_028,5,0,component_slot,9004662,4.868149409716878,286344264,136.10356484353542,region_boundary_8758_0,0,9004662,0.0,286344264,,1,region_boundary_8758_0,True,[9004662]
case_028,3,0,shared_region,13957556,3.1406673202672444,310848768,136.7832080833614,directed_split,0,13957556,0.0,310848768,,0,directed_split,True,"[14216013, 13957556]"
case_028,2,0,shared_region,20808183,2.106673129508713,310682880,138.11428040452302,grain_1.0,0,20808183,0.0,310682880,,0,grain_1.0,True,[20808183]
case_028,5,0,shared_region,9004662,4.868149409716878,286344264,141.87384936213493,region_boundary_8758_0,0,9004662,0.0,286344264,,0,region_boundary_8758_0,True,[9004662]
case_028,4,0,component_slot,10676362,4.105896746476,310848768,135.92580479942262,local_reschedule,0,10676362,0.0,310848768,,1,local_reschedule,True,"[10963263, 10676362]"
case_028,2,0,component_slot,20808183,2.106673129508713,310682880,140.27356719225645,grain_1.0,0,20808183,0.0,310682880,,1,grain_1.0,True,[20808183]
case_028,5,0,component_guard,9004662,4.868149409716878,286344264,145.7829105593264,region_boundary_8758_0,0,9004662,0.0,286344264,,1,region_boundary_8758_0,True,[9004662]
case_028,4,0,component_guard,10676362,4.105896746476,310848768,142.18031131848693,local_reschedule,0,10676362,0.0,310848768,,1,local_reschedule,True,"[10963263, 10676362]"
case_028,4,0,shared_region,10676362,4.105896746476,310848768,145.4611023683101,local_reschedule,0,10676362,0.0,310848768,,0,local_reschedule,True,"[10963263, 10676362]"
case_063,2,0,shared_region,552512,1.9373280580331287,1903104,26.210958540439606,greedy,0,552512,0.0,1903104,,0,greedy,True,[552512]
case_063,2,0,component_guard,552512,1.9373280580331287,1903104,27.011331716552377,greedy,0,552512,0.0,1903104,,1,greedy,True,[552512]
case_063,3,0,shared_region,371366,2.882323637597411,1903104,24.73374756425619,greedy,0,371366,0.0,1903104,,0,greedy,True,[371366]
case_063,3,0,component_slot,371366,2.882323637597411,1903104,26.39464594423771,greedy,0,371366,0.0,1903104,,1,greedy,True,[371366]
case_063,2,0,component_slot,552512,1.9373280580331287,1903104,26.67329259030521,greedy,0,552512,0.0,1903104,,1,greedy,True,[552512]
case_063,3,0,component_guard,371366,2.882323637597411,1903104,28.24045212380588,greedy,0,371366,0.0,1903104,,1,greedy,True,[371366]
case_063,4,0,shared_region,283231,3.7792367360917414,1915392,27.621931616216898,directed_split,0,283231,0.0,1915392,,0,directed_split,True,"[283231, 284344, 283534]"
case_063,4,0,component_slot,283231,3.7792367360917414,1915392,25.186968052759767,directed_split,0,283231,0.0,1915392,,1,directed_split,True,"[283231, 284344, 283534]"
case_063,4,0,component_guard,283231,3.7792367360917414,1915392,30.175514709204435,directed_split,0,283231,0.0,1915392,,1,directed_split,True,"[283231, 284344, 283534]"
case_063,5,0,shared_region,229053,4.673141150738039,1920000,30.577611569315195,local_reschedule,0,229053,0.0,1920000,,0,local_reschedule,True,[229053]
case_063,5,0,component_guard,229053,4.673141150738039,1920000,30.5852765198797,local_reschedule,0,229053,0.0,1920000,,1,local_reschedule,True,[229053]
case_063,5,0,component_slot,229053,4.673141150738039,1920000,28.570542335510254,local_reschedule,0,229053,0.0,1920000,,1,local_reschedule,True,[229053]
case_067,2,0,shared_region,32203165,1.9822534213640182,262601984,40.89327160641551,local_reschedule,0,32203165,0.0,262601984,,0,local_reschedule,True,[32203165]
case_067,2,0,component_slot,32203165,1.9822534213640182,262601984,37.74367877654731,local_reschedule,0,32203165,0.0,262601984,,1,local_reschedule,True,[32203165]
case_067,2,0,component_guard,32203165,1.9822534213640182,262601984,40.83465695939958,local_reschedule,0,32203165,0.0,262601984,,1,local_reschedule,True,[32203165]
case_067,4,0,shared_region,16358776,3.902176666518326,262601984,44.904495315626264,directed_split,0,16358776,0.0,262601984,,0,directed_split,True,"[16358776, 16571570, 16403194]"
case_067,3,0,component_slot,21585693,2.957275172958311,247821184,41.9151123650372,grain_0.25,0,21585693,0.0,247821184,,1,grain_0.25,True,[21585693]
case_067,4,0,component_slot,16358776,3.902176666518326,262601984,44.95597153902054,directed_split,0,16358776,0.0,262601984,,1,directed_split,True,"[16358776, 16571570, 16403194]"
case_067,3,0,shared_region,21585693,2.957275172958311,247821184,46.26369787566364,grain_0.25,0,21585693,0.0,247821184,,0,grain_0.25,True,[21585693]
case_067,4,0,component_guard,16358776,3.902176666518326,262601984,49.366073010489345,directed_split,0,16358776,0.0,262601984,,1,directed_split,True,"[16358776, 16571570, 16403194]"
case_067,3,0,component_guard,21585693,2.957275172958311,247821184,48.09510305151343,grain_0.25,0,21585693,0.0,247821184,,1,grain_0.25,True,[21585693]
case_067,5,0,shared_region,13455316,4.744209203262116,262606080,41.835277158766985,local_reschedule,0,13455316,0.0,262606080,,0,local_reschedule,True,[13455316]
case_067,5,0,component_guard,13455316,4.744209203262116,262606080,42.776140473783016,local_reschedule,0,13455316,0.0,262606080,,1,local_reschedule,True,[13455316]
case_067,5,0,component_slot,13455316,4.744209203262116,262606080,48.13721848465502,local_reschedule,0,13455316,0.0,262606080,,1,local_reschedule,True,[13455316]
case_085,2,0,shared_region,2334501,1.3655590637999298,34301210,118.93229038268328,grain_0.25,0,2334501,0.0,34301210,,0,grain_0.25,True,[2334501]
case_006,2,0,shared_region,45330,1.8274211339069049,566668,1.97193967923522,region_boundary_794_1,0,45330,0.0,566668,,0,region_boundary_794_1,True,[45330]
case_085,2,0,component_slot,2334501,1.3655590637999298,34301210,113.89212049171329,grain_0.25,0,2334501,0.0,34301210,,1,grain_0.25,True,[2334501]
case_006,2,0,component_guard,45482,1.8213139263884615,566668,1.2914402019232512,grain_1.0,1,45330,-0.33531877343922345,566668,46100,1,region_boundary_794_1,False,[]
case_006,3,0,shared_region,31819,2.603381627329583,582028,1.6496461797505617,local_reschedule,0,31819,0.0,582028,,0,local_reschedule,True,"[37040, 31819]"
case_006,2,0,component_slot,45330,1.8274211339069049,566668,1.929634464904666,region_boundary_794_1,1,45330,0.0,566668,46100,1,region_boundary_794_1,True,[45330]
case_006,3,0,component_guard,31819,2.603381627329583,582028,1.7893599942326546,local_reschedule,0,31819,0.0,582028,,1,local_reschedule,True,"[37040, 31819]"
case_085,2,0,component_guard,2334501,1.3655590637999298,34301210,120.5953978896141,grain_0.25,0,2334501,0.0,34301210,,1,grain_0.25,True,[2334501]
case_006,3,0,component_slot,31819,2.603381627329583,582028,2.5248924884945154,local_reschedule,0,31819,0.0,582028,,1,local_reschedule,True,"[37040, 31819]"
case_006,4,0,shared_region,31094,2.6640831028494243,533902,1.4879009127616882,local_reschedule,0,31094,0.0,533902,,0,local_reschedule,True,[31094]
case_006,4,0,component_guard,31094,2.6640831028494243,533902,2.3971699997782707,local_reschedule,0,31094,0.0,533902,,1,local_reschedule,True,[31094]
case_006,4,0,component_slot,31094,2.6640831028494243,533902,2.489302769303322,local_reschedule,0,31094,0.0,533902,,1,local_reschedule,True,[31094]
case_006,5,0,shared_region,32579,2.5426501734245988,566668,1.8612913936376572,grain_1.0,0,32579,0.0,566668,,0,grain_1.0,True,[32579]
case_006,5,0,component_guard,32579,2.5426501734245988,566668,1.5739130154252052,grain_1.0,0,32579,0.0,566668,,1,grain_1.0,True,[32579]
case_006,5,0,component_slot,32579,2.5426501734245988,566668,2.567912632599473,grain_1.0,0,32579,0.0,566668,,1,grain_1.0,True,[32579]
case_040,2,0,component_guard,143799,1.762557458674956,53760,8.068987024948001,structural_component_pipe,1,178282,19.34182923682705,4018142,143799,1,grain_0.5,True,[178282]
case_085,3,0,component_guard,1626396,1.960100123217224,34301210,121.87206857465208,grain_0.25,0,1626396,0.0,34301210,,1,grain_0.25,True,[1626396]
case_085,3,0,component_slot,1626396,1.960100123217224,34301210,121.26000578701496,grain_0.25,0,1626396,0.0,34301210,,1,grain_0.25,True,[1626396]
case_040,2,0,shared_region,178282,1.4216466048170875,4018142,13.071063216775656,grain_0.5,0,178282,0.0,4018142,,0,grain_0.5,True,[178282]
case_085,4,0,shared_region,1324330,2.407178724336079,34301210,122.61814764142036,grain_0.25,0,1324330,0.0,34301210,,0,grain_0.25,True,[1324330]
case_040,2,0,component_slot,143799,1.762557458674956,53760,11.613607488572598,structural_component_pipe,1,178282,19.34182923682705,4018142,143799,1,grain_0.5,True,[178282]
case_085,3,0,shared_region,1626396,1.960100123217224,34301210,126.08646870404482,grain_0.25,0,1626396,0.0,34301210,,0,grain_0.25,True,[1626396]
case_085,4,0,component_guard,1324330,2.407178724336079,34301210,131.40501782856882,grain_0.25,0,1324330,0.0,34301210,,1,grain_0.25,True,[1324330]
case_085,4,0,component_slot,1324330,2.407178724336079,34301210,123.0041960645467,grain_0.25,0,1324330,0.0,34301210,,1,grain_0.25,True,[1324330]
case_040,3,0,shared_region,145657,1.7400742841058103,4050912,10.832774130627513,directed_split,0,145657,0.0,4050912,,0,directed_split,True,"[147656, 145657, 146758, 145669]"
case_085,5,0,component_slot,1169044,2.72692815668187,34301210,131.95984490402043,grain_0.25,0,1169044,0.0,34301210,,1,grain_0.25,True,[1169044]
case_085,5,0,shared_region,1169044,2.72692815668187,34301210,128.5396040417254,grain_0.25,0,1169044,0.0,34301210,,0,grain_0.25,True,[1169044]
case_090,2,0,shared_region,625263,1.884587765468291,18405960,3.559257784858346,region_repartition_3_0,0,625263,0.0,18405960,,0,region_repartition_3_0,True,[625263]
case_040,3,0,component_guard,145657,1.7400742841058103,4050912,13.433512274175882,directed_split,0,145657,0.0,4050912,,1,directed_split,True,"[147656, 145657, 146758, 145669]"
case_040,3,0,component_slot,145657,1.7400742841058103,4050912,12.93181492201984,directed_split,0,145657,0.0,4050912,,1,directed_split,True,"[147656, 145657, 146758, 145669]"
case_085,5,0,component_guard,1169044,2.72692815668187,34301210,127.70203788392246,grain_0.25,0,1169044,0.0,34301210,,1,grain_0.25,True,[1169044]
case_040,4,0,component_guard,142257,1.7816627652769284,4018142,12.248515516519547,region_boundary_6297_0,0,142257,0.0,4018142,,1,region_boundary_6297_0,True,[142257]
