case,cores,arm,makespan,bytes,reference,reference_seconds,speedup,base_makespan,base_bytes,base_plan_sha256,slots,official_calls,cache_hits,solve_seconds,replay_seconds,diagnostic_seconds,replay_equal
48,2,placement_corrected,150049,467846,222220,0.19145071506500244,1.4809828789262174,150049,467846,e1f3743234cd9896366236805b5d2479ae4e4609ef7a4b69d9c12d9217790916,8,6,2,1.4362545348703861,0.19989528320729733,0.0,True
48,2,placement_reference,150049,467846,222220,0.19145071506500244,1.4809828789262174,150049,467846,e1f3743234cd9896366236805b5d2479ae4e4609ef7a4b69d9c12d9217790916,8,6,2,1.417639471590519,0.20630083605647087,0.0,True
48,3,j_guided,114626,1177612,222220,0.19145071506500244,1.9386526616997888,114626,1177612,1c49ebdd4eec135f74d6f19cc55ac4d1da3bacf9ad2f3e49cfff73f65dbe0f4c,12,10,2,6.8774130549281836,0.27673226594924927,0.23892175406217575,True
48,3,j_mixed,114626,1177612,222220,0.19145071506500244,1.9386526616997888,114626,1177612,1c49ebdd4eec135f74d6f19cc55ac4d1da3bacf9ad2f3e49cfff73f65dbe0f4c,12,10,2,6.9836511090397835,0.2676548585295677,0.2326262779533863,True
48,3,j_ordinary,114626,1177612,222220,0.19145071506500244,1.9386526616997888,114626,1177612,1c49ebdd4eec135f74d6f19cc55ac4d1da3bacf9ad2f3e49cfff73f65dbe0f4c,12,10,2,4.617427626624703,0.2726420946419239,0.0,True
48,3,placement_corrected,114626,1177612,222220,0.19145071506500244,1.9386526616997888,114626,1177612,1c49ebdd4eec135f74d6f19cc55ac4d1da3bacf9ad2f3e49cfff73f65dbe0f4c,8,6,2,1.4710419662296772,0.2673187926411629,0.0,True
48,3,placement_reference,114626,1177612,222220,0.19145071506500244,1.9386526616997888,114626,1177612,1c49ebdd4eec135f74d6f19cc55ac4d1da3bacf9ad2f3e49cfff73f65dbe0f4c,8,6,2,1.4469706118106842,0.2669207453727722,0.0,True
48,4,j_guided,114384,1270930,222220,0.19145071506500244,1.9427542313610295,114384,1270930,2d39973d8de1b46930d91481953d7c947fbfad4141fda57978051d9690954fb4,12,10,2,8.69566254504025,0.28552819788455963,0.24407461285591125,True
48,4,j_mixed,114384,1270930,222220,0.19145071506500244,1.9427542313610295,114384,1270930,2d39973d8de1b46930d91481953d7c947fbfad4141fda57978051d9690954fb4,12,10,2,8.647804841399193,0.27926344238221645,0.2430056445300579,True
48,4,j_ordinary,114384,1270930,222220,0.19145071506500244,1.9427542313610295,114384,1270930,2d39973d8de1b46930d91481953d7c947fbfad4141fda57978051d9690954fb4,12,10,2,5.463000835850835,0.2847312670201063,0.0,True
48,4,placement_corrected,114384,1270930,222220,0.19145071506500244,1.9427542313610295,114384,1270930,2d39973d8de1b46930d91481953d7c947fbfad4141fda57978051d9690954fb4,8,6,2,1.5512248538434505,0.2834590822458267,0.0,True
48,4,placement_reference,114384,1270930,222220,0.19145071506500244,1.9427542313610295,114384,1270930,2d39973d8de1b46930d91481953d7c947fbfad4141fda57978051d9690954fb4,8,6,2,1.4835410173982382,0.28250296600162983,0.0,True
48,5,j_guided,101731,1269464,222220,0.19145071506500244,2.1843882395729914,101731,1269464,512e5f60272d3ee8f97918a096e4cd02bc5aaafab28c543226e9835bf24c3d80,12,10,2,10.071694649755955,0.27895994670689106,0.236815445125103,True
48,5,j_mixed,101641,1273560,222220,0.19145071506500244,2.1863224486181756,101731,1269464,512e5f60272d3ee8f97918a096e4cd02bc5aaafab28c543226e9835bf24c3d80,12,10,2,10.01783112064004,0.2796743381768465,0.22761687450110912,True
48,5,j_ordinary,101641,1273560,222220,0.19145071506500244,2.1863224486181756,101731,1269464,512e5f60272d3ee8f97918a096e4cd02bc5aaafab28c543226e9835bf24c3d80,12,10,2,6.215800112113357,0.2765425592660904,0.0,True
48,5,placement_corrected,101731,1269464,222220,0.19145071506500244,2.1843882395729914,101731,1269464,512e5f60272d3ee8f97918a096e4cd02bc5aaafab28c543226e9835bf24c3d80,8,6,2,1.553819639608264,0.27813717536628246,0.0,True
48,5,placement_reference,101731,1269464,222220,0.19145071506500244,2.1843882395729914,101731,1269464,512e5f60272d3ee8f97918a096e4cd02bc5aaafab28c543226e9835bf24c3d80,8,6,2,1.5007836520671844,0.27404567040503025,0.0,True
50,2,j_guided,87003,1022694,149690,0.6158909592777491,1.7205153845269703,87435,1022694,f3f32d0ea4924d86ace85da9826fc8c068ae50ac0453693306b8b6272dcefd33,12,12,0,12.221041660755873,0.7542442586272955,0.7196195926517248,True
50,2,j_mixed,87234,1018278,149690,0.6158909592777491,1.7159593736387189,87435,1022694,f3f32d0ea4924d86ace85da9826fc8c068ae50ac0453693306b8b6272dcefd33,12,12,0,12.137326871976256,0.757954403758049,0.7187312748283148,True
50,2,j_ordinary,87435,1022694,149690,0.6158909592777491,1.712014639446446,87435,1022694,f3f32d0ea4924d86ace85da9826fc8c068ae50ac0453693306b8b6272dcefd33,12,12,0,10.195747977122664,0.7513414770364761,0.0,True
