stage,case,cores,baseline,unguarded,event_guarded,unguarded_bytes,event_guarded_bytes,unguarded_solve_seconds,event_solve_seconds
extension,case_054,3,402111,402111,402111,6732340,6732340,119.07197281345725,118.15251414477825
extension,case_068,5,226325,226325,226325,4426684,4426684,35.9544337913394,36.19112736918032
extension,case_054,4,362394,362394,362394,11175330,11175330,131.66588502563536,129.62869748473167
extension,case_054,5,333071,333071,333071,11208098,11208098,134.70730680041015,133.89050757326186
extension,case_054,2,510200,510200,510200,6569360,6569360,125.37418917566538,148.11162653192878
extension,case_083,2,543456,543456,543456,25772480,25772480,24.147236116230488,30.455592716112733
extension,case_083,3,436908,436908,436908,19450976,19450976,23.372281102463603,31.140005825087428
extension,case_083,4,417384,417384,417384,19407232,19407232,24.509625621140003,29.10036260075867
extension,case_083,5,391729,391729,391729,19753696,19753696,23.636252557858825,28.832638116553426
extension,case_098,2,98402,93465,93465,98340,98340,6.513426499441266,7.614088732749224
extension,case_097,2,5247114,5247114,5247114,85295104,85295104,61.98592294193804,72.25007374584675
extension,case_098,3,79351,79351,79351,1479456,1479456,6.172797556966543,6.507772332057357
extension,case_098,4,79805,79805,79805,1479456,1479456,6.255652761086822,6.373864492401481
extension,case_098,5,73104,73104,73104,3282976,3282976,6.352729756385088,6.495770327746868
extension,case_097,3,3509566,3509566,3509566,85327872,85327872,65.97418924048543,84.71528662741184
extension,case_097,4,2705741,2622226,2622226,14221312,14221312,62.09045304916799,80.24094305746257
extension,case_097,5,2179047,2101905,2101905,22016000,22016000,68.66941472887993,95.00298871472478
extension,case_079,2,14956594,14956594,14956594,242368512,242368512,220.55309139750898,269.3219498526305
extension,case_079,4,7654780,7609995,7609995,31555584,31555584,211.83981361985207,259.0186868235469
extension,case_079,3,10110322,10106197,10106197,40280064,40280064,229.59898698702455,276.4455349743366
extension,case_079,5,6193893,6022007,6022007,50976768,50976768,234.21254402585328,290.0578165948391
