case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_060,1,2,component_round_robin,442206,888789,2.0098981017896635,2099006,4820042,2721036,1208448,1512588,0.0,0,0,0,0,4820042,524288,122900,37.41125739994459,0.0,,2,2,ok,86f80433c2cd7bde104f5b349ec786ce45b48f6a7f26f1372e1d07e3a4dd8c3e,False
case_060,1,2,component_lpt,441525,888789,2.012998131476134,2099006,4845514,2746508,1208448,1538060,0.0,0,0,0,0,4845514,524288,122906,29.94183950003935,0.0,,2,2,ok,55fbde775e15a75b595520c516ba2452a3a42c3fab050499a90a552c4a8bc61a,False
case_060,1,2,component_pipe_balance,449342,888789,1.9779789113859823,2099006,4969286,2870280,1198080,1672200,0.0,0,0,0,0,4969286,524288,122906,29.792518300004303,0.0,,2,2,ok,39d28b54c9ced70d8d4f3d9826d497d1a32ab3cb32d82d981365bf991de25e8d,False
case_060,1,2,component_batches,448030,888789,1.983771176037319,2099006,7884734,5785728,5662848,122880,0.0,0,0,0,0,7884734,178176,122894,6.07018550002249,0.0,,23,23,ok,3ad2d1b3ece1ba13abef7bc5b8114ace987e6c35314bd5289664363ba8ce85dd,False
case_060,1,2,component_batches_128,462408,888789,1.922088285669798,2099006,9336766,7237760,7229568,8192,0.0,0,0,0,0,9336766,79872,122888,3.9609050000435673,0.0,,47,47,ok,dcc0f0c82309f96d1b1fa8c04f822a2f8729fe699c7f28bfbf752aebabede41a,False
case_060,1,2,component_batches_512,454636,888789,1.9549463746821634,2099006,6447042,4348036,4126848,221188,0.0,0,0,0,0,6447042,387072,122896,9.199501099996269,0.0,,12,12,ok,94ad80b5d5510a97668bc034ab8ed21c9b35335aac3e4247e1f14277f2f819cc,False
case_060,1,2,component_pipe_lpt,490102,888789,1.8134776026214952,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,6.933480400010012,0.0,,89,89,ok,b97b13c930d6fd87211e2fa16f427527a3ba2c042f92e7d6cb1e791276210efe,False
case_060,1,2,component_comm,499574,888789,1.779093787907297,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,7.467493399977684,0.0,,89,89,ok,ac542df86653fd188a73b279426ed8a8bac8b580a2b322a18aafcad157ab60e4,False
case_060,1,2,scene_a_peft,466852,888789,1.903791779836008,2099006,10470206,8371200,8363008,8192,0.0,0,0,0,0,10470206,45056,122888,6.564158299996052,0.0,,98,98,ok,3c9d2cb94acc503c36e8d9dc2a9ed46a6e7f4c6ab9ac5ed607efa78fdd1bb48b,False
case_060,1,2,scene_a_spine,465349,888789,1.9099407111651685,2099006,10470206,8371200,8363008,8192,0.0,0,0,0,0,10470206,45056,122888,4.820145899953786,0.0,,98,98,ok,7b15ecf8bff5138dcb21299f27f55be862440f65015afa2e7ecb825a335d8327,False
case_060,1,2,whole_graph,888789,888789,1.0,2099006,4167526,2068520,0,2068520,0.0,0,0,0,0,4167526,524288,122910,0.0,0.0,,1,1,ok,b7113e19f771f8c1944f0f17f26d0749904081074a4691cedac7a48022c98ae1,True
case_060,1,3,component_round_robin,329339,888789,2.6987055890738723,2099006,5250118,3151112,2416896,734216,0.0,0,0,0,0,5250118,523392,122894,17.918983399984427,0.0,,3,3,ok,e90c7b930ed84405446e7036c5905480b085e0b5eff3ca273ae4f9b47adfdc90,False
case_060,1,3,component_lpt,295983,888789,3.0028380008311286,2099006,5258302,3159296,2324736,834560,0.0,0,0,0,0,5258302,524288,122898,19.325594299996737,0.0,,3,3,ok,c463e3e3c1584143af70b56eb6e01d2305a69ceed6ab3751a78bab39d7ed6042,False
case_060,1,3,component_pipe_balance,337582,888789,2.6328092137613974,2099006,5380042,3281036,2345088,935948,0.0,0,0,0,0,5380042,524288,122902,27.921321299974807,0.0,,3,3,ok,98e1f81ff9978465fe4c20d5f1fdd71cb074f28165543d20b15621db1ae4e775,False
case_060,1,3,component_batches,333276,888789,2.6668256940193715,2099006,8468414,6369408,6246528,122880,0.0,0,0,0,0,8468414,264192,122894,8.495134200027678,0.0,,24,24,ok,ad5a9f566cf9a4094361ed8e02bc92b031ee896b1df66bef82e46ce89322da8e,False
case_060,1,3,component_batches_128,346382,888789,2.5659214393357623,2099006,9582526,7483520,7475328,8192,0.0,0,0,0,0,9582526,110592,122888,4.025955299963243,0.0,,47,47,ok,c2eb2b0accd4329ae44715b34de53282497315b46db7a0476aa154e6400cb141,False
case_060,1,3,component_batches_512,331015,888789,2.6850414633777926,2099006,7446474,5347468,5109888,237580,0.0,0,0,0,0,7446474,329728,122896,10.58454479998909,0.0,,12,12,ok,38b5f47cf2bab564777811786c76c6466b809dd7ad7d2091b276380586c73b8b,False
case_060,1,3,component_pipe_lpt,314747,888789,2.8238204017830193,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,7.722569799982011,0.0,,89,89,ok,1ba0d4a59d4170e8680e66be8e514e1cf3d02b607efde4b60b6f524f021239fa,False
case_060,1,3,component_comm,314711,888789,2.82414342047148,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,9.758836699998938,0.0,,89,89,ok,d699eff585ed13e27e0ae9a9b716c83ece7018d1a5f33c1e89ecbb7ecc9a8bfc,False
case_060,1,3,scene_a_peft,314373,888789,2.8271798150604535,2099006,10470206,8371200,8363008,8192,0.0,0,0,0,0,10470206,45056,122888,9.31475739995949,0.0,,98,98,ok,e5655cf904b49925b78d3044ad9bd8ab91c00f468ec4df95c4d0b165bff50276,False
case_060,1,3,scene_a_spine,315165,888789,2.82007519870544,2099006,10470206,8371200,8363008,8192,0.0,0,0,0,0,10470206,45056,122888,5.580210999993142,0.0,,98,98,ok,9343f39803cae242213e0fee1c167af2429833ac36eca047ae6df2711a500a16,False
case_060,1,3,whole_graph,888789,888789,1.0,2099006,4167526,2068520,0,2068520,0.0,0,0,0,0,4167526,524288,122910,0.0,0.0,,1,1,ok,ccd4ffce313ce9071165d0970eca5b71813aea43a59042c6932207145e91a2f9,True
case_060,1,4,component_round_robin,238168,888789,3.7317733700581104,2099006,6167742,4068736,3625344,443392,0.0,0,0,0,0,6167742,523392,122894,27.923525400052313,0.0,,4,4,ok,52729672b34cc50887fe4b3f46a2918e6ea4d22bdeaf00d05b1966888870b557,False
case_060,1,4,component_lpt,223107,888789,3.9836894404926784,2099006,6059206,3960200,2949504,1010696,0.0,0,0,0,0,6059206,524288,122896,25.649283099977765,0.0,,4,4,ok,cb0348bc08f3c15a73c7ea0f991ed2ba5da1e17c6e62b547dfadea721209c9e9,False
case_060,1,4,component_pipe_balance,232349,888789,3.8252327317957038,2099006,6074430,3975424,3184896,790528,0.0,0,0,0,0,6074430,524288,122894,33.81312980002258,0.0,,4,4,ok,19bd738716e110ced5c897b9ef1b939657b334f0871962e8963ea27c24977ad0,False
case_060,1,4,component_batches,232960,888789,3.815200034340659,2099006,8712254,6613248,6564096,49152,0.0,0,0,0,0,8712254,176128,122894,6.416547099943273,0.0,,24,24,ok,c36e8e8ae31f410985e6bcbb032baf393e9b169a0e801296b33e9fae41752a2c,False
case_060,1,4,component_batches_128,236739,888789,3.7542990381812884,2099006,9562174,7463168,7454976,8192,0.0,0,0,0,0,9562174,110592,122888,5.020711899967864,0.0,,47,47,ok,85f757c0c4cb5b909fe3abb46c1f74f71c36bd8fcca1ff63c6efa3fca834ec60,False
case_060,1,4,component_batches_512,231318,888789,3.8422820532773065,2099006,7725118,5626112,5519616,106496,0.0,0,0,0,0,7725118,329728,122894,8.762261600000784,0.0,,12,12,ok,b78e701bac3bf025293b79f16a3dae6977c0b2604d921c55d22d80d630f28881,False
case_060,1,4,component_pipe_lpt,240075,888789,3.7021305841924397,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,4.676856600039173,0.0,,89,89,ok,fc2116127c9bec85a51483b9c14a5d647997123a779bf1b21cca423bde803c15,False
case_060,1,4,component_comm,255960,888789,3.472374589779653,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,9.004501500050537,0.0,,89,89,ok,78034fc6017dead1c76d8de7f241fc90fbc9de2d3acc8040c3ec440059e7e226,False
case_060,1,4,scene_a_peft,239344,888789,3.7134375626713014,2099006,10470206,8371200,8363008,8192,0.0,0,0,0,0,10470206,45056,122888,9.907461900031194,0.0,,98,98,ok,0d72529f030032f2532fbe6dd0ae8cd94cdc4c165fe4c2907f3805289cea5dd0,False
case_060,1,4,scene_a_spine,240318,888789,3.6983871370434174,2099006,10470206,8371200,8363008,8192,0.0,0,0,0,0,10470206,45056,122888,8.736251700029243,0.0,,98,98,ok,a89ba03769ca01aa929a1577aaa598eefcc2f8f8215449c655018d0261f15a01,False
case_060,1,4,whole_graph,888789,888789,1.0,2099006,4167526,2068520,0,2068520,0.0,0,0,0,0,4167526,524288,122910,0.0,0.0,,1,1,ok,028fd1a433908b7a372b2f46f0d3a64b7356294aacf472f936e4806fe775a2f4,True
case_060,1,5,component_round_robin,193379,888789,4.596098852512424,2099006,6629694,4530688,4465152,65536,0.0,0,0,0,0,6629694,366720,122894,26.36591579997912,0.0,,5,5,ok,5e557cac4ffac12ac8e47ea13f6319863ffe2a748c0dbdeadcfd4c9ab6a63d7b,False
case_060,1,5,component_lpt,180081,888789,4.935495693604545,2099006,5832894,3733888,3563904,169984,0.0,0,0,0,0,5832894,524288,122898,24.066104600031395,0.0,,5,5,ok,be8e20b9fa801a25463f444d6abdb71017534fe749d48b29c3da37ea2640b076,False
case_060,1,5,component_pipe_balance,182674,888789,4.865437883880574,2099006,5715134,3616128,3441024,175104,0.0,0,0,0,0,5715134,523392,122894,21.227800699998625,0.0,,5,5,ok,cad722a1bdfc2cb8da8787e0be9c00d8de0859bb906f79bc7eeca65067f8728d,False
case_060,1,5,component_batches,185877,888789,4.7815975080295035,2099006,8329406,6230400,6205824,24576,0.0,0,0,0,0,8329406,233472,122888,9.812758299987763,0.0,,23,23,ok,b3aa2bdfb250e1c6e86c277f164967acb9899285e6726b85a332bfc8cc9dc4ad,False
case_060,1,5,component_batches_128,189911,888789,4.680029066246821,2099006,9511102,7412096,7403904,8192,0.0,0,0,0,0,9511102,110592,122888,8.620553800021298,0.0,,46,46,ok,35f691c31dc3bd3f91a8c584adeec51ed8563d2e0b83aa33032e010b213700d5,False
case_060,1,5,component_batches_512,184776,888789,4.810088972593843,2099006,7379134,5280128,5222784,57344,0.0,0,0,0,0,7379134,329728,122894,14.554509100038558,0.0,,13,13,ok,a26f861bbffdd88f6723cc49c2a2f159b2ab5813d62be1ea229940dc4f74442f,False
case_060,1,5,component_pipe_lpt,195995,888789,4.5347534375876934,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,8.572708400024567,0.0,,89,89,ok,a4803c20b92448bc8e9f6dc86ef08da7d6f577901d727b015812ff7e466bb597,False
case_060,1,5,component_comm,288594,888789,3.0797209921204183,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,5.789959700021427,0.0,,89,89,ok,69bcdfcb2142cdd3a5eb8d867aa425a92950acc4c7dfd2744562ee905f1e2788,False
case_060,1,5,scene_a_peft,196765,888789,4.517007597895967,2099006,10470206,8371200,8363008,8192,0.0,0,0,0,0,10470206,45056,122888,7.646898000035435,0.0,,98,98,ok,75efeb3749c3c1bb118029e98c67e08d0bf067c93f8d7c4c9f541d49cae2982c,False
case_060,1,5,scene_a_spine,199351,888789,4.458412548720599,2099006,10470206,8371200,8363008,8192,0.0,0,0,0,0,10470206,45056,122888,7.468702399986796,0.0,,98,98,ok,d1434bb644ff4b90fdefb9289855491a6de29c6631a3171b400826816ab08281,False
case_060,1,5,weighted_window_20_s1.0,719384,888789,1.2354861937435362,2099006,33492174,31393168,31393168,0,0.0,0,0,0,0,33492174,21504,32768,29.74340380000649,0.0,,2638,2638,ok,57d6888a6c1db6271621432b31796e8aa19a4a477f1847479e3cf30b78136747,False
case_060,1,5,weighted_window_15_s0.65,369720,888789,2.403951639078221,2099006,21582542,19483536,19483536,0,0.0,0,0,0,0,21582542,18432,32768,17.170133300009184,0.0,,1040,1040,ok,456e4b6bfc2bc5eb1af751f0acfbae0165b101a10642092c89f80abd6114094c,False
case_060,1,5,weighted_window_10_s0.35,581905,888789,1.5273781802871602,2099006,27524210,25425204,25425204,0,0.0,0,0,0,0,27524210,45056,57350,37.414209399954416,0.0,,2150,2150,ok,b09ff3c5c45f6d00192b6e6171161f021268cb8e32fc1476953de70a7b0f6a77,False
case_060,1,5,critical_cut_b0.16_s1.0,376291,888789,2.36197251595175,2099006,20618198,18519192,18519192,0,0.0,0,0,0,0,20618198,40960,57344,34.812286900007166,0.0,,1313,1313,ok,e4e197e093f3f0d0fda14c79ed401ff54764cb37b30abc6c2ac16b05e7604597,False
case_060,1,5,critical_cut_b0.06_s0.35,492364,888789,1.8051461926542152,2099006,23257714,21158708,21158708,0,0.0,0,0,0,0,23257714,45056,65536,25.71016249997774,0.0,,1874,1874,ok,187b2de39709bdf7df1c2cb34c24f783313a310734c34e258d3dc2b9a9910111,False
case_060,1,5,win_w5,282428,888789,3.14695780871585,2099006,16358990,14259984,14259984,0,0.0,0,0,0,0,16358990,22528,40960,14.441490099998191,0.0,,528,528,ok,8995a4b37982835130a2592ff228d6187dc82acdc970f1a9e4c45f8de0730e04,False
case_060,1,5,win_w7,244466,888789,3.635634403148086,2099006,13345994,11246988,11246988,0,0.0,0,0,0,0,13345994,22528,57350,9.501057299959939,0.0,,280,280,ok,e28144745e349cffa0dc517d7c7259b86d7ae0757d63eae00012a46bcff86fd1,False
case_060,1,5,win_w14,203631,888789,4.3647038024662255,2099006,11150362,9051356,9051356,0,0.0,0,0,0,0,11150362,45056,73732,10.224384500004817,0.0,,161,161,ok,950b83d90fd8c370d6934612f381b9dd2659a0cb860299d51094b302e7acc892,False
case_060,1,5,stageU4_k5,675800,888789,1.315165729505771,2099006,30084154,27985148,27985148,0,0.0,0,0,0,0,30084154,40960,65536,46.02665989997331,0.0,,3119,3119,ok,abc15caf638100f72493715927c6284f5b0e670852c8e8263e4600138d006acd,False
case_060,1,5,stageC5_k4,345053,888789,2.575804296731227,2099006,16564918,14465912,14465912,0,0.0,0,0,0,0,16564918,40960,65536,10.92648740002187,0.0,,965,965,ok,8fec1ab41429550a659673eb5b5ebc5bea34c205ecd22f7fbc762dbb66ca878b,False
case_060,1,5,stageU12_k5,760647,888789,1.1684644782665283,2099006,35348014,33249008,33249008,0,0.0,0,0,0,0,35348014,40960,49152,66.87225760001456,0.0,,3703,3703,ok,652933ffcc81550390c2f355ca3b07c9edc0f5d27c299fd2a22d4e56ae60d71d,False
case_060,1,5,component_group3,188679,888789,4.710587823764171,2099006,8507454,6408448,6195456,212992,0.0,0,0,0,0,8507454,178176,122898,14.430441799981054,0.0,,30,30,ok,fdcea20376765b4a90f61fe46b66e5960c0865ca961ee94d1951e301a7e7afcc,False
case_060,1,5,component_group4,189600,888789,4.687705696202531,2099006,8243262,6144256,5857536,286720,0.0,0,0,0,0,8243262,178176,122902,13.345684700005222,0.0,,23,23,ok,09d633a30955c37fceb6f2f181ec1a1219712a17b15dcbbfa198a38d6bd22479,False
case_060,1,5,component_group8,193991,888789,4.581599146352151,2099006,6422498,4323492,3881088,442404,0.0,0,0,0,0,6422498,417792,122910,10.471850600035395,0.0,,12,12,ok,8f9c646bbb3430ebe3d9906b31acf6fae01479d952149bd7e969fc16a95906e4,False
case_060,1,5,pipevec_merge,192142,888789,4.625688293033278,2099006,10208062,8109056,8100864,8192,0.0,0,0,0,0,10208062,45056,122888,7.3393229999928735,0.0,,89,89,ok,991913e1fe28c1fd0cab40bef776dc5d6609a29796187fac0c9fe2e944342721,False
case_060,1,5,membatch_70,198578,888789,4.475767708406772,2099006,10156222,8057216,8049024,8192,0.0,0,0,0,0,10156222,45056,122888,6.495148200017866,0.0,,84,84,ok,c91a117b09d2331b057330beaee5e7b7b863dba50554a0cf2304fa73cfd7afee,False
case_060,1,5,kios_pipe_vector_lpt,179209,888789,4.959510962061057,2099006,5812286,3713280,3553536,159744,0.0,0,0,0,0,5812286,524288,122894,27.41038449999178,0.0,,5,5,ok,db8b14c1e83f323550a0f4b9d9767c9a5a40c7e4f678b1acef2e4ad3e6574b74,False
case_060,1,5,kios_adaptive_batch_t4,185937,888789,4.7800545346004295,2099006,8339774,6240768,6216192,24576,0.0,0,0,0,0,8339774,233472,122888,11.782160200004,0.0,,23,23,ok,cce0f6b8cab98dd9194bc2dc878d33b03cbc8222b33561aa5fa75376765b4da6,False
case_060,1,5,kios_adaptive_batch_t2,184757,888789,4.810583631472691,2099006,7409854,5310848,5253504,57344,0.0,0,0,0,0,7409854,329728,122894,9.333580099977553,0.0,,13,13,ok,5b4ea8088ed2a9d8384c655091935fb12e6b6d5a795b1dfcba274fece9009da7,False
case_060,1,5,component_group2,188657,888789,4.711137143069168,2099006,8550718,6451712,6369792,81920,0.0,0,0,0,0,8550718,172032,122894,5.8740125999902375,0.0,,45,45,ok,d7f0ec38b4c8158a19d854e622bd805e657d657e429f44b0074bd3401292d2df,False
case_060,1,5,component_group7,188311,888789,4.719793320623862,2099006,6399938,4300932,3973248,327684,0.0,0,0,0,0,6399938,423936,122902,8.330704000021797,0.0,,13,13,ok,c5e1419e39ce468230786dcb54261e87c640dbcca6955b374fb409ebd7fd5957,False
case_060,1,5,pipe_seg_0.5,895922,888789,0.9920383694116229,2099006,7410714,5311708,5311708,0,0.0,0,0,0,0,7410714,304128,73732,3.9797307000262663,0.0,,10,10,ok,66397f2076285952ddb4982453ed0a2c5334f4c07bfb55c0c2b45102e88adad2,False
case_060,1,5,pipe_seg_0.5_peftins,887822,888789,1.0010891822910448,2099006,7410714,5311708,5311708,0,0.0,0,0,0,0,7410714,304128,73732,6.923575300024822,0.0,,10,10,ok,5f928da6327f6a2c886ed0eab8728edc87ae5366840e80df2879f24761161b4d,False
