kind,case,cores,arm,makespan,bytes,reference,speedup,official_calls,cache_hits,solve_seconds,replay_seconds,seed_seconds,reference_seconds,assessment_seconds,invalid_candidates
regression,1,2,fast,116868,1152,233110,1.9946435294520313,7,5,0.6112760696560144,0.07033746875822544,0,0.0,0.5493105575442314,0
regression,1,2,reserve,116868,1152,233110,1.9946435294520313,7,5,0.6165754459798336,0.06914853677153587,0,0.0,0.55704509280622,0
regression,1,3,reserve,78545,2304,233110,2.9678528232223567,7,5,0.6234125643968582,0.06534396298229694,0,0.0,0.5448473133146763,0
regression,1,3,fast,78545,2304,233110,2.9678528232223567,7,5,0.6264824941754341,0.07037268951535225,0,0.0,0.5505534242838621,0
regression,1,4,fast,58984,3456,233110,3.952088702020887,7,5,0.6507990807294846,0.070459745824337,0,0.0,0.5518231280148029,0
regression,1,4,reserve,58984,3456,233110,3.952088702020887,7,5,0.6454418431967497,0.06562931276857853,0,0.0,0.5478312112390995,0
regression,1,5,reserve,47502,4608,233110,4.9073723211654245,7,5,0.6582762207835913,0.06898873671889305,0,0.0,0.537033898755908,0
regression,1,5,fast,47502,4608,233110,4.9073723211654245,7,5,0.6628541629761457,0.06940580531954765,0,0.0,0.5447229873389006,0
regression,5,2,fast,61371,882310,95618,1.5580322953838133,12,0,9.502812329679728,0.6213709507137537,0,0.0,7.784823106601834,0
regression,5,2,reserve,61371,882310,95618,1.5580322953838133,12,0,10.713691076263785,0.6375963687896729,0,0.0,8.683850293979049,0
regression,5,3,reserve,54267,1461452,95618,1.7619916339580224,12,0,11.1316330563277,0.658399261534214,0,0.0,8.341484373435378,0
regression,5,3,fast,54267,1461452,95618,1.7619916339580224,12,0,10.810815691947937,0.6631611119955778,0,0.0,8.394019296392798,0
regression,5,4,fast,52462,1495922,95618,1.8226144638023711,12,0,11.377634851261973,0.6587904393672943,0,0.0,8.399460036307573,0
regression,5,4,reserve,52462,1495922,95618,1.8226144638023711,12,0,11.933449039235711,0.6763592772185802,0,0.0,8.487836791202426,0
regression,5,5,reserve,50673,1688564,95618,1.8869614982337735,12,0,20.5182200986892,0.7121545001864433,0,0.0,8.626759737730026,0
regression,5,5,fast,50673,1688564,95618,1.8869614982337735,12,0,20.256768563762307,0.7306703999638557,0,0.0,8.745119018480182,0
regression,12,2,reserve,25535,94960,59088,2.314000391619346,11,1,1.53945198841393,0.10705068707466125,0,0.0,1.1849040184170008,0
regression,12,2,fast,25535,94960,59088,2.314000391619346,11,1,1.5709201246500015,0.10548240318894386,0,0.0,1.2088625505566597,0
regression,12,3,fast,18128,189892,59088,3.259488084730803,11,1,1.7858016602694988,0.11715216748416424,0,0.0,1.2750596329569817,0
regression,12,3,reserve,18128,189892,59088,3.259488084730803,11,1,1.8000389020889997,0.11375120840966702,0,0.0,1.2823702432215214,0
regression,12,4,reserve,14948,39168,59088,3.952903398447953,11,1,1.778797473758459,0.10024837590754032,0,0.0,1.2172231208533049,0
regression,12,4,fast,14948,39168,59088,3.952903398447953,11,1,1.7915031630545855,0.10212685167789459,0,0.0,1.2379754036664963,0
regression,12,5,fast,12519,25344,59088,4.719865803977953,11,1,1.9326804410666227,0.10072178021073341,0,0.0,1.2388396821916103,0
regression,12,5,reserve,12519,25344,59088,4.719865803977953,11,1,1.8852917421609163,0.10114877857267857,0,0.0,1.2144533731043339,0
regression,22,2,reserve,27860,145236,56780,2.0380473797559224,10,2,1.8254860937595367,0.13405041955411434,0,0.0,1.385807005688548,0
regression,22,2,fast,27860,145236,56780,2.0380473797559224,10,2,1.8610187247395515,0.13534611649811268,0,0.0,1.4075042326003313,0
regression,22,3,fast,18978,13824,56780,2.9918853409210664,11,1,1.5953709166496992,0.1194336861371994,0,0.0,1.490454914048314,0
regression,22,3,reserve,18978,13824,56780,2.9918853409210664,11,1,1.6161448787897825,0.11612641997635365,0,0.0,1.505983091890812,0
regression,22,4,reserve,14336,20736,56780,3.960658482142857,11,1,1.6518585737794638,0.11575262993574142,0,0.0,1.5178191270679235,0
regression,22,4,fast,14336,20736,56780,3.960658482142857,11,1,1.6506488360464573,0.12257583625614643,0,0.0,1.5085879489779472,0
regression,22,5,fast,11479,20736,56780,4.9464239045213,11,1,1.7359185367822647,0.11482915095984936,0,0.0,1.5432248022407293,0
regression,22,5,reserve,11479,20736,56780,4.9464239045213,11,1,1.6725932713598013,0.11470148153603077,0,0.0,1.481392765417695,0
regression,24,2,reserve,1335245,396856,2555343,1.9137633917370969,12,0,19.442295167595148,1.1676383167505264,0,0.0,14.447220474481583,0
regression,24,2,fast,1335245,396856,2555343,1.9137633917370969,11,1,17.464447462931275,1.1679667327553034,0,0.0,12.793153939768672,0
regression,24,3,fast,954537,332124,2555343,2.677049711011726,11,1,19.24214688129723,1.1467602849006653,0,0.0,12.535697147250175,0
regression,24,3,reserve,954537,332124,2555343,2.677049711011726,12,0,21.000982601195574,1.1378136165440083,0,0.0,13.755157493054867,0
regression,24,4,reserve,748435,595068,2555343,3.4142483983245038,12,0,23.29667493328452,1.1521800328046083,0,0.0,13.84096366725862,0
regression,24,4,fast,748435,595068,2555343,3.4142483983245038,11,1,21.493424955755472,1.152113540098071,0,0.0,12.65811705775559,0
regression,24,5,fast,695849,432232,2555343,3.672266540585673,11,1,23.629913847893476,1.1856300737708807,0,0.0,12.82173620723188,0
regression,24,5,reserve,695849,432232,2555343,3.672266540585673,12,0,25.47152761928737,1.2213637232780457,0,0.0,14.034718925133348,0
regression,35,2,fast,93692,801138,169571,1.8098770439311787,11,1,8.022905249148607,0.6049872376024723,0,0.0,6.370910091325641,0
regression,35,2,reserve,93692,801138,169571,1.8098770439311787,12,0,8.791623083874583,0.6373019479215145,0,0.0,6.828387690708041,0
regression,35,3,reserve,75717,1276568,169571,2.2395366958542997,12,0,9.537345303222537,0.589170640334487,0,0.0,7.0485846642404795,0
regression,35,3,fast,75717,1276568,169571,2.2395366958542997,12,0,9.22367293573916,0.6082448922097683,0,0.0,7.031290668994188,0
regression,35,4,fast,63767,1505978,169571,2.6592281274013203,12,0,9.843881515786052,0.5964663736522198,0,0.0,7.011875454336405,0
