case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_059,1,2,component_round_robin,369318,829473,2.2459587672412393,1343488,1703936,360448,360448,0,0.0,0,0,0,0,1703936,421888,0,1.4181700000190176,0.0,,2,2,ok,6d26e457586baeb0f7e40ed87a5db0472b8a41178e814674fe5bd4cc7ad9e095,False
case_059,1,2,component_batches,372450,829473,2.2270720902134515,1343488,6119424,4775936,4775936,0,0.0,0,0,0,0,6119424,159744,0,0.8373091000248678,0.0,,14,14,ok,d9a94b493a50e5e21985475316a44056e8731e38fcef4cabf43fa4591f32d9cd,False
case_059,1,2,component_batches_128,377148,829473,2.199330236405867,1343488,7471104,6127616,6127616,0,0.0,0,0,0,0,7471104,69632,0,0.8786945000174455,0.0,,32,32,ok,af7b79ec4e893baae29324f74a201e26bb625f2742c0bd36d4d08c70761fdbec,False
case_059,1,2,component_batches_512,370362,829473,2.2396277155863724,1343488,3325952,1982464,1982464,0,0.0,0,0,0,0,3325952,421888,0,1.1072825000155717,0.0,,6,6,ok,6f573443e089d956f8f6a4c85ab996d989fa3a6a0fd1c87a039e12a25ccdeac5,False
case_059,1,2,component_pipe_lpt,385500,829473,2.15168093385214,1343488,8912896,7569408,7569408,0,0.0,0,0,0,0,8912896,18432,0,1.6669718000339344,0.0,,64,64,ok,43199ee918fb924d5aca2937580886daf9f75257f65b6684619488fce265a447,False
case_059,1,2,scene_a_peft,397084,829473,2.0889106587019373,1343488,9256960,7913472,7913472,0,0.0,0,0,0,0,9256960,18432,0,16.50589620001847,0.0,,106,106,ok,90b7e6ffce63db7b27e994f2eb6e600002bf9467e6369c6af20254dd09ec8b3c,False
case_059,1,2,scene_a_spine,396836,829473,2.090216109425556,1343488,9256960,7913472,7913472,0,0.0,0,0,0,0,9256960,18432,0,14.454625299957115,0.0,,106,106,ok,f630dd5c5a3083614fe1671d5ed7f77f33e601c3944949feacea2c718890796a,False
case_059,1,2,whole_graph,829473,829473,1.0,1343488,3035136,1691648,0,1691648,0.0,0,0,0,0,3035136,524288,0,0.0,0.0,,1,1,ok,160588863e796d8cb0892372648c8ce99b3060fdf3baf1dd1e71d3743d804927,True
case_059,1,3,component_round_robin,266217,829473,3.1157777301975456,1343488,4341760,2998272,2162688,835584,0.0,0,0,0,0,4341760,524288,0,2.345786899968516,0.0,,3,3,ok,a33ed9026d2844a3f63b4da2a7324c129a547b2f5a787e328a945100c4e0de99,False
case_059,1,3,component_batches,256853,829473,3.229368549325879,1343488,7516160,6172672,6172672,0,0.0,0,0,0,0,7516160,69632,0,1.121171000006143,0.0,,15,15,ok,21798580252b296bb096c82cc4e15c5646bceb7201328ddf6f1473334b45c325,False
