case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_038,1,2,component_round_robin,688680,1364555,1.9814064587326479,2802950,8867078,6064128,1853952,4210176,0.0,0,0,0,0,8867078,524288,36864,43.29634330002591,0.0,,2,2,ok,98f44678128b5b5f5c92698e77db9b45d3290a837e2c59bb6b37eb34fbb9cebf,False
case_038,1,2,component_lpt,674500,1364555,2.0230615270570795,2802950,9593606,6790656,2517504,4273152,0.0,0,0,0,0,9593606,524288,36864,42.42617599997902,0.0,,2,2,ok,d711108285b63211d10d7961d3f48c7509ca02a4856458ee9b65527fb7d0110f,False
case_038,1,2,component_pipe_balance,681518,1364555,2.002228847954126,2802950,9593606,6790656,2517504,4273152,0.0,0,0,0,0,9593606,524288,36864,40.94142400001874,0.0,,2,2,ok,0cef4670374b9cf8a00e2d7c7a918a9e4eff9fc0ea805ee92b80e1ef3ff9f70d,False
case_038,1,2,component_batches,683182,1364555,1.9973520965130815,2802950,12925190,10122240,10122240,0,0.0,0,0,0,0,12925190,211968,36864,8.840648699959274,0.0,,27,27,ok,1037a0cf3610cb729a458f8d1b219223b1ad87f247c0de5753494e3ff7cfc2aa,False
case_038,1,2,component_batches_128,693796,1364555,1.9667957151669944,2802950,15617798,12814848,12814848,0,0.0,0,0,0,0,15617798,118784,36864,8.304981200024486,0.0,,58,58,ok,a36d44f7e31ccce7d8c6a62e4536263b05f4c6e3eee616372cbd33bfb99c2586,False
case_038,1,2,component_batches_512,677767,1364555,2.0133098837801193,2802950,9796358,6993408,6993408,0,0.0,0,0,0,0,9796358,516096,36864,11.989441199984867,0.0,,13,13,ok,e0d966673edb8b6bcd76e353520c9f3bbfd0ee6deff02250e5f2a46a736d2676,False
case_038,1,2,component_pipe_lpt,717084,1364555,1.9029221123327253,2802950,18462470,15659520,15659520,0,0.0,0,0,0,0,18462470,40448,36864,8.759402900002897,0.0,,130,130,ok,99378583230a6ea25e160257b89b329ea666fb798a6208f1ca979cfd182b5af7,False
case_038,1,2,component_comm,704990,1364555,1.9355664619356303,2802950,18462470,15659520,15659520,0,0.0,0,0,0,0,18462470,40448,36864,8.584736999997403,0.0,,130,130,ok,cd21db0b3f9cbedbce2a3037292a9e0708552e50de049deca390452e4b3974ce,False
case_038,1,2,scene_a_peft,705499,1364555,1.9341699988235277,2802950,18495238,15692288,15692288,0,0.0,0,0,0,0,18495238,40448,36864,7.478464899992105,0.0,,138,138,ok,e29625dd0e1e49e1b038dda888db187c9032194232ae9aacce2b73c5a27bbf19,False
case_038,1,2,scene_a_spine,703622,1364555,1.9393296400624198,2802950,18495238,15692288,15692288,0,0.0,0,0,0,0,18495238,40448,36864,6.154195300012361,0.0,,138,138,ok,a0aeef39b785c2ffa6440db01ccdf0730c1f5daae70e2a0a66e7c7ea0c3368a6,False
