case,cores,makespan,singlecore_makespan,speedup,added_copy_bytes,seconds,single_reference_seconds,evaluated_opportunities
case_001,1,233110,233110,1.0,0,0.07173999992664903,0.07173999992664903,1
case_001,2,123018,233110,1.8949259457965502,265344,0.9865797000238672,0.07173999992664903,12
case_001,3,85849,233110,2.715349043087281,241920,1.0659824999747798,0.07173999992664903,12
case_001,4,67883,233110,3.4339967296672214,470400,1.1365968000609428,0.07173999992664903,12
case_001,5,50223,233110,4.641498914839814,45312,1.02375569997821,0.07173999992664903,12
