case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_051,1,2,component_round_robin,607628,607628,1.0,393218,393218,0,0,0,0.0,0,0,0,0,393218,393216,65544,0.0,0.0,,1,1,ok,2a2865adc5eff22153cf709fe4d0e43cbfa7456ab5e749636d0c433923fc996f,True
case_051,1,2,chain_heft,445441,607628,1.364104337050249,393218,9439896,9046678,9046678,0,0.0,0,0,0,0,9439896,32768,65536,0.9654308999888599,0.0,,552,552,ok,5964d1fbd1ee355de9c8dd91f508bad54ca73052c0bda1bb5b44ccab6b57e92d,False
case_051,1,2,window8_heft,622555,607628,0.9760230019837605,393218,9437278,9044060,9044060,0,0.0,0,0,0,0,9437278,32768,65544,0.2400906999828294,0.0,,24,24,ok,a46a0f134f4364370f1b1bf564975c39f1ff041ffeebdeede0ba6ea8470bc3a2,False
case_051,1,2,window10_heft,621382,607628,0.9778654676189525,393218,11403582,11010364,11010364,0,0.0,0,0,0,0,11403582,393216,98306,0.2539861000259407,0.0,,20,20,ok,5659318816ffc6758a4307dfa517513b431bf3f849fbd1e3449bd8d48d6d8078,False
case_051,1,2,window16_heft,614767,607628,0.9883874703749551,393218,4718638,4325420,4325420,0,0.0,0,0,0,0,4718638,393216,65544,0.2005444999667816,0.0,,12,12,ok,7003f56cd405683b27c60719e03abd25215aac9165ef9c6a7d55b52ad8c7f70a,False
case_051,1,2,scene_a_peft,406117,607628,1.4961895217388093,393218,9438230,9045012,9045012,0,0.0,0,0,0,0,9438230,32768,65540,0.4522113999701105,0.0,,216,216,ok,0565a0e2c4d765346fcc35be80d9e01960f4cae20b086b7e154cd3d654943520,False
case_051,1,2,pipe_lane_pack,444776,607628,1.3661438566829145,393218,9439896,9046678,9046678,0,0.0,0,0,0,0,9439896,32768,65536,0.9201181999524124,0.0,,552,552,ok,bd5d9a0a3fdf2fd34b0cde067032964e3201afe85eb8fd13b050bec14113d63d,False
case_051,1,2,scene_a_spine,395069,607628,1.5380300656341044,393218,9438230,9045012,9045012,0,0.0,0,0,0,0,9438230,32768,65540,0.43579369998769835,0.0,,216,216,ok,6563a3d2c55602f42ef79aeecaa16dc4fcc9b5910179d8949963d9728a17eed1,False
case_051,1,2,window3_heft,622742,607628,0.9757299170442977,393218,28312472,27919254,27919254,0,0.0,0,0,0,0,28312472,65536,65540,0.6358536999905482,0.0,,304,304,ok,e521423b0ce5a3b8d28f3b28e0d5e44445d5338f8a7ba146a660b9a1f93aa0ed,False
case_051,1,2,window12_heft,616307,607628,0.9859177325586113,393218,6291870,5898652,5898652,0,0.0,0,0,0,0,6291870,393216,65544,0.23382500000298023,0.0,,16,16,ok,8c00d7f11a9e2c374bfd6025726a9668f3c7f9c1e223c796514bb6fb3dbd1e26,False
