case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,search_cpu_seconds,search_wall_seconds,eval_workers,official_result_path,plan_path,cache_speedup_vs_same_plan
case_051,1,2,bundle_pack,357955,607628,1.6974982888910617,393218,9438476,9045258,9045258,0,0.0,0,0,0,0,9438476,32768,65538,0.3293255000025965,0.1609343999880366,,72,72,13,0,5.8291603999678046,5.495584599906579,5.8291603999678046,2,official_results/case_051_p1_n2.json.gz,plans/case_051_p1_n2.json,
case_051,1,3,bundle_pack,291222,607628,2.086476983194951,393218,9438522,9045304,9045304,0,0.0,0,0,0,0,9438522,32768,65538,0.6691677000490017,1.405875800002832,,96,96,13,0,6.770157699997071,5.694097700121347,6.770157699997071,2,official_results/case_051_p1_n3.json.gz,plans/case_051_p1_n3.json,
case_051,1,4,bundle_pack,254308,607628,2.389338911870645,393218,9438568,9045350,9045350,0,0.0,0,0,0,0,9438568,32768,65538,0.38027369999326766,3.3049100000062026,,120,120,13,0,6.809222000010777,4.6341477000387385,6.809222000010777,2,official_results/case_051_p1_n4.json.gz,plans/case_051_p1_n4.json,
case_051,1,5,bundle_pack,253856,607628,2.3935932182024455,393218,9438614,9045396,9045396,0,0.0,0,0,0,0,9438614,32768,65538,0.3670589000103064,6.2786013999721035,,144,144,36,0,520.6224736000295,547.1514583000098,520.6224736000295,2,official_results/case_051_p1_n5.json.gz,plans/case_051_p1_n5.json,
